INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	1	76.2145	42.2999
2	1	87.0000	32.0000
3	1	93.7237	82.5319
4	1	131.1261	39.2718
5	1	125.3088	50.6517
6	1	158.8446	33.2413
7	1	178.0000	36.0000
8	1	185.7871	71.5187
9	1	207.0000	34.0000
10	1	225.4866	37.5190
11	1	251.2320	52.6377
12	1	285.7244	37.3446
13	1	281.3428	69.5964
14	1	270.0600	87.2143
15	1	229.8224	94.4317
16	1	258.9084	126.7023
17	1	220.7377	115.9597
18	1	283.1089	161.8188
19	1	251.8121	182.3057
20	1	227.9663	164.9760
21	1	239.3146	213.2271
22	1	266.9471	235.2771
23	1	260.3298	267.9738
24	1	241.0000	250.0000
25	1	214.9231	233.2287
26	1	154.9726	213.5084
27	1	125.6090	207.2418
28	1	144.7548	209.8959
29	1	121.6786	262.5714
30	1	97.2390	278.1711
31	1	114.0495	284.5403
32	1	149.0937	285.3921
33	1	154.1398	264.5478
34	1	69.0000	281.0000
35	1	51.8062	262.8643
36	1	93.9333	228.4115
37	1	82.6323	228.0693
38	1	95.1505	215.6446
39	1	89.1942	207.5111
40	1	109.9321	205.2345
41	1	99.2925	199.0171
42	1	45.9540	243.5062
43	1	38.4794	228.4192
44	1	56.5217	227.8396
45	1	58.1987	215.1206
46	1	45.2793	209.2932
47	1	46.7521	191.8842
48	1	132.9154	186.3147
49	1	106.0737	184.3003
50	1	96.5454	153.4554
51	1	34.5738	160.2810
52	1	37.3637	143.6436
53	1	37.1399	139.9870
54	1	42.2629	139.3686
55	1	36.8389	115.2803
56	1	38.4352	96.7780
57	1	49.5979	94.1031
58	1	50.0771	79.0974
59	1	126.5312	88.7151
60	1	151.3774	90.3842
61	1	176.0625	93.2977
62	1	196.2246	94.7189
63	1	211.1771	102.1248
64	1	212.1184	95.2098
65	1	202.7765	104.1503
66	1	217.4448	106.1057
67	1	193.1445	150.9695
68	1	180.1100	137.8164
69	1	224.1774	159.1877
70	1	152.4957	164.9342
71	1	178.4635	156.4748
72	1	145.0000	151.0000
73	1	214.4137	73.5590
74	1	240.1169	78.5020
75	1	248.8090	60.3865
76	1	254.3566	167.6505
77	1	245.4333	175.4194
78	1	235.1500	162.4462
79	1	243.6912	206.8249
80	1	257.8329	204.6887
81	1	223.3421	216.1870
82	1	212.7955	203.6326
83	1	206.8780	187.0706
84	1	204.9087	185.2555
85	1	191.6200	253.3190
86	1	185.3503	249.3551
87	1	164.6114	242.5909
88	1	153.7533	235.4277
89	1	175.4574	236.6812
90	1	168.0228	230.8991
91	1	184.4685	215.4621
92	1	180.4379	225.7489
93	1	192.5065	219.0645
94	1	284.1671	166.2415
95	1	283.2385	174.4984
96	1	282.5293	179.3533
97	1	252.3869	160.3401
98	1	243.7288	159.1441
99	1	232.0642	156.6906
100	1	238.1309	141.6917
101	101	137.4380	74.5697
102	101	123.3207	94.6181
103	101	67.3565	126.5770
104	101	55.0572	118.0737
105	101	46.0000	140.0000
106	101	61.8319	164.4315
107	101	92.7587	210.3405
108	101	83.5931	229.6264
109	101	42.0701	241.7968
110	101	86.0000	284.0000
111	101	113.3960	286.9557
112	101	142.9959	283.9558
113	101	175.8256	278.7838
114	101	182.3836	257.5263
115	101	260.6046	261.0171
116	101	235.8698	236.8169
117	101	183.0191	170.0000
118	101	253.2525	166.0556
119	101	215.1838	150.0265
120	101	190.3996	91.9626
121	101	265.2905	41.8812
122	101	237.5263	67.0901
123	101	215.7044	61.8074
124	101	181.8391	63.3959
125	101	144.4425	50.0761
126	101	135.9284	72.9311
127	101	117.7069	88.9283
128	101	94.9260	121.9334
129	101	71.7664	126.0386
130	101	58.2490	163.0152
131	101	58.8155	179.8394
132	101	91.4705	213.5324
133	101	73.2139	271.1284
134	101	101.9325	262.2406
135	101	147.2726	271.5619
136	101	175.6850	264.5033
137	101	204.7536	251.1973
138	101	236.7285	239.8717
139	101	258.1692	221.0740
140	101	264.3474	200.5786
141	101	53.8688	58.1039
142	101	45.6614	115.4883
143	101	64.2217	137.3011
144	101	54.5381	163.9527
145	101	89.4621	141.2832
146	101	96.3171	169.8926
147	101	57.7410	212.8478
148	101	34.9492	251.3479
149	101	69.4822	274.6103
150	101	87.9476	230.4344
151	102	117.9339	222.6694
152	102	107.9322	267.3939
153	102	165.2227	238.1155
154	102	161.1472	213.4985
155	102	190.2942	214.3255
156	102	229.2309	235.3238
157	102	193.9659	251.6339
158	102	230.4630	224.6726
159	102	211.1863	197.9170
160	102	255.3887	211.7791
161	102	246.0033	182.1756
162	102	219.8319	155.8486
163	102	185.3553	133.2736
164	102	258.9170	107.7466
165	102	265.6362	87.2880
166	102	243.7923	83.0152
167	102	276.6990	66.4271
168	102	256.3852	57.4430
169	102	243.6302	50.4281
170	102	215.7648	66.1492
171	102	193.6411	64.7409
172	102	193.5677	49.3073
173	102	155.3376	48.5839
174	102	143.9359	42.9827
175	102	146.5827	68.8051
176	102	120.5156	56.8862
177	102	101.3310	55.1643
178	102	93.9145	66.1119
179	102	142.4325	87.6803
180	102	148.9304	151.8245
181	102	182.6024	154.8718
182	102	168.9803	157.3773
183	102	150.4814	164.5661
184	102	154.6949	189.9855
185	102	185.3845	188.6034
186	102	167.5800	213.7318
187	102	93.0012	157.3902
188	102	101.1551	183.4925
189	102	260.7335	165.1872
190	102	243.8856	166.6411
191	102	224.6720	153.6815
192	102	205.7242	154.1643
193	102	122.7254	271.5363
194	102	114.9188	280.8629
195	102	105.6548	275.8694
196	102	145.0380	276.2273
197	102	109.8535	246.4319
198	102	160.2286	40.0634
199	102	181.3263	72.9632
200	102	166.9367	63.8346
201	201	222.9000	166.2700
202	201	223.8800	166.3300
203	201	227.6600	169.4900
204	201	228.0200	171.3300
205	201	240.1400	201.7500
206	201	240.6500	200.9300
207	201	241.1300	201.6000
208	201	242.0400	201.2900
209	201	251.3200	201.5500
210	213	250.6400	201.2800
211	213	249.6600	201.5400
212	213	248.8500	201.2100
213	598	54.6514	52.1535
214	598	70.7685	49.7800
215	598	103.0669	42.8748
216	598	91.1030	71.5716
217	598	128.7452	52.0318
218	598	134.1669	65.1210
219	598	171.9740	36.1079
220	598	159.9551	84.8585
221	598	190.8093	50.2640
222	598	196.8943	66.1503
223	598	233.7494	37.8147
224	598	263.9787	38.4694
225	598	283.3904	56.4000
226	598	237.6668	87.0136
227	598	263.3929	101.9817
228	598	223.3216	120.6592
229	598	271.2616	135.3273
230	598	248.6314	133.2784
231	598	268.1576	172.6613
232	598	270.7258	192.9095
233	598	277.5789	193.6702
234	598	251.5627	224.3194
235	598	267.4388	250.6561
236	598	241.4965	245.3600
