INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	586	40.4706	34.044
2	586	46.6377	52.3442
3	586	43.5925	62.4158
4	586	81.4059	36.5192
5	586	103.0469	32.5248
6	586	109.5778	55.4412
7	586	77.1692	84.7404
8	586	112.6146	86.7026
9	586	138.2687	93.4747
10	586	158.247	116.314
11	586	131.9055	116.7666
12	586	156.7834	40.1696
13	586	134.1336	39.5063
14	586	133.1763	48.1965
15	586	38.3931	99.9281
16	587	56.6755	35.0133
17	587	36.9396	62.4724
18	587	61.0086	51.2666
19	587	55.1433	72.4599
20	587	47.4271	91.8443
21	587	46.0833	123.5104
22	587	33.944	156.8204
23	587	51.0217	158.0432
24	587	63.8303	158.0584
25	587	68.5154	141.583
26	587	109.5538	113.1891
27	587	81.3046	60.6662
28	587	134.8508	34.3601
29	587	156.6995	48.8664
30	587	131.2361	57.4479
31	588	154.3788	72.0648
32	588	128.8374	106.2691
33	588	133.074	150.1213
34	588	157.9087	140.528
35	588	155.5207	135.2175
36	588	133.3643	140.8878
37	588	127.9051	123.6157
38	588	88.5416	92.5295
39	588	72.1921	132.5855
40	588	51.5593	143.6044
41	588	33.5986	140.7003
42	588	48.9705	105.542
43	588	62.9332	57.6457
44	588	33.2739	42.8286
45	588	92.7936	140.2009
