INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	3	162.7982	275.445
2	3	148.5631	282.162
3	3	149.7425	277.0974
4	3	144.9451	276.6235
5	3	122.9182	285.2423
6	3	87.6605	274.2406
7	3	86.4848	278.2328
8	3	95.1445	288.2993
9	3	66.4426	283.9998
10	3	67.7641	274.73
11	3	70.51	265.951
12	3	74.7651	261.4468
13	3	83.3966	252.8438
14	3	50.6732	283.9558
15	3	58.916	271.6055
16	3	70.9059	254.3032
17	3	43.9026	239.0804
18	3	55.2237	231.3904
19	3	63.2405	206.1251
20	3	59.5287	220.9179
21	3	41.5763	205.8326
22	3	50.901	200.2913
23	3	40.6888	168.4186
24	3	59.3692	177.7873
25	3	49.7091	129.8868
26	3	48.9444	119.2985
27	3	42.5966	93.5261
28	3	47.7057	92.7435
29	3	39.3067	50.3486
30	3	41.3512	48.5703
31	3	44.2603	47.9447
32	3	60.2137	51.9387
33	3	67.1482	61.6933
34	3	71.0328	64.9555
35	3	91.8378	105.4074
36	3	122.6481	110.7649
37	3	141.997	118.8303
38	3	140.7658	131.4488
39	3	97.3735	55.8053
40	3	87.6925	51.4178
41	3	95.299	65.689
42	3	116.9576	69.2438
43	3	119.6038	55.9748
44	3	121.3511	63.9727
45	3	116.1375	60.4405
46	3	117.739	44.1591
47	3	153.0984	44.3538
48	3	150.2115	43.0781
49	3	144.3856	46.7061
50	3	163.4452	46.1585
51	3	172.7531	63.8424
52	3	169.9178	68.8516
53	3	185.6864	63.6836
54	3	184.9638	67.3496
55	3	162.8547	88.3092
56	3	158.7921	86.6288
57	3	181.3377	81.643
58	3	182.2133	78.3006
59	3	197.3723	65.6436
60	3	195.0752	67.9212
61	3	270.4482	36.6266
62	3	260.4303	34.5634
63	3	280.2746	42.2724
64	3	271.4167	83.7723
65	3	271.9709	79.3443
66	3	253.383	97.4088
67	3	269.7717	139.3488
68	3	232.7743	158.9256
69	3	218.9882	166.5693
70	3	219.0453	194.1394
