INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	574	91.1551	138.1598
2	574	78.4483	147.5952
3	574	66.5178	121.4831
4	574	60.8020	96.0649
5	574	48.5621	97.1575
6	574	57.3470	137.3930
7	574	65.7193	144.2506
8	574	71.9346	157.7620
9	574	34.9452	142.1868
10	574	41.6898	151.5179
11	574	37.5846	106.3705
12	574	39.6026	83.2967
13	574	50.3808	51.4771
14	574	103.1368	52.8303
15	574	125.2609	68.3147
16	575	105.1465	147.7561
17	575	115.7456	122.1407
18	575	125.9479	107.9370
19	575	137.6252	138.5371
20	575	130.9982	159.9171
21	575	155.3387	146.6748
22	575	156.6200	116.1997
23	575	125.2771	88.4756
24	575	132.7745	59.5518
25	575	99.6622	93.8008
26	575	37.1794	140.2327
27	575	37.3396	122.7542
28	575	52.7848	103.4276
29	575	61.6838	85.1676
30	575	50.4487	60.9095
31	576	85.1546	51.9047
32	576	50.7439	40.9948
33	576	33.8564	54.8319
34	576	119.5541	96.9883
35	576	123.9832	126.0209
36	576	154.3039	82.3034
37	576	142.7458	97.6031
38	576	137.5385	87.3826
39	576	79.2985	33.8821
40	576	111.2020	33.7656
41	576	66.7982	44.7166
42	576	58.1762	33.5507
43	576	67.1128	66.2855
44	576	84.1296	93.3028
45	576	94.0697	138.4156
