INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	13	57.4794	20.7018
2	13	65.9514	54.9835
3	13	75.46	67.6289
4	13	105.6952	40.1776
5	13	53.0423	61.1086
6	14	83.3632	31.3676
7	14	105.3295	31.5505
8	14	98.6309	52.6607
9	14	59.2456	60.1812
10	14	54.8185	27.494
11	14	29.1082	64.8935
12	14	24.8822	70.6328
13	14	40.8909	97.6222
14	14	32.6502	108.5516
15	14	34.4255	126.7051
16	14	26.911	155.0518
17	14	25.3913	147.7118
18	14	21.0266	178.799
19	14	23.0655	204.659
20	14	27.3418	219.1149
21	14	52.0513	215.041
22	14	77.2885	191.211
23	14	72.318	163.7805
24	14	73.5356	171.4319
25	14	62.7782	148.5696
26	253	96.7007	43.8851
27	253	95.9208	44.1342
28	253	95.0673	44.5234
29	253	94.4616	44.8138
30	249	106.454	69.4938
31	249	107.1223	69.6459
32	249	107.4879	69.4084
33	249	107.8902	69.322
34	9	228.672	204.1581
35	9	214.6927	201.6588
36	9	225.1206	176.197
37	9	216.6077	175.1945
38	9	228.6822	119.6151
39	9	215.5827	121.9956
40	9	235.9017	85.16
41	9	236.8661	73.1105
42	9	237.6298	50.3747
43	9	237.4146	36.3137
44	9	234.6682	22.3596
45	9	214.9588	21.6307
46	9	206.4153	46.516
47	9	211.7586	53.9832
48	9	173.1373	23.793
49	10	229.1319	194.6094
50	10	216.9533	194.7263
51	10	227.8041	180.0241
52	10	222.2579	173.092
53	10	198.4494	194.5355
54	10	192.6207	200.7175
55	10	194.9329	222.549
56	10	178.9102	222.0299
57	10	165.4842	214.4689
58	10	159.2048	207.3709
59	10	180.9147	205.582
60	10	153.4395	190.7252
61	10	157.805	157.7942
62	10	194.5655	106.5965
63	10	166.6512	104.1141
64	10	147.5382	123.9436
65	10	156.2969	58.3965
66	10	156.4629	53.2724
67	10	203.6286	44.6673
68	10	189.795	43.9933
69	10	230.142	17.6859
70	10	237.5255	19.5923
71	10	185.5739	20.2751
72	10	164.6812	26.1604
73	10	125.4953	33.0947
74	10	129.3316	30.3394
75	10	126.4973	103.1738
76	10	136.5777	85.5891
77	10	103.5805	107.1785
78	10	104.8512	44.7651
79	10	76.5235	69.5364
80	10	76.0322	32.7554
81	10	27.3256	62.6702
