INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	624	31.7947	31.7658
2	624	44.1973	42.8982
3	624	69.6852	32.7277
4	624	50.9816	32.2985
5	624	63.6545	51.4763
6	624	46.121	60.7339
7	624	35.3793	50.4307
8	624	31.4275	64.8247
9	624	62.6147	69.5148
10	624	55.7237	51.1269
11	624	63.7849	37.8783
12	624	40.6544	36.9011
13	624	29.066	44.2327
14	624	35.8964	63.6404
15	624	50.1143	71.8178
16	624	66.8994	65.8393
17	624	71.9031	50.5497
18	624	55.6044	40.7569
19	624	41.198	52.2907
20	624	61.1273	58.2765
21	624	55.8165	64.426
22	624	50.6619	50.3891
23	624	42.6294	29.8817
24	624	36.6592	25.3524
25	624	34.3253	40.461
26	624	29.0092	55.1092
27	624	44.4698	66.3647
28	624	68.5231	58.5058
29	624	68.7602	43.2297
30	624	61.2819	31.4833
