INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	619	35.2561	43.9842
2	619	32.4867	71.7081
3	619	49.8317	60.0883
4	619	71.1466	48.5214
5	619	86.7011	36.3743
6	619	102.3082	37.0216
7	619	83.7299	61.0937
8	619	100.0393	66.3719
9	619	115.3858	44.2058
10	619	136.7657	37.6612
11	619	147.8735	51.23
12	619	166.7968	46.1838
13	619	167.7783	59.034
14	619	191.3862	49.3954
15	619	219.5193	65.8295
16	619	241.4721	56.9482
17	619	275.1976	76.8716
18	619	258.0832	79.8724
19	619	273.8143	100.2842
20	619	270.3909	118.4033
21	619	247.7123	123.0762
22	619	270.9726	152.935
23	619	241.6149	139.3058
24	619	243.8996	163.0243
25	619	221.1533	166.1795
26	619	230.5866	183.6953
27	619	202.2744	180.8295
28	619	243.5071	207.1111
29	619	252.8447	229.235
30	619	271.2026	220.0423
31	619	281.7295	253.1346
32	619	271.1248	275.1927
33	619	244.391	286.7093
34	619	223.3218	269.5067
35	619	177.2294	268.5239
36	619	167.8325	265.8208
37	619	118.8299	258.4225
38	619	112.1875	243.0729
39	619	88.2718	261.5882
40	619	71.4796	267.8423
41	619	42.3816	271.8706
42	619	36.3339	243.4365
43	619	68.7515	230.989
44	619	55.8058	214.3129
45	619	112.3096	217.2391
46	619	104.6484	203.1221
47	619	79.6201	191.0465
48	619	103.3507	180.3511
49	619	69.1672	164.9469
50	619	74.1086	140.3297
51	619	113.9457	152.4571
52	619	109.9901	131.991
53	619	103.6801	119.1532
54	619	140.8989	113.1663
55	619	168.4028	104.307
56	619	165.7405	82.4345
57	619	116.1131	88.2414
58	619	110.6082	75.9478
59	619	63.5856	103.9736
60	619	70.3009	82.7333
