INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	13	227.2694	28.149
2	13	221.4574	55.1577
3	13	225.7338	84.8253
4	13	191.9005	60.6625
5	13	177.8106	29.3436
6	13	157.735	28.2618
7	13	162.8724	65.3375
8	13	119.5746	48.2364
9	13	120.8525	60.3785
10	13	31.3954	95.0002
11	13	47.9864	123.8156
12	13	31.9351	139.4209
13	13	42.462	137.9291
14	13	58.8958	154.6902
15	13	82.7097	171.1858
16	13	130.324	183.4597
17	13	150.0546	184.2797
18	13	171.7393	170.6147
19	13	209.1755	198.2816
20	13	227.0561	183.627
21	14	121.2035	204.5415
22	14	130.952	231.7202
23	14	172.0645	224.3907
24	14	204.0167	227.2343
25	14	228.2753	219.2366
26	253	171.1699	119.0146
27	253	170.2255	119.4406
28	253	169.1978	119.7725
29	249	166.3729	119.4815
30	249	166.5846	119.741
31	249	166.8188	119.8038
32	9	214.0793	27.2705
33	9	218.1113	25.7498
34	9	196.5035	21.6132
35	9	209.5414	43.9099
36	9	235.2518	52.1033
37	9	235.9092	44.6216
38	9	214.1683	83.9757
39	9	200.7853	80.4568
40	9	190.8574	62.5549
41	9	215.0674	68.7157
42	9	180.0076	50.5887
43	9	152.6268	30.998
44	9	144.2449	32.6922
45	9	135.8618	27.6821
46	9	165.1706	75.8825
47	9	157.3253	72.7611
48	9	146.3973	67.3931
49	9	127.8522	65.5501
50	9	74.6466	31.3641
51	9	32.2445	59.5291
52	9	50.8578	62.0497
53	9	56.1788	56.8071
54	9	30.5307	104.711
55	9	47.6146	104.8348
56	9	76.3764	109.7231
57	9	74.9409	116.5831
58	9	62.9091	116.3598
59	9	67.3739	128.0462
60	9	72.0813	135.52
61	9	89.8494	150.2801
62	9	81.4611	151.6256
63	9	70.8371	150.213
64	9	52.1632	137.9078
65	9	35.5325	120.9575
66	9	31.1208	131.4154
67	9	39.9474	146.7187
68	9	51.2549	151.5857
69	9	84.1804	178.6651
70	9	100.3862	183.919
71	9	111.7585	182.4509
72	9	130.8248	174.4043
73	9	127.0448	159.9722
74	9	137.3387	152.5963
75	9	155.795	179.0638
76	9	109.9064	147.2553
77	9	108.763	131.9158
78	9	116.0224	136.3637
79	9	163.4402	145.747
80	9	166.7302	170.7298
81	9	176.9463	182.9901
82	9	223.2965	134.7762
83	9	223.8814	110.2834
84	9	219.3454	99.7748
85	9	208.7657	117.1014
86	9	203.5815	106.8421
87	9	208.8111	134.8883
88	9	214.4503	147.0071
89	9	220.7449	157.1453
90	9	224.7808	175.1648
91	9	229.0211	203.1142
92	10	212.3547	230.5603
93	10	194.3765	224.8753
94	10	227.6478	230.2043
95	10	210.6039	199.8288
96	10	196.6192	201.2305
97	10	185.0207	201.6535
98	10	177.388	214.316
99	10	166.2233	209.7009
100	10	126.7494	212.7829
101	10	118.234	207.7116
102	10	144.5579	203.2736
103	10	152.7414	201.7815
104	10	133.8935	233.736
105	10	151.6067	228.4469
106	10	115.2014	228.3907
107	123	235.1323	39.7007
108	123	229.407	32.5231
109	123	233.1	53.4938
110	123	217.4732	43.6818
111	123	224.7263	68.2475
112	123	214.8797	63.1763
113	123	210.1995	52.5763
114	123	226.669	49.9306
115	123	222.1917	74.741
116	123	209.7445	73.1452
117	123	198.2392	44.5659
118	123	192.6012	32.3079
119	123	185.3049	49.0163
120	123	202.802	54.2848
121	123	160.8262	57.8516
122	123	164.1239	54.565
123	123	161.0578	31.6696
124	123	150.7938	48.0824
125	123	152.4575	60.5993
126	123	144.9999	59.3677
127	123	136.7455	39.3399
128	123	140.5114	34.5454
129	123	124.7493	31.7349
130	123	128.7352	52.0559
131	123	140.1423	55.9148
132	123	117.8116	39.2939
133	123	155.4052	66.3057
134	123	162.5118	72.3624
135	123	214.0075	132.8728
136	123	206.2009	114.2287
