INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	1	86.1961	63.9965
2	1	90.0525	67.3946
3	1	85.2477	58.4338
4	1	63.9242	51.0424
5	1	40.9972	37.3264
6	1	50.6018	96.1761
7	1	36.0441	110.1733
8	1	65.2605	131.5047
9	1	45.9669	189.3270
10	1	59.5751	252.6639
11	1	57.2172	278.2565
12	1	48.8107	258.8651
13	1	48.1007	257.5028
14	1	75.3311	212.4035
15	1	124.6766	279.2465
16	1	138.2195	282.7093
17	1	147.4886	253.6223
18	1	146.4436	247.7029
19	1	148.2957	246.9729
20	1	150.2237	247.5409
21	1	144.1598	250.0941
22	1	144.2851	238.4258
23	1	142.4203	237.5915
24	1	106.8246	245.4302
25	1	105.5738	243.7114
26	1	103.5710	240.5074
27	1	164.8982	249.9730
28	1	163.2085	247.4066
29	1	222.3573	253.8483
30	1	227.6943	253.3070
31	1	232.7540	254.6902
32	1	236.6697	258.6297
33	1	239.6556	268.1552
34	1	253.2464	279.6806
35	1	257.6216	279.5511
36	1	264.6617	278.9393
37	1	276.5334	266.1377
38	1	264.5794	253.9470
39	1	274.5635	244.0207
40	1	272.3670	247.1263
41	1	238.3577	236.2349
42	1	238.1122	232.3844
43	1	236.6216	222.6967
44	1	234.5397	223.9211
45	1	231.0163	225.0733
46	1	227.5991	226.1435
47	1	224.4034	227.0787
48	1	218.1614	223.4407
49	1	231.1577	204.0433
50	1	234.6151	211.5712
51	1	224.9885	216.5496
52	1	228.2912	190.3513
53	1	219.4740	174.4523
54	1	223.0980	171.9753
55	1	221.8048	170.4303
56	1	246.2553	144.1136
57	1	246.3727	159.4118
58	1	261.5766	127.2533
59	1	283.0046	77.4556
60	1	264.6044	76.0267
61	1	279.2346	45.6127
62	1	279.3958	41.4558
63	1	262.7195	49.6524
64	1	268.5318	46.3973
65	1	266.2051	51.5260
66	1	249.7618	36.2758
67	1	215.5585	64.1613
68	1	190.0378	73.9160
69	1	196.1553	72.5943
70	1	163.1343	92.8258
71	1	175.8457	78.7044
72	1	129.4139	91.8267
73	1	130.2639	88.3333
74	1	50.0961	104.7569
75	1	48.8222	113.3257
76	1	59.7591	230.0803
77	1	59.1409	281.7772
78	1	86.1856	282.9402
79	1	115.0245	180.3774
80	1	113.6799	186.2801
81	1	149.5063	281.3004
82	1	186.6534	262.6469
83	1	175.4047	243.6169
84	1	186.9359	235.9884
85	1	194.0536	199.8879
86	1	210.0182	219.8732
87	1	223.7164	205.8106
88	1	278.2040	224.1114
89	1	170.7338	157.9841
90	1	170.7055	147.3104
91	1	202.1697	141.9087
92	1	236.2547	92.7951
93	1	238.2236	97.0532
94	1	253.2671	102.3804
95	1	223.2084	37.2441
96	1	164.9859	104.3859
97	1	137.1531	86.6820
98	1	120.4646	59.5723
99	1	136.9861	57.9145
100	1	131.6989	39.5370
101	101	141.3377	37.6555
102	101	152.0840	36.7806
103	101	125.1516	44.1646
104	101	86.5840	54.4775
105	101	57.5625	95.4589
106	101	55.3263	102.4649
107	101	47.1809	84.7943
108	101	45.3972	86.6885
109	101	51.1225	61.6458
110	101	56.8397	52.0942
111	101	62.5236	52.4773
112	101	66.9861	42.9969
113	101	48.0389	41.2428
114	101	38.7655	74.6092
115	101	37.6690	154.3422
116	101	39.4854	183.3817
117	101	39.6360	204.0358
118	101	66.3871	199.5901
119	101	36.3686	213.3831
120	101	63.9814	255.8824
121	101	69.0587	242.4260
122	101	71.7295	277.3690
123	101	93.9053	277.1898
124	101	101.6407	275.6581
125	101	104.4889	276.8063
126	101	95.2183	251.2248
127	101	97.5668	256.0529
128	101	171.7195	282.4879
129	101	174.0559	284.2776
130	101	195.9194	278.1549
131	101	196.1776	262.0488
132	101	200.4606	273.6992
133	101	204.0748	278.6709
134	101	209.1510	276.2726
135	101	219.3066	265.0635
136	101	229.5521	261.5915
137	101	228.6595	279.8268
138	101	234.3726	281.2243
139	101	200.9934	227.7591
140	101	190.6459	214.1557
141	101	184.7279	220.3035
142	101	180.0582	224.8268
143	101	171.1427	231.7208
144	101	166.2188	233.5934
145	101	152.8936	208.8405
146	101	72.6191	171.0965
147	101	160.9399	231.1317
148	101	148.9297	218.3014
149	101	182.6067	49.4367
150	101	173.5695	65.7850
151	101	162.2320	55.4538
152	101	145.6877	40.7185
153	102	145.1671	57.9236
154	102	138.3408	82.7026
