INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	1	279.4420	124.8606
2	1	274.1772	123.6757
3	1	280.7241	140.5609
4	1	279.5382	148.3391
5	1	263.0900	100.4800
6	1	266.6200	94.7600
7	1	263.8400	108.5300
8	1	267.5296	70.6174
9	1	259.8932	73.0196
10	1	245.4650	83.4025
11	1	248.5140	75.1979
12	1	241.9626	77.4435
13	1	235.2000	91.8114
14	1	228.0673	91.0776
15	1	227.9000	85.0000
16	1	227.1929	62.8515
17	1	218.5060	64.9734
18	1	213.6730	72.8711
19	1	216.3219	80.6235
20	1	219.6800	85.6000
21	1	148.8853	46.1589
22	1	148.7900	42.3600
23	1	156.5900	40.7200
24	1	136.4884	84.0214
25	1	126.1344	86.2764
26	1	116.5780	84.6395
27	1	118.4756	92.3939
28	1	125.2189	92.0702
29	1	108.2309	86.2862
30	1	90.4290	88.5973
31	1	85.5552	86.4483
32	1	81.3685	88.7769
33	1	80.1770	95.0004
34	1	73.4778	92.7003
35	1	63.7109	102.0696
36	1	63.1280	108.6283
37	1	94.4464	114.4898
38	1	98.6355	115.3577
39	1	103.1407	116.1591
40	1	95.2616	121.4870
41	1	98.9497	122.8005
42	1	98.2416	109.5069
43	1	93.6703	109.4110
44	1	81.2996	116.0196
45	1	86.1400	127.2285
46	1	93.3326	127.5159
47	1	73.9026	132.8560
48	1	77.0745	142.1418
49	1	78.9813	155.6246
50	1	49.9100	230.3100
51	1	42.4049	245.5233
52	1	60.7904	261.3061
53	1	58.2356	254.1210
54	1	99.8191	271.2446
55	1	91.7688	256.4438
56	1	85.2028	245.6534
57	1	81.9088	239.4206
58	1	75.2300	227.0808
59	1	68.3684	218.4339
60	1	224.3416	212.5279
61	1	230.0700	200.4100
62	1	242.1968	183.3020
63	1	240.0590	178.9024
64	1	245.5537	178.6702
65	1	198.4505	217.9893
66	1	239.3576	199.0955
67	1	196.7906	258.0472
68	1	188.8330	232.1649
69	1	188.8810	227.1858
70	1	191.9136	168.8339
71	1	103.1039	252.8149
72	1	118.5870	192.9480
73	1	155.7867	143.6703
74	1	145.2661	130.9670
75	1	140.4636	130.7573
76	1	213.5729	78.6846
77	1	231.7807	111.9372
78	1	257.5132	120.6844
79	1	219.3105	158.8901
80	1	263.2599	193.3623
81	1	158.3717	210.5769
82	1	160.7845	240.8554
83	1	168.3661	256.3858
84	1	211.2801	267.3133
85	1	244.5830	257.2793
86	1	148.8296	228.4100
87	1	98.4949	242.0713
88	1	68.6943	283.2564
89	1	57.7738	282.1801
90	1	68.9059	273.5127
91	1	46.7000	210.0400
92	1	35.5380	223.9240
93	1	35.4542	236.1935
94	1	52.5535	181.1669
95	1	127.0379	181.3864
96	1	56.0866	155.9254
97	1	61.9485	131.3552
98	1	114.6428	89.9456
99	1	141.9918	122.1346
100	1	125.5314	110.4335
101	101	131.3508	84.7656
102	101	158.1752	88.0709
103	101	283.1000	81.4200
104	101	280.0566	82.9786
105	101	238.8131	64.9728
106	101	226.7364	71.9363
107	101	220.3173	90.7159
108	101	217.2860	87.4227
109	101	159.5000	77.7600
110	101	100.6342	84.2803
111	101	104.4688	87.9211
112	101	96.5620	100.3515
113	101	104.1609	107.7226
114	101	107.4447	107.5959
115	101	86.2334	110.6831
116	101	89.8935	109.0343
117	101	122.7178	186.4656
118	101	121.4841	188.1270
119	101	111.3324	179.5336
120	101	95.1271	229.0208
121	101	91.1820	227.9630
122	101	85.7640	220.2529
123	101	108.3989	260.1511
124	101	108.0645	264.8999
125	101	113.5144	281.2932
126	101	113.5500	275.9700
127	101	88.0885	272.3601
128	101	90.5342	271.6090
129	101	178.3198	199.4366
130	101	172.9832	208.5826
131	101	161.9265	219.4746
132	101	162.4167	225.9974
133	101	173.9700	219.1200
134	101	173.5600	225.8100
135	101	181.2900	241.9000
136	101	176.3400	240.3600
137	101	194.2055	208.2135
138	101	196.9700	192.1100
139	101	193.6856	195.4569
140	101	225.3935	183.3359
141	101	241.5927	187.8633
142	101	240.0869	189.4059
143	101	239.3029	237.9458
144	101	247.5616	238.0112
145	101	249.1966	229.2512
146	101	277.8075	148.7800
147	101	274.4925	146.7761
148	101	273.9601	139.8869
149	101	281.6128	146.9797
150	101	220.3746	212.6973
151	102	228.6400	230.2400
152	102	210.5000	237.7300
153	102	200.6982	219.3646
154	102	52.0114	236.7016
