INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	50	267.5741	225.1084
2	613	59.0201	41.346
3	613	48.3446	64.5991
4	613	102.9152	58.6942
5	613	76.9985	63.4227
6	613	77.1515	103.8042
7	613	39.2046	90.0721
8	613	43.6974	115.9121
9	613	64.3157	112.8323
10	613	89.2407	114.1386
11	613	52.7063	154.0878
12	613	80.9896	150.253
13	613	108.2755	153.7638
14	613	61.2688	180.0574
15	613	54.458	185.1397
16	613	43.8885	175.3743
17	613	47.8514	240.9118
18	613	42.1644	225.395
19	613	88.6062	239.708
20	613	51.1226	272.1021
21	613	99	278
22	613	124.9328	278.3842
23	613	141.6686	253.4959
24	613	171.5283	276.8989
25	613	179.1216	253.2805
26	613	213.4301	276.9509
27	613	227.9079	260.1317
28	613	267.4342	272.0511
29	613	262.5251	252.888
30	613	280.2469	232.5553
31	613	278.8864	236.6986
32	613	249.2798	220.8635
33	613	281.7805	204.4079
34	613	269.2129	221.5787
35	613	264.1431	199.7381
36	613	257.3354	173.7671
37	613	229.1652	185.7286
38	613	212.3423	206.6015
39	613	194.4946	198.6948
40	613	173.9701	206.3092
41	613	157.8343	174.8911
42	613	132.9606	170.9021
43	613	155.2655	143.3181
44	613	187.5489	138.1817
45	613	185.431	122.5989
46	613	188.5592	104.6281
47	613	212.6709	118.1138
48	613	204.8936	123.776
49	613	226.2678	130.7814
50	613	248.7844	126.3971
51	613	275.0637	116.6859
52	613	259.2615	135.5805
53	613	278.0865	141.9205
54	613	283.0803	86.7287
55	613	276.6152	97.7899
56	613	257.8644	89.8571
57	613	243.2689	84.697
58	613	248.2783	60.4115
59	613	224.7955	53.1382
60	613	192.2317	70.0841
61	613	150.5856	50.6897
