INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	5	183.657	71.5609
2	5	268.7885	156.9332
3	5	245.053	168.5305
4	5	36.9635	41.036
5	5	39.0223	49.1936
6	5	90.1964	85.6349
7	5	99.831	81.8843
8	5	114.0052	80.6664
9	5	104.3422	66.1742
10	5	113.7818	61.7618
11	5	119.3979	72.2425
12	5	158.5258	63.3383
13	5	34.8365	72.5413
14	5	43.9475	88.8603
15	5	40.6256	106.8555
16	5	161.41	82.1903
17	5	198.1196	83.1017
18	5	248.0903	65.5816
19	5	241.1166	79.0065
20	5	279.237	108.3492
21	5	266.0978	117.085
22	5	281.3929	161.2349
23	5	280	195
24	5	275.6392	201.8865
25	5	271.0411	210.8532
26	5	263.5585	198.5477
27	5	272.5038	224.2309
28	5	246.3457	238.829
29	5	192.6172	209.6084
30	5	218.4305	243.3432
31	5	244.6944	243.7232
32	5	252.887	245.6499
33	5	282.7829	259.4458
34	5	267.7319	285.1034
35	5	248.7383	286.6111
36	5	256.726	283.2396
37	5	234.5464	284.1798
38	5	177	278
39	5	165	274
40	5	155.3806	271.2254
41	5	151.9801	265.1354
42	5	158.7947	255.7099
43	5	166.4243	249.5925
44	5	147.3846	254.2702
45	5	124.7715	277.9134
46	5	124.5634	267.9774
47	5	131.3967	273.643
48	5	90.4462	200.8163
49	5	80.6486	209.3338
50	5	167.17	147.7597
51	5	195	278
52	5	197.1651	282.0625
53	5	203.7316	282.4452
54	5	285.8578	257.3729
55	5	226.6396	244.4588
56	5	203.628	239.6348
57	5	216.6568	231.8819
58	5	133.521	261.6535
59	5	141.4447	148.3707
60	5	114.4358	200.9782
61	5	203.3584	188.5902
62	5	181.9026	200.5883
63	5	191.2079	277.5773
64	5	137.7357	255.3953
65	5	61.082	224.4036
66	5	72.1484	119.5725
67	5	47.601	82.4482
68	5	59.2046	257.5618
69	5	89.4557	228.5983
70	5	87.2351	269.0527
71	5	164.3238	252.3443
72	5	192.5382	237.5509
73	5	203.3519	225.0606
74	5	214.261	227.1398
75	5	217.7933	215.6392
76	5	182.5503	270.4925
77	5	184.393	255.4404
78	5	230.4653	232.6102
79	5	253.807	224.055
80	5	254.3881	179.9872
81	5	226.9437	190.6189
82	5	242.2943	133.6176
83	5	244.2322	100.1395
84	5	233.6048	75.6935
85	5	205.2085	89.6015
86	5	188.1417	84.6123
