INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	10	127.0551	13.3173
2	10	136.9489	17.2742
3	10	147.9394	38.5554
4	10	230.3168	71.9824
5	10	226.7567	38.9717
6	10	244.4507	37.1481
7	10	275.8349	74.3090
8	10	277.7341	85.2372
9	10	271.9921	86.5563
10	10	284.7192	139.7906
11	10	280.3121	177.4037
12	10	267.0424	165.9140
13	10	251.2041	218.1006
14	10	234.5875	224.8694
15	10	238.8834	201.9662
16	10	261.1919	205.5560
17	10	216.6629	228.9812
18	10	221.7261	233.3842
19	10	201.2045	293.4441
20	10	181.4976	269.4625
21	10	208.0784	225.7641
22	10	193.8549	212.1130
23	10	244.0320	159.1318
24	10	210.5063	162.5897
25	10	190.7951	116.4867
26	10	162.1696	139.9797
27	10	158.9484	135.3864
28	10	189.4783	155.2945
29	10	195.7567	152.4057
30	10	141.6713	202.7900
31	10	113.8307	189.7908
32	10	164.8536	256.3160
33	10	164.1768	247.3642
34	10	144.9987	239.0366
35	10	119.2743	273.8826
36	10	126.8017	273.8810
37	10	87.8052	244.2457
38	10	98.6106	280.5688
39	10	100.7833	273.8483
40	10	80.4374	209.5029
41	10	76.2737	204.6556
42	10	61.8142	215.2522
43	10	60.7079	204.6614
44	10	108.6634	188.8052
45	10	52.8578	158.4946
46	10	59.0953	151.8551
47	10	82.3850	142.5799
48	10	86.8020	144.3752
49	10	44.6135	123.7105
50	10	47.0520	122.3742
51	611	43.3726	39.8810
52	611	50.4787	62.6292
53	611	81.9140	62.4334
54	611	89.6646	97.6230
55	611	72.0378	122.0400
56	611	54.0987	88.2257
57	611	42.1262	114.4631
58	611	58.1200	142.7448
59	611	62.9696	164.9564
60	611	94.3796	158.5348
61	611	115.9330	136.5946
62	611	148.6315	135.8267
63	611	138.0534	160.1838
64	611	118.7211	169.8705
65	611	121.4448	191.3864
66	611	75.1643	214.6107
67	611	74.7524	247.1297
68	611	93.0478	234.9648
69	611	43.7787	246.2760
70	611	41.6776	222.3684
71	611	74.3438	275.9150
72	611	83.3509	290.5445
73	611	120.5958	278.1244
74	611	133.8632	273.5196
75	611	125.4933	255.1834
76	611	143.5721	260.4802
77	611	156.2043	282.9668
78	611	180.3676	273.6560
79	611	202.4538	290.4455
80	611	190.4806	254.6321
81	611	220.4128	277.3810
82	611	236.1811	270.5599
83	611	254.7889	264.4865
84	611	271.3728	267.1402
85	611	267.0632	249.5129
86	611	249.0048	221.3282
87	611	240.1075	194.9221
88	611	267.2597	191.5768
89	611	278.4655	178.7852
90	611	264.3049	162.0757
91	611	272.5467	143.3793
92	611	269.9222	121.6386
93	611	254.7749	83.9951
94	611	240.0476	78.7807
95	611	234.0854	68.4450
96	611	222.7532	91.2268
97	611	261.2284	57.1570
98	611	236.3833	37.2026
99	611	217.1870	56.9642
100	611	218.6706	40.0943
101	611	197.4705	48.0023
102	611	180.3129	73.1776
103	611	166.7061	40.3062
104	611	148.7056	50.8650
105	611	145.7101	89.0871
106	611	118.5381	73.1992
107	611	97.6303	66.2874
108	611	93.6609	46.3185
109	611	123.6584	112.2251
110	611	103.8752	109.2121
