INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	618	65.1132	45.3902
2	618	50.7293	71.2423
3	618	79.6907	41.7133
4	618	97.0878	39.3551
5	618	111.4774	40.8813
6	618	115.3112	51.7144
7	618	96.4855	57.9649
8	618	118.1914	70.3343
9	618	92.2029	77.0632
10	618	80.8657	99.0324
11	618	102.7734	103.1449
12	618	120.9719	98.7213
13	618	138.1683	85.468
14	618	141.7957	66.6382
15	618	156.1269	49.901
16	618	173.5264	42.6297
17	618	195.2839	48.3342
18	618	171.3307	72.5481
19	618	189.8331	68.6766
20	618	216.4114	48.6466
21	618	249.7825	40.1179
22	618	252.8776	68.7057
23	618	278.895	83.6399
24	618	262.1706	94.1082
25	618	279.2762	107.5433
26	618	248.2704	110.0553
27	618	219.8175	113.6139
28	618	234.9023	122.2887
29	618	275.9015	138.9528
30	618	227.8936	136.344
31	618	205.5314	148.473
32	618	230.4095	162.147
33	618	237.505	168.7275
34	618	207.7478	186.9688
35	618	225.8792	204.8661
36	618	200.8195	211.5429
37	618	218.4567	238.1081
38	618	242.8755	223.4938
39	618	253.0447	254.8845
40	618	269.325	272.8128
41	618	224.7674	283.9417
42	618	201.2279	278.1317
43	618	184.8714	267.298
44	618	163.2573	275.5045
45	618	147.4413	257.0045
46	618	131.5647	245.1566
47	618	119.1916	274.4346
48	618	108.5889	243.9451
49	618	80.7355	238.5281
50	618	111.8178	215.0151
51	618	117.6615	199.8003
52	618	38.6178	219.1682
53	618	43.7332	194.6979
54	618	62.1582	189.9387
55	618	88.3561	171.6574
56	618	110.663	169.4751
57	618	131.7781	146.6737
58	618	46.8624	132.6855
59	618	59.5045	131.8207
60	618	50.7914	91.5362
