INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	577	35.0356	33.0869
2	577	28.7067	47.9858
3	577	65.0605	48.4784
4	577	55.2345	59.7185
5	577	82.2503	49.6238
6	577	72.5972	33.4354
7	577	92.5003	40.8178
8	577	103.5700	30.1871
9	577	117.7265	46.6702
10	577	125.2790	43.8057
11	577	131.8481	33.1287
12	577	159.1930	35.0094
13	577	158.9162	61.0116
14	577	120.0367	72.6907
15	577	80.5023	81.2402
16	578	108.8827	131.5623
17	578	121.5966	153.4361
18	578	145.1191	146.8015
19	578	158.2344	156.0952
20	578	153.0747	123.6360
21	578	137.9380	106.1887
22	578	162.3696	94.0472
23	578	138.3308	88.9635
24	578	158.8165	75.1775
25	578	130.8587	62.9620
26	578	113.6763	49.8325
27	578	117.4734	63.7789
28	578	128.9210	80.2194
29	578	130.0110	113.7698
30	578	129.9336	132.1342
31	579	66.0684	159.2880
32	579	86.8068	136.6899
33	579	59.1816	131.2959
34	579	56.9676	148.1366
35	579	33.9289	157.3148
36	579	43.0189	131.1392
37	579	67.9625	114.3551
38	579	46.0682	107.1611
39	579	28.7833	104.5116
40	579	41.7291	92.8005
41	579	56.8996	89.6654
42	579	78.6770	64.7560
43	579	63.3417	33.3077
44	579	29.2470	59.0991
45	579	33.4402	69.9294
