INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	614	50.3698	38.855
2	614	40.125	47.7894
3	614	65.8611	46.7109
4	614	89.331	34.9088
5	614	112.2562	40.6184
6	614	112.6221	61.5794
7	614	101.6298	54.9519
8	614	168.9808	41.1761
9	614	169.5753	57.1633
10	614	199.6174	48.8694
11	614	216.6146	49.8454
12	614	202.5062	64.3272
13	614	252.3765	41.3584
14	614	272.8363	61.9095
15	614	286.669	79.8889
16	614	285.7277	103.1141
17	614	291.5166	144.2475
18	614	285.8223	202.8497
19	614	264.7398	194.6464
20	614	240.6548	180.0705
21	614	231.3888	146.9595
22	614	236.8113	117.6116
23	614	215.1439	145.2532
24	614	198.8106	144.4079
25	614	208.0578	180.1835
26	614	190.8949	191.4137
27	614	240.9538	213.8491
28	614	224.7182	214.0152
29	614	211.5648	238.8215
30	614	236.9039	238.6158
31	614	191.2323	257.373
32	614	162.3053	259.5371
33	614	169.3526	246.6841
34	614	178.1238	237.0695
35	614	148.5521	230.7662
36	614	133.2558	238.951
37	614	121.1163	234.8269
38	614	110.9165	222.5015
39	614	97.5193	219.6948
40	614	119.7521	199.5949
41	614	64.7512	193.9673
42	614	49.0778	178.9864
43	614	77.0985	156.3773
44	614	61.1397	132.2708
45	614	85.0162	134.9777
46	614	71.3811	93.8594
47	614	40.1052	105.9512
48	614	39.0344	80.4223
49	614	64.4623	76.1445
50	614	86.4656	86.1971
51	614	113.5636	135.8561
52	614	124.8436	121.9677
53	614	148.5612	132.8781
54	614	150.4196	117.0927
55	614	189.7615	125.6868
56	614	192.2087	108.3551
57	614	176.9612	107.8127
58	614	185.8716	94.0587
59	614	171.4535	68.1998
60	614	185.6471	50.9599
