INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	615	42.295	41.8334
2	615	42.0128	52.7999
3	615	41.5314	78.8701
4	615	53.0129	76.7126
5	615	58.5957	40.4748
6	615	63.8535	53.8558
7	615	74.1113	72.9512
8	615	82.5164	39.5239
9	615	86.7282	50.7586
10	615	106.3766	51.102
11	615	92.326	63.8241
12	615	113.9459	43.0282
13	615	131.3235	46.4908
14	615	139.5994	35.5208
15	615	153.3496	45.0528
16	615	166.6778	42.072
17	615	194.8838	43.2253
18	615	190.1043	54.422
19	615	176.4201	64.5584
20	615	197.5665	67.5226
21	615	193.7983	82.6884
22	615	211.0175	85.2901
23	615	190.976	93.2729
24	615	204.7703	105.7596
25	615	216.3028	99.5015
26	615	220.4264	122.126
27	615	230.3918	66.173
28	615	227.0615	42.856
29	615	254.2948	40.1694
30	615	277.7251	62.6084
31	615	256.1461	79.6191
32	615	265.5866	104.8718
33	615	262.373	128.51
34	615	243.1372	144.5926
35	615	274.966	160.2604
36	615	268.0112	175.874
37	615	275.2443	201.6642
38	615	240.0069	223.3533
39	615	224.7902	236.231
40	615	206.3809	256.264
41	615	244.6071	272.5658
42	615	278.2313	253.4647
43	615	193.4277	248.3181
44	615	176.7132	267.6945
45	615	150.7496	269.2212
46	615	137.6678	255.6098
47	615	113.0289	269.6925
48	615	93.0238	269.539
49	615	72.9371	276.7176
50	615	72.9965	250.5508
51	615	46.5826	235.0574
52	615	47.9262	216.1094
53	615	40.3825	201.5437
54	615	62.9105	197.2591
55	615	83.1466	173.1503
56	615	60.4638	174.4116
57	615	41.0941	180.0165
58	615	46.0135	164.159
59	615	94.6252	169.3906
60	615	63.5211	124.4795
