INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	617	55.2304	46.6488
2	617	83.1832	41.5354
3	617	69.9653	61.3045
4	617	58.8803	72.3104
5	617	94.8853	57.5436
6	617	98.8474	79.8535
7	617	121.9762	87.1174
8	617	136.952	73.8801
9	617	152.2556	65.0472
10	617	196.2463	68.7999
11	617	191.8452	90.2529
12	617	174.0788	86.0382
13	617	108.4068	107.3122
14	617	85.497	123.2422
15	617	102.3645	140.4389
16	617	75.3037	173.366
17	617	62.0208	192.2753
18	617	74.4883	222.4122
19	617	96.8298	218.0176
20	617	86.8062	242.4321
21	617	99.8507	242.8802
22	617	91.3631	260.2801
23	617	115.2846	259.998
24	617	130.8839	271.6176
25	617	134.1362	236.0888
26	617	143.0539	257.4821
27	617	159.111	248.1745
28	617	180.8037	236.7414
29	617	209.9219	262.5139
30	617	206.9066	282.123
31	617	229.4415	259.7604
32	617	226.544	234.9905
33	617	215.9093	220.5585
34	617	213.0906	185.2073
35	617	248.561	266.0219
36	617	278.2811	266.4933
37	617	279.5361	246.9587
38	617	261.7538	228.4772
39	617	271.2275	213.5256
40	617	254.9817	203.7065
41	617	261.5019	183.6561
42	617	237.7947	173.6602
43	617	227.7948	142.8223
44	617	202.351	131.2987
45	617	223.6493	106.2841
46	617	261.3361	119.7131
47	617	256.2315	91.584
48	617	241.9653	81.8556
49	617	262.2926	65.3625
50	617	242.5269	55.5027
51	617	216.5002	57.3474
52	617	241.199	159.1505
53	617	209.4158	162.1521
54	617	168.7525	185.7989
55	617	186.1512	178.562
56	617	207.8855	206.4319
57	617	183.7829	223.3006
58	617	159.0298	232.3826
59	617	156.2325	207.4277
60	617	164.642	203.533
