INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	93	72.9840	154.6193
2	93	77.1159	140.9756
3	93	58.3022	151.6052
4	93	46.8355	144.5985
5	93	73.3374	105.6203
6	93	54.8743	67.5593
7	93	145.2938	124.7226
8	93	149.2197	121.9922
9	93	144.0824	88.0803
10	93	143.0390	75.7313
11	93	152.3523	72.8148
12	93	83.5327	137.5319
13	93	83.0639	103.4972
14	93	107.7065	103.8091
15	93	131.6420	97.7147
16	94	124.1864	70.0220
17	94	133.8842	84.1251
18	94	139.6915	96.7040
19	94	129.6205	147.6785
20	94	120.0863	144.3960
21	94	113.4200	129.9196
22	94	130.1854	119.4666
23	94	76.1023	151.8791
24	94	62.1190	152.1392
25	94	39.1498	121.3025
26	94	37.2855	92.4446
27	94	38.1485	77.3473
28	94	40.8398	45.2145
29	94	68.2821	55.8559
30	94	87.1757	66.8211
31	95	101.8015	71.3637
32	95	104.7987	68.0666
33	95	59.2608	68.8067
34	95	55.4056	79.2578
35	95	57.8439	120.9024
36	95	78.5933	116.5311
37	95	113.2691	101.6595
38	95	82.8977	99.1527
39	95	136.8491	74.9775
40	95	124.1051	119.7054
41	95	107.5137	99.7044
42	95	74.3529	78.8278
43	95	121.0615	74.8404
44	95	79.4505	56.7932
45	95	38.2102	104.9678
