INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	1	275.8662	132.5348
2	1	280.1157	74.1025
3	1	265.9494	103.5395
4	1	237.5738	91.2130
5	1	259.0000	92.0000
6	1	246.9666	110.5036
7	1	231.4675	153.1298
8	1	221.3047	165.1844
9	1	189.2630	156.5763
10	1	192.0543	163.1623
11	1	174.8915	161.0502
12	1	165.0932	170.5076
13	1	171.2169	144.6794
14	1	130.9455	106.7508
15	1	123.5935	105.0863
16	1	125.1531	73.6053
17	1	112.4899	36.9708
18	1	107.1430	54.8982
19	1	104.2443	53.4031
20	1	80.8124	34.1749
21	1	76.8538	46.4454
22	1	68.2281	64.1079
23	1	61.9405	61.2219
24	1	77.9665	60.1609
25	1	59.5938	90.2472
26	1	67.4975	97.1713
27	1	59.4407	96.8550
28	1	61.3062	104.4000
29	1	54.6822	115.7731
30	1	54.3947	111.9822
31	1	69.8125	109.1152
32	1	75.2379	114.0222
33	1	80.5835	129.6417
34	1	79.0077	123.6066
35	1	76.8614	135.4111
36	1	93.2776	138.9787
37	1	93.1587	142.3279
38	1	93.1791	154.0423
39	1	117.4822	185.4003
40	1	119.4622	175.4290
41	1	110.7604	138.7736
42	1	105.5564	134.4897
43	1	120.4802	135.6591
44	1	109.9916	151.0510
45	1	45.3019	284.7761
46	1	50.8008	284.2198
47	1	33.8097	271.8341
48	1	44.0000	285.0000
49	1	39.2910	251.8464
50	1	41.5941	250.5715
51	1	71.5077	228.8389
52	1	75.7239	228.1781
53	1	88.9374	222.8473
54	1	100.6379	220.3295
55	1	104.7364	242.6540
56	1	97.9055	246.0510
57	1	110.4072	247.7110
58	1	118.1791	246.9827
59	1	105.0226	263.0290
60	1	111.3770	263.0777
61	1	110.9799	266.2365
62	1	208.9901	192.3133
63	1	232.6659	205.7546
64	1	231.5889	215.1089
65	1	226.9043	213.5036
66	1	226.8757	196.3380
67	1	245.4626	210.5976
68	1	253.7623	201.3069
69	1	251.6712	220.3330
70	1	257.4039	232.7638
71	1	256.8649	228.2709
72	1	270.8959	217.4326
73	1	282.2051	225.6461
74	1	257.3274	198.6895
75	1	279.5123	191.3835
76	1	276.4680	287.0952
77	1	265.5097	287.2293
78	1	215.4942	280.8050
79	1	164.4701	286.5964
80	1	154.2715	290.1292
81	1	175.3388	266.1297
82	1	153.8082	263.7968
83	1	190.4161	256.7439
84	1	227.1389	150.5388
85	1	128.7843	124.7778
86	1	122.5245	219.6579
87	1	83.5827	121.6429
88	1	196.8482	223.5023
89	1	194.0968	242.9466
90	1	255.2584	117.2886
91	1	264.1289	108.7488
92	1	57.7821	271.8223
93	1	74.6430	266.0823
94	1	103.6882	229.9838
95	1	112.3355	220.9070
96	1	234.9595	109.5249
97	1	203.7852	175.9337
98	1	168.8476	282.8376
99	1	213.6965	160.6494
100	1	207.0895	168.0409
101	101	135.6955	203.5325
102	101	172.5121	180.1093
103	101	193.5067	169.2700
104	101	200.8219	158.2512
105	101	204.1803	153.9284
106	101	207.5346	149.6437
107	101	205.2082	140.4810
108	101	211.0751	140.8280
109	101	211.2334	134.7180
110	101	236.6443	104.9822
111	101	238.7382	101.8727
112	101	238.2548	94.0505
113	101	244.4963	96.6548
114	101	250.2710	94.2050
115	101	250.9778	88.9848
116	101	248.0000	90.0000
117	101	241.0000	90.0000
118	101	261.0000	95.0000
119	101	252.0000	105.0000
120	101	254.0000	118.0000
121	101	139.6193	163.0991
122	101	184.5057	187.2964
123	101	194.2764	191.0551
124	101	202.4693	199.8936
125	101	178.4993	246.0036
126	101	173.1690	251.8432
127	101	41.5388	169.0971
128	101	53.2953	192.4429
129	101	84.0198	107.0385
130	101	46.5109	82.6485
131	101	60.5836	51.7268
132	101	116.1161	95.6265
133	101	237.4121	158.4389
134	101	238.9104	194.6513
135	101	246.4634	234.2396
136	101	227.9402	253.7645
137	101	200.8123	262.8915
138	101	228.5250	279.7199
139	101	244.4841	246.9399
140	101	227.3040	249.5535
141	101	231.0703	187.1482
142	101	229.5847	218.1401
143	101	248.4425	214.1454
144	101	248.0921	208.1031
145	101	268.6870	197.5382
146	101	274.2008	181.0771
147	101	274.7515	175.0205
148	101	267.9770	143.9039
149	101	260.7011	155.6116
150	101	281.0959	229.7430
151	102	284.7592	283.3630
152	102	269.1770	271.7206
153	102	246.3692	272.9084
154	102	257.4816	282.8642
155	102	209.3326	277.7440
156	102	195.3700	263.9761
157	102	165.6855	281.2980
158	102	155.8991	279.6238
159	102	147.2778	275.8575
160	102	142.6671	263.9962
161	102	167.0695	252.8578
162	102	180.9769	267.5594
163	102	173.6402	247.9724
164	102	177.1954	252.4294
165	102	156.4081	236.8097
166	102	149.9155	233.2669
167	102	140.2274	231.7635
168	102	132.1781	215.2587
169	102	113.7703	223.5987
170	102	86.5100	243.5110
171	102	83.5999	250.9940
172	102	60.7680	252.3794
173	102	60.5363	241.1614
174	102	48.3918	246.0855
175	102	36.4181	271.1962
176	102	30.4441	266.0414
177	102	72.7730	201.1597
178	102	81.3123	199.6974
179	102	94.5009	205.3089
180	102	40.2672	189.4062
181	102	54.1218	162.2870
182	102	62.7225	169.5152
183	102	75.9424	183.3749
184	102	97.4043	128.6997
185	102	84.0938	125.3311
186	102	96.6665	157.3198
187	102	111.0050	135.9399
188	102	119.9946	148.9587
189	102	115.3512	46.9859
190	102	141.1046	42.2319
191	102	119.1911	99.2902
192	102	123.5309	110.3290
193	102	149.5422	106.1038
194	102	159.0668	134.2370
195	102	138.8786	162.5312
196	102	161.5740	156.3735
197	102	206.3099	87.2833
198	102	230.1567	110.8253
199	102	260.0497	114.2705
200	102	188.9797	58.5763
201	201	146.1000	193.1000
202	201	146.2000	193.8000
203	201	146.3000	193.2000
204	201	146.4000	193.5000
205	201	146.5000	193.4000
206	201	146.6000	193.3000
207	201	146.7000	193.7000
208	201	146.5000	193.9000
209	201	146.4000	193.5000
210	201	146.3000	193.2000
211	213	172.2000	173.3000
212	213	172.6000	173.7000
213	213	172.8000	173.5000
214	213	172.4000	173.1000
215	213	235.1400	94.3000
216	213	235.8200	94.7400
217	213	235.0000	95.0800
218	213	236.1000	95.5200
219	213	234.3200	95.8400
220	213	235.2800	96.1000
221	213	234.8200	97.1000
222	213	236.1800	96.5900
223	213	237.2200	94.9200
224	213	237.1400	96.0200
225	213	240.1000	99.5600
226	213	240.6600	99.1100
227	213	241.3500	98.5600
228	213	240.7300	100.2100
229	213	241.5300	99.4400
230	213	242.4200	99.0300
231	600	77.0289	41.2832
232	600	92.7134	39.6727
233	600	95.9991	52.2959
234	600	104.4299	37.1935
235	600	115.0926	50.0970
236	600	120.6621	70.8751
237	600	140.0459	41.6766
238	600	138.4154	56.2553
239	600	139.0415	91.2256
240	600	158.9912	99.6163
241	600	135.6255	97.4660
242	600	136.1122	111.8374
243	600	151.9708	125.1486
244	600	140.3590	139.6947
245	600	146.2937	150.4252
246	600	136.9393	170.0108
247	600	115.9659	137.3142
248	600	113.0792	133.5936
249	600	99.0304	159.8347
250	600	92.9154	131.7829
251	600	62.1069	135.6019
252	600	72.6154	119.3262
253	600	40.2915	123.3615
254	600	50.6669	160.7388
255	600	36.9778	164.1955
256	600	48.4475	194.7006
257	600	74.0611	190.7957
258	600	87.5912	190.5070
259	600	95.6903	207.2810
260	600	43.9657	229.4325
261	600	60.5748	220.4872
