INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	1	104.4316	53.7050
2	1	104.7702	57.0986
3	1	117.8064	66.7305
4	1	113.1885	69.9200
5	1	108.3831	71.5624
6	1	98.4923	69.9768
7	1	109.0628	97.1038
8	1	106.0177	99.5172
9	1	100.6354	101.8339
10	1	98.6604	113.6327
11	1	96.3128	115.5453
12	1	91.2266	142.3711
13	1	98.6029	141.5332
14	1	103.6033	147.9586
15	1	79.6137	217.1948
16	1	38.7101	209.7203
17	1	40.1573	220.8867
18	1	70.5345	273.8115
19	1	68.2981	274.8727
20	1	84.1580	282.7802
21	1	86.0569	281.1892
22	1	78.8150	272.7941
23	1	99.8583	281.7594
24	1	105.8254	278.3486
25	1	104.6737	289.5583
26	1	112.7400	289.2256
27	1	118.9253	288.2340
28	1	125.9856	266.7722
29	1	133.4950	263.7610
30	1	111.2447	265.5734
31	1	124.1043	258.1489
32	1	147.1306	264.6010
33	1	170.9236	263.8799
34	1	222.7823	273.6065
35	1	221.0000	255.0000
36	1	234.9076	251.4428
37	1	245.4261	280.7826
38	1	248.8503	273.2576
39	1	248.6893	270.6687
40	1	256.3721	222.3330
41	1	253.6897	236.8124
42	1	257.0748	232.1129
43	1	245.8775	213.9127
44	1	238.4758	215.2934
45	1	208.3921	227.7377
46	1	195.0114	223.4463
47	1	229.9023	200.9120
48	1	218.2403	190.0801
49	1	191.4018	171.2788
50	1	201.9335	179.2287
51	1	182.4980	177.5860
52	1	196.8798	161.7579
53	1	211.3436	169.1971
54	1	248.5545	188.7832
55	1	280.2166	134.9307
56	1	261.5372	151.5843
57	1	268.4671	137.6653
58	1	260.7103	128.8056
59	1	253.7482	124.8406
60	1	260.5796	115.4974
61	1	262.3879	110.2879
62	1	250.4220	96.2362
63	1	256.0000	100.0000
64	1	265.0000	105.0000
65	1	226.3961	85.8003
66	1	217.2141	85.5475
67	1	128.3362	48.7092
68	1	123.3352	50.5754
69	1	210.5571	127.2763
70	1	224.7219	137.9346
71	1	215.7809	145.0933
72	1	234.1376	86.4600
73	1	261.2722	113.1293
74	1	120.6000	113.2975
75	1	125.3489	108.8946
76	1	117.6361	114.8668
77	1	113.5303	131.4700
78	1	132.2600	196.2105
79	1	137.0007	185.9376
80	1	156.5635	212.0468
81	1	159.0112	213.8704
82	1	154.9445	222.3536
83	1	201.8266	190.5675
84	1	194.5739	167.8400
85	1	241.8129	218.9266
86	1	225.4091	154.7010
87	1	221.7875	156.5989
88	1	242.7234	162.1957
89	1	192.5201	77.8583
90	1	228.8186	154.3134
91	1	238.0064	160.5590
92	1	212.9122	127.7478
93	1	165.7379	44.5182
94	1	168.3646	40.8403
95	1	133.9106	166.5466
96	1	135.6200	174.1848
97	1	145.3524	122.2231
98	1	150.6966	125.2322
99	1	158.2230	135.0268
100	1	163.5507	136.3590
101	101	72.9949	290.2163
102	101	85.0237	290.3458
103	101	101.5148	290.4460
104	101	81.2488	274.6089
105	101	75.4114	262.0947
106	101	75.0353	247.0820
107	101	98.7301	257.8425
108	101	110.5505	254.6271
109	101	39.2438	273.8307
110	101	45.9405	248.6620
111	101	43.6993	236.8556
112	101	90.4707	194.2455
113	101	84.6144	187.8947
114	101	104.8598	138.8307
115	101	109.3418	143.8964
116	101	123.1961	123.6640
117	101	116.7674	119.2436
118	101	143.4434	120.9893
119	101	141.9411	127.5357
120	101	151.9985	135.7950
121	101	164.6671	141.5271
122	101	153.7843	159.6454
123	101	191.1543	230.1560
124	101	230.0722	216.2270
125	101	245.7816	267.5715
126	101	264.8225	265.8505
127	101	257.5130	267.8828
128	101	274.2946	231.0130
129	101	279.8148	219.5841
130	101	275.6134	212.2720
131	101	253.5993	189.6038
132	101	207.3873	201.3517
133	101	190.4215	175.6794
134	101	233.2349	176.3634
135	101	284.6054	182.3349
136	101	277.2937	147.0925
137	101	267.4808	78.5355
138	101	273.5003	62.0820
139	101	283.1482	69.0642
140	101	277.5012	40.9994
141	101	284.4557	45.7244
142	101	244.0028	74.2738
143	101	222.8452	69.5048
144	101	194.2036	41.3806
145	101	185.8289	53.9017
146	101	172.8428	83.3450
147	101	165.3596	82.5714
148	101	130.1774	56.3447
149	101	107.1102	48.1788
150	101	138.2511	93.8063
151	102	149.0248	119.7447
152	102	68.5354	65.6572
153	102	82.5837	48.0245
154	102	193.7336	86.6143
155	102	226.8086	129.0374
156	102	249.3189	105.5585
157	102	233.4608	88.8170
158	102	256.7361	132.2708
159	102	230.7999	142.6983
160	102	214.1362	151.2695
161	102	93.3227	145.5422
162	102	97.8272	156.7057
163	102	78.9818	172.7011
164	102	76.7498	181.1284
165	102	71.7536	190.9592
166	102	59.7168	193.7834
167	102	48.3270	188.1494
168	102	40.5088	186.5238
169	102	29.9854	191.4039
170	102	29.7710	203.6932
171	102	30.8916	211.2403
172	102	29.8635	232.9953
173	102	30.8934	236.1558
174	102	32.7188	244.1145
175	102	35.5904	258.4630
176	102	48.6268	259.8206
177	102	56.7761	255.2474
178	102	133.2868	214.1325
179	102	154.7147	180.3919
180	102	155.0871	246.0681
181	102	127.0221	68.8627
182	102	116.1937	89.5808
183	102	144.2021	54.1258
184	102	170.2594	68.1330
185	102	278.5707	50.8953
186	102	270.0549	65.3112
187	102	277.7954	142.7593
188	102	280.6916	202.2883
189	102	252.5224	198.9267
190	102	247.2423	279.5571
191	102	208.0000	263.0000
192	102	229.8746	251.5876
193	102	226.0093	225.3717
194	102	198.2854	226.5610
195	102	102.6423	267.5419
196	102	83.0737	267.2629
197	102	112.6604	258.2191
198	102	112.2381	226.8477
199	102	124.2870	202.8283
200	102	91.6170	125.7865
201	201	94.5200	146.4200
202	201	95.4100	147.1000
203	201	94.6600	147.3000
204	201	95.9300	147.7600
205	201	95.2000	147.9700
206	201	96.6100	148.3600
207	201	95.8700	148.6600
208	201	97.2500	148.8500
209	201	96.5200	149.1500
210	201	97.9300	149.4100
211	201	97.2400	149.6500
212	201	98.1800	150.4400
213	213	97.7900	155.3400
214	213	96.6400	156.4400
215	213	95.9600	157.3400
216	213	96.6100	158.3200
217	213	95.6000	158.4200
218	213	96.6600	159.1700
219	213	95.6000	159.5800
220	213	137.3400	263.3300
221	213	137.8700	263.5700
222	213	136.7200	264.0300
223	213	137.3100	264.7700
224	213	135.9300	264.8000
225	213	136.1800	265.5600
226	601	73.3364	34.5377
227	601	100.6609	52.0217
228	601	131.4337	51.1481
229	601	143.6153	51.7065
230	601	116.6816	71.1592
231	601	136.3538	70.0545
232	601	63.8973	59.5780
233	601	78.4475	100.6879
234	601	79.4515	125.5244
235	601	61.2454	116.8384
236	601	43.3924	109.4606
237	601	45.5634	138.8754
238	601	97.3385	137.9136
239	601	103.3295	160.8346
240	601	149.2671	159.0780
241	601	143.3106	167.7108
242	601	103.8743	199.8736
243	601	95.0999	198.0134
244	601	69.6045	205.8586
245	601	58.9727	221.8910
246	601	49.4571	211.6907
247	601	46.6607	200.4350
248	601	31.5097	222.5000
249	601	35.4459	253.5292
250	601	41.9488	257.9056
251	601	51.9564	256.6659
252	601	45.2552	270.5507
253	601	117.8837	282.9452
254	601	106.8508	266.4966
255	601	127.1362	251.8816
256	601	163.3925	277.1830
257	601	236.0301	273.8576
258	601	265.5251	270.4441
259	601	253.2892	252.9869
260	601	251.8488	237.1561
261	601	245.1655	220.1123
262	601	278.6842	203.6544
263	601	266.5314	220.6471
264	601	252.9009	203.5541
265	601	289.5002	188.5614
266	601	276.9436	172.6582
267	601	260.0808	174.3513
268	601	226.7188	167.4848
269	601	221.0624	192.0598
270	601	178.2266	198.4830
271	601	165.1776	218.4388
272	601	200.2003	231.2124
273	601	200.4155	219.8488
274	601	203.2889	194.8621
275	601	196.8728	167.1404
276	601	202.6334	149.2825
277	601	198.3425	148.5422
278	601	258.8701	130.6290
279	601	244.8843	143.6304
280	601	258.3235	111.5621
281	601	249.7238	109.6164
282	601	231.9051	102.6206
283	601	229.7848	109.9742
284	601	184.4420	77.9935
285	601	185.8017	60.3030
286	792	89.9296	218.1939
287	792	90.7676	205.6163
288	792	105.2716	205.5815
289	792	105.6157	220.8129
290	792	105.1851	235.3620
291	792	90.3601	235.9730
292	792	77.2350	235.1404
293	792	76.1839	222.6128
294	792	76.7118	205.1820
295	792	75.4805	192.4031
296	792	90.9680	190.6513
297	792	105.4016	190.6589
298	792	118.9142	186.7842
299	792	119.2539	205.9007
300	792	120.5075	218.3932
301	792	120.1688	232.2832
302	792	119.7570	247.5058
303	792	105.8440	249.3204
304	792	90.7301	249.5904
305	792	75.1627	250.5047
306	792	76.6662	280.5310
307	792	60.9035	219.1131
308	792	59.4828	198.8330
309	792	82.0955	176.8497
310	792	105.1931	176.4031
311	792	121.1030	170.6249
312	792	142.0848	176.7568
313	792	134.2815	192.2400
314	792	135.0027	205.7453
315	792	121.9308	264.5169
316	792	90.8105	265.7185
317	792	74.9920	270.5406
318	792	46.2324	266.5272
319	792	46.8337	250.9744
320	792	47.6885	232.8682
321	792	171.5424	172.2061
322	792	183.7689	158.0939
323	792	187.0715	183.2121
324	792	204.9620	165.9602
325	792	200.0784	205.8592
326	792	214.9409	218.5537
327	792	185.2508	228.6604
328	792	193.8098	243.1366
329	792	197.2007	279.7865
330	792	159.0019	225.8657
331	792	178.9582	210.6157
332	792	251.2560	224.2364
333	792	249.3074	233.8293
334	792	232.4380	229.9365
335	792	229.7269	243.2486
