INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	253	50.0005	189.0396
2	253	50.5659	189.5331
3	253	51.315	190.0132
4	253	52.4634	190.2994
5	249	49.0858	194.9899
6	249	48.3591	194.2378
7	249	47.665	193.7957
8	249	46.3184	193.9839
9	13	196.9895	224.8791
10	13	202.7144	185.3045
11	13	198.2606	148.2298
12	13	172.143	129.28
13	13	172.5889	178.1285
14	14	124.6461	39.7448
15	14	98.4537	32.362
16	14	80.6752	52.4867
17	14	74.0807	87.9123
18	14	43.8521	115.4695
19	14	22.4702	194.922
20	14	65.2471	230.4479
21	14	90.9066	206.1696
22	14	117.0633	223.6668
23	14	121.699	215.3925
24	9	166.2286	35.6478
25	9	166.7575	50.6234
26	9	227.2531	52.6696
27	9	226.7837	62.3456
28	9	192.2032	117.4145
29	9	204.2594	235.1256
30	9	138.794	225.0714
31	9	116.9548	205.8808
32	9	96.7682	211.2644
33	9	86.2537	208.2308
34	9	69.9675	231.1033
35	9	65.8078	220.1643
36	9	39.2133	232.4958
37	9	51.5863	219.734
38	9	80.9397	200.5863
39	10	22.237	150.1916
40	10	55.5087	217.5053
41	10	61.7999	216.5022
42	10	55.9348	232.845
43	10	62.802	229.7347
44	10	72.2815	216.5914
45	10	84.6776	224.4406
46	10	89.8528	197.2125
47	10	100.0472	188.5376
48	10	117.0646	186.1145
49	10	112.7568	188.5889
50	10	111.3593	202.5793
51	10	122.5626	206.2539
52	10	134.9453	225.4364
53	10	108.2213	227.4466
54	10	100.9173	228.6308
55	10	223.0448	126.2803
56	10	221.3283	183.7749
57	10	225.8323	36.1204
58	10	168.2316	52.9982
59	10	161.3438	42.1056
60	10	182.0727	29.0179
61	10	147.1989	80.1033
62	10	109.0272	162.6041
63	10	76.384	123.2591
64	10	100.8479	85.9038
65	10	94.5517	41.2819
66	10	68.0685	76.0739
67	10	87.8381	158.896
68	10	62.6363	144.1906
69	10	45.0718	186.9085
70	10	162.0026	139.3967
71	10	136.1117	109.1092
72	10	101.5821	117.7369
73	10	182.9708	168.3209
74	10	212.3179	179.8505
75	10	164.9729	47.3224
76	10	141.6916	88.5318
77	10	206.2944	168.4232
78	10	181.1458	214.5119
79	125	211.7125	148.4813
80	125	200.8642	132.1514
81	125	225.1934	133.0784
82	125	219.641	118.9549
83	125	220.8099	104.8419
84	125	200.7346	101.2992
85	125	220.0254	90.6304
86	125	204.7564	64.0099
87	125	195.8288	67.2867
88	125	176.972	95.023
89	125	186.9169	107.1776
90	125	139.1439	59.46
91	125	129.854	35.413
92	125	32.2567	61.1798
93	125	53.4877	74.6165
94	125	35.7283	78.8917
95	125	56.6255	80.6358
96	125	44.4442	92.1165
97	125	58.03	52.3984
98	125	168.5491	187.2664
99	125	173.8299	199.6155
100	125	159.6575	196.2275
101	125	154.1473	124.2058
102	125	166.2417	145.6785
103	125	129.2822	134.0373
104	125	144.4159	153.5235
105	125	91.6972	134.5389
106	125	93.4743	163.3713
107	125	118.5706	94.9874
108	125	90.0237	95.3042
109	125	67.7285	117.5531
110	125	67.7693	140.8356
111	125	101.3576	66.529
112	125	121.1102	45.5518
113	125	86.202	53.2159
114	126	192.5813	138.779
115	126	200.0913	156.9681
116	126	199.3774	170.5555
117	126	176.8981	145.1523
118	126	174.083	167.838
119	126	202.767	90.5301
120	126	216.7368	63.1185
121	126	192.742	54.2609
122	126	167.569	39.8301
123	126	224.0888	40.8365
124	126	61.2621	70.101
125	126	48.992	87.1136
126	126	34.8658	74.5539
127	126	35.6741	61.3853
128	126	59.5317	63.496
129	126	62.9318	234.1958
130	126	84.0006	214.6469
131	126	82.6871	228.6438
132	126	47.7254	231.1327
133	126	145.2287	232.8589
134	126	205.9863	179.7223
135	126	175.1306	217.3025
136	126	176.5572	193.8985
137	126	171.8078	185.8043
138	126	165.1966	173.7142
139	126	147.9589	138.7833
140	126	125.379	108.3738
141	126	116.0279	146.8902
142	126	76.3815	139.3039
143	126	140.2428	159.8988
144	126	112.8972	82.4297
145	126	135.9053	88.8793
146	126	75.0574	106.9676
147	126	51.5761	112.3209
148	126	30.1836	114.1514
149	623	205.8914	229.6019
150	623	189.0318	221.9092
151	623	214.9136	179.5919
152	623	194.2148	159.6411
153	623	184.8486	183.0322
154	623	144.6316	192.5135
155	623	163.4118	158.697
156	623	173.8936	126.1071
157	623	146.4622	118.3764
158	623	130.6994	142.7681
159	623	104.9045	170.2792
160	623	99.8562	131.3746
161	623	80.325	178.1154
162	623	75.6893	150.0003
163	623	48.5687	232.6972
164	623	74.3137	221.8293
165	623	89.344	212.601
166	623	67.6668	178.0762
167	623	33.4342	186.5996
168	623	44.8233	167.8033
169	623	28.4308	158.2912
170	623	31.8212	116.8287
171	623	49.224	107.5787
172	623	63.5037	89.7886
173	623	91.3022	83.7909
174	623	79.3109	114.9585
175	623	123.4948	88.8088
176	623	128.5109	43.8116
177	623	102.5518	37.9392
178	623	80.5206	55.4392
179	623	51.1425	48.1406
180	623	19.6623	40.0228
181	623	38.4372	74.7634
182	623	179.9239	38.3774
183	623	203.1458	43.6224
184	623	219.623	58.6515
185	623	209.0315	84.1648
186	623	221.3197	121.8613
187	623	196.8774	130.9431
188	623	139.629	238.2765
