INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	96	47.9490	47.8610
2	96	35.3008	50.0817
3	96	48.1396	32.6954
4	96	58.9027	31.4820
5	96	61.1472	45.8096
6	96	51.8142	56.6576
7	96	33.4585	72.1590
8	96	32.3267	87.8877
9	96	55.2511	81.6584
10	96	81.7063	53.6714
11	96	51.5726	139.8601
12	96	76.4927	70.3499
13	96	79.0000	127.0000
14	96	88.0000	112.0000
15	96	69.0000	154.0000
16	97	156.4230	51.5564
17	97	158.6041	39.3411
18	97	133.5260	39.7657
19	97	138.4410	51.5118
20	97	128.8935	63.0013
21	97	118.7086	76.3834
22	97	116.4981	57.8050
23	97	112.7728	77.4414
24	97	111.4807	61.8031
25	97	148.0071	52.0557
26	97	150.5270	84.2549
27	97	128.0000	157.0000
28	97	148.0000	123.0000
29	97	102.0000	63.0000
30	97	116.2130	131.9715
31	98	142.3210	96.5030
32	98	144.1950	86.5805
33	98	134.1446	106.9746
34	98	123.1720	99.9205
35	98	121.6680	85.8115
36	98	139.5394	113.8079
37	98	112.8965	118.6167
38	98	130.0093	139.0894
39	98	158.3907	140.5443
40	98	159.5773	133.9765
41	98	102.6732	115.0669
42	98	127.3773	74.0819
43	98	155.9643	63.5616
44	98	159.3466	157.3484
45	98	54.9043	115.9352
