INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	592	80.1969	37.5328
2	592	56.4940	45.1718
3	592	76.5015	68.6936
4	592	116.6087	73.1163
5	592	131.2734	64.9333
6	592	89.4544	95.2244
7	592	50.4749	66.9038
8	592	36.2572	71.7029
9	592	46.6463	81.6825
10	592	72.1452	82.4140
11	592	135.2748	75.1350
12	592	131.6109	86.3404
13	592	135.1794	96.8841
14	592	115.2245	103.4932
15	592	81.1850	106.5379
16	593	49.9038	39.5580
17	593	31.0203	37.5294
18	593	35.1592	56.9802
19	593	44.9119	62.6058
20	593	37.7198	141.2005
21	593	46.1784	149.5139
22	593	55.3153	141.5170
23	593	86.9819	126.3982
24	593	112.5947	127.0138
25	593	135.0923	142.2471
26	593	149.5948	145.1256
27	593	157.0826	139.1163
28	593	154.5677	119.9296
29	593	148.1217	33.9486
30	593	145.5450	47.8597
31	594	84.4383	112.6576
32	594	100.5694	114.9228
33	594	101.3128	84.7463
34	594	81.9136	80.9638
35	594	111.0999	40.6527
36	594	67.1441	40.2253
37	594	67.7544	60.7332
38	594	39.0675	82.1151
39	594	122.8713	64.7533
40	594	117.0394	80.0529
41	594	130.6438	92.7810
42	594	104.8528	107.1209
43	594	76.2305	106.3776
44	594	58.4775	115.3195
45	594	64.0024	120.4262
