INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	580	40.3025	137.7899
2	580	39.4446	183.2217
3	580	112.5815	158.9662
4	580	105.6563	139.8770
5	580	70.1163	117.0389
6	580	115.6923	131.2831
7	580	84.1663	78.5893
8	580	41.9707	47.9545
9	580	60.5456	76.9590
10	580	73.5029	40.3440
11	580	103.6143	66.1294
12	580	41.3067	97.8595
13	580	69.0219	91.9930
14	580	92.0385	129.0283
15	580	100.8996	179.9398
16	581	72.1407	188.2972
17	581	43.0500	172.1083
18	581	54.2847	144.4314
19	581	67.0741	171.1087
20	581	112.3117	167.4010
21	581	84.8765	141.9819
22	581	74.7174	128.2033
23	581	86.0104	106.1196
24	581	106.2371	124.7405
25	581	68.7383	80.6049
26	581	63.0723	114.0887
27	581	41.5330	92.1972
28	581	38.5127	59.4308
29	581	73.5911	51.3649
30	581	100.8284	102.8157
31	582	84.5057	119.0143
32	582	102.2116	130.5115
33	582	104.8367	115.0690
34	582	76.0258	80.4284
35	582	70.7803	148.1425
36	582	108.5503	172.1742
37	582	84.0853	165.9444
38	582	40.1948	167.1953
39	582	50.3137	139.6795
40	582	55.0560	94.4121
41	582	53.4015	46.2507
42	582	62.8483	67.5358
43	582	84.1628	63.8572
44	582	73.5256	51.8284
45	582	98.4958	40.2854
