INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	8	182.9602	266.9626
2	8	201.1545	260.1851
3	8	216.9821	248.4364
4	8	221.4091	239.707
5	8	226.5793	251.7733
6	8	230.3914	247.5004
7	8	231.5822	250.2067
8	8	276.7672	231.9078
9	8	268.5636	230.4694
10	8	286.3318	227.1949
11	8	264.2784	190.7134
12	8	243.2166	192.7731
13	8	265.404	168.3138
14	8	226.6907	129.4512
15	8	270.7396	133.9972
16	8	274.5406	132.415
17	8	272.3274	136.8426
18	8	279.4679	124.7947
19	8	286.796	112.7608
20	8	266.9494	61.1396
21	8	257.1201	78.2429
22	8	250.5129	79.5826
23	8	233.3934	120.4716
24	8	231.2284	101.5673
25	8	242.964	106.952
26	8	238.8378	144.3211
27	8	202.6053	167.5203
28	8	202.9305	164.9761
29	8	202.8384	171.1545
30	8	171.9194	131.3947
31	8	168.9088	141.2551
32	8	165.7661	153.6071
33	8	166.108	157.588
34	8	169.4008	105.4349
35	8	189.77	97.3493
36	8	188.9291	100.6358
37	8	187.9891	103.7373
38	8	180.5872	81.2773
39	8	217.5153	85.5554
40	8	216.9215	92.5181
41	8	262.9042	45.0805
42	8	257.5046	48.7177
43	8	119.2288	35.1197
44	8	126.6393	72.7041
45	8	87.1317	75.4803
46	8	82.9607	74.1708
47	8	55.488	53.117
48	8	37.6531	81.3833
49	8	46.4019	103.6304
50	8	49.0436	104.3172
51	8	54.8121	112.4245
52	8	80.268	132.1705
53	8	82.9657	136.0029
54	8	88.3011	138.8787
55	8	102.1602	135.8492
56	8	101.4047	139.691
57	8	88.8456	168.692
58	8	94.0709	167.3882
59	8	98.4978	162.2191
60	8	57.2399	185.2217
61	8	60.7079	210.4307
62	8	59.2876	204.003
63	8	108.9385	268.7046
64	8	97.3348	283.5709
65	8	117.1036	270.1017
66	8	125.36	213.3724
67	8	120.9541	207.5513
68	8	121.7357	199.8452
69	8	118.6948	197.4421
70	8	180.7961	254.5402
71	8	177.8233	238.3645
72	8	182.7709	237.5654
73	8	194.9152	212.5358
74	8	192.9566	216.9105
75	8	190.4235	222.4026
76	8	125.5305	136.8581
77	8	134.9926	163.2071
78	8	151.5256	182.4403
79	8	100.4875	75.5994
80	8	113.6267	96.9268
81	8	137.2237	77.9879
82	8	159.7218	36.1213
83	8	175.2699	33.8816
84	8	172.1495	35.4367
85	8	165.5105	56.1736
86	8	165.5959	66.6933
87	8	152.0787	109.2632
88	8	151.9567	189.6634
89	8	142.3536	247.6034
90	8	143.1359	241.8366
91	8	145.048	237.5597
92	8	144.2988	258.5556
93	8	142.6906	264.4293
94	8	104.5483	259.4344
95	8	107.3548	255.9464
96	8	113.1852	225.4168
97	8	182.2047	144.3415
98	8	184.7991	173.7861
99	8	192.8287	192.8157
100	8	206.6775	200.5737
101	120	191.6756	209.0725
102	120	181.945	267.3656
103	120	184.4034	266.6521
104	120	244.3044	276.4655
105	120	270.8119	232.6741
106	120	252.851	251.0593
107	120	252.0141	251.5256
108	120	248.79	212.2074
109	120	246.5602	212.5419
110	120	243.8323	212.6626
111	120	262.9147	190.4677
112	120	266.5586	191.5792
113	120	280.2043	176.8508
