INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	583	156.7199	129.0834
2	583	107.5317	147.2248
3	583	95.5940	129.6503
4	583	161.1533	67.8232
5	583	62.3040	52.7677
6	583	42.3204	71.9942
7	583	46.4243	137.6901
8	583	39.1800	160.4413
9	583	44.5539	151.4850
10	583	75.3884	156.9888
11	583	127.7062	152.1396
12	583	155.8759	115.2797
13	583	62.0708	75.8378
14	583	70.8713	132.5720
15	583	76.7335	157.9801
16	584	54.7953	152.9751
17	584	39.6681	145.6982
18	584	92.8250	118.5743
19	584	115.2961	157.1346
20	584	119.5119	130.3300
21	584	140.6328	131.0383
22	584	143.7076	118.9753
23	584	131.9067	46.9447
24	584	153.7920	42.2725
25	584	42.8639	54.3533
26	584	47.4268	77.2587
27	584	72.3436	60.6781
28	584	40.4721	120.9338
29	584	45.7515	49.1547
30	584	137.4749	155.4904
31	585	111.2789	138.8784
32	585	157.2072	119.0520
33	585	138.9486	123.5907
34	585	70.8978	68.4259
35	585	55.7416	53.1554
36	585	68.9545	44.9674
37	585	62.6972	127.1688
38	585	64.3442	150.0525
39	585	38.1677	150.5672
40	585	125.3802	159.6574
41	585	139.0304	145.9515
42	585	152.1622	139.3281
43	585	148.4610	115.7641
44	585	162.3103	57.4096
45	585	137.3774	37.7654
