INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	777	120.6957	54.594
2	777	118.4634	44.2988
3	777	122.4283	49.0666
4	777	126.2884	54.2452
5	777	131.2633	52.8297
6	777	137.6817	47.9585
7	777	138.7001	40.723
8	777	144.4635	40.649
9	777	143.5911	45.3498
10	777	147.3974	51.6081
11	777	151.177	52.6154
12	777	158.9861	52.2468
13	777	144.3674	56.1734
14	777	147.8973	59.7454
15	777	155.7223	59.6496
16	777	165.4102	54.2103
17	777	179.994	49.4052
18	777	180.1409	42.0415
19	777	191.7193	41.0343
20	777	187.668	48.3085
21	777	199.1675	42.5491
22	777	180.0226	59.9936
23	777	183.6715	63.8872
24	777	179.3788	75.6673
25	777	173.6247	83.2875
26	777	161.054	83.1269
27	777	135.1652	75.928
28	777	134.8695	70.3507
29	777	153.6964	97.5655
30	777	145.2718	107.5561
31	777	149.9199	112.1612
32	777	160.5392	109.9922
33	777	164.7556	107.1427
34	777	160.6892	117.8496
35	777	164.2557	124.3387
36	777	150.5481	119.3538
37	777	145.9963	121.7651
38	777	139.0472	121.9038
39	777	133.1622	105.1454
40	777	125.5191	117.6335
41	777	113.9953	103.6402
42	777	119.5285	89.768
43	777	115.1352	89.0619
44	777	94.1073	80.9807
45	777	81.9639	71.4801
46	777	88.8067	71.0432
47	777	94.4402	58.3715
48	777	70.3216	74.5908
49	777	64.3394	59.0436
50	777	49.5458	52.0261
51	777	44.0771	56.3507
52	777	140.5995	129.5003
53	777	151.6937	126.2251
54	777	157.562	126.4752
55	777	161.7558	139.5541
56	777	207.302	164.7102
57	777	208.2612	150.6036
58	777	283.7225	149.6342
59	777	275.0301	160.0707
60	777	273.6935	175.8005
61	777	276.2571	186.8586
62	777	270.1602	186.8407
63	777	245.7155	175.6675
64	777	246.9273	183.5343
65	777	228.3935	190.0091
66	777	233.6772	196.5684
67	777	219.0101	176.7305
68	777	221.9112	188.3795
69	777	231.5867	210.2614
70	777	232.5235	203.8401
71	777	212.9693	206.6531
72	777	212.066	199.6256
73	777	204.5504	196.0628
74	777	212.9348	214.3166
75	777	191.9301	192.0863
76	777	209.6192	234.3844
77	777	208.5636	222.7577
78	777	217.8675	236.171
79	777	212.0535	246.7657
80	777	216.4513	254.3775
81	777	222.0588	256.5087
82	777	224.1595	260.1452
83	777	218.7415	261.6506
84	777	189.2669	264.0286
85	777	191.7918	258.2843
86	777	183.1603	254.6782
87	777	175.0489	254.8858
88	777	169.0067	253.5108
89	777	154.3987	254.518
90	777	156.7407	259.9995
91	777	169.0649	272.4792
92	777	178.1048	272.434
93	777	170.8536	270.2661
94	777	159.1138	248.0983
95	777	157.9761	241.8919
96	777	172.1022	233.7006
97	777	185.4557	240.436
98	777	151.6736	233.2029
99	777	140.6539	229.0772
100	777	149.0525	222.7174
101	777	139.9605	222.1075
102	777	144.7986	218.8166
103	777	145.4667	211.9288
104	777	139.1205	213.2953
105	777	136.6804	204.4839
106	777	148.2358	208.4499
107	777	148.7435	196.1732
108	777	132.7617	195.8818
109	777	187.8226	206.6775
110	777	184.2538	213.4896
111	777	179.4493	214.2829
112	777	171.6275	209.4904
113	777	172.7474	201.6834
114	777	172.4501	191.7181
115	777	163.7091	191.7718
116	777	162.1386	184.7714
117	777	156.0048	179.798
118	777	162.8769	177.9863
119	777	130.8049	137.1408
120	777	118.0958	139.5899
121	777	115.5565	125.4583
122	777	104.502	121.5218
123	777	207.017	73.3354
124	777	226.9602	69.878
125	777	229.6722	76.0689
126	777	241.2397	78.8151
127	777	253.5455	85.1692
128	777	249.7141	94.5755
129	777	244.7362	99.1628
130	777	261.17	72.5971
131	777	260.8287	69.2298
132	777	260.6491	60.5272
133	777	269.4032	54.1777
134	777	271.7774	69.3531
135	777	277.3765	64.6351
136	777	277.0715	58.949
137	777	269.8537	62.3633
138	777	282.5734	62.7058
139	777	281.6035	76.3161
140	777	279.3968	80.4754
141	777	273.6283	82.1067
142	777	271.2153	94.0356
143	777	274.9879	96.219
144	777	278.4864	101.3275
145	777	272.6608	101.7708
146	777	268.4312	107.1536
147	777	277.4263	109.9923
148	777	276.8465	115.2867
149	777	270.698	115.1641
150	777	260.563	116.1215
151	777	251.5776	124.631
152	777	265.2783	124.4065
153	777	274.4264	129.6878
154	777	285.8051	132.7065
155	777	237.4783	136.6822
156	777	221.7861	268.1955
157	777	233.9387	264.142
158	777	232.2984	273.4585
159	777	242.5663	262.7208
160	777	250.5083	271.8041
161	777	254.1243	262.3429
162	777	269.518	269.5492
163	777	278.3771	262.8006
164	777	262.0177	255.4937
165	777	266.0814	245.3996
166	777	243.6367	246.9586
167	777	255.5831	238.9344
168	777	239.5376	235.1785
169	777	248.66	234.3036
170	777	246.8129	204.9745
171	777	246.6881	208.1947
172	777	270.9355	177.413
173	777	274.4748	182.5771
174	777	269.5977	179.8357
175	777	279.626	183.2263
176	777	246.4373	196.7305
177	777	246.8823	190.5554
178	777	256.3112	180.2847
179	777	264.0244	180.1763
180	777	220.0604	181.0748
181	777	217.6046	182.759
182	777	216.2896	179.586
183	777	209.7033	175.603
184	777	208.3377	178.9899
185	777	206.4177	176.8615
186	777	213.379	161.553
187	777	213.6681	154.8104
188	777	207.2042	157.0802
189	777	203.1496	156.9819
190	777	156.0309	118.6743
191	777	140.5179	113.7684
192	777	132.7458	115.269
193	777	151.8987	55.333
194	777	152.5092	52.4914
195	777	153.9828	71.8091
196	777	150.9961	67.8784
197	777	158.1964	64.7086
198	777	134.6327	56.5162
199	777	143.8055	51.7412
200	777	160.161	53.2166
