INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	2	78.3292	45.1312
2	2	87.3666	48.9877
3	2	77.2625	52.41
4	2	101.1039	70.7609
5	2	62.6931	78.0391
6	2	58.3767	91.7819
7	2	76.8997	93.9885
8	2	93.7324	95.8392
9	2	114.3598	112.9966
10	2	116.2485	122.3162
11	2	106.8439	122.3408
12	2	58.0323	176.5394
13	2	50.2508	199.0717
14	2	71.0344	195.6207
15	2	77.0956	187.8733
16	2	194.4921	175.3037
17	2	207.6342	158.8939
18	2	173.7664	106.9596
19	2	198.5433	104.6193
20	2	214.0011	75.268
21	2	234.4058	82.5752
22	2	140.5761	110.2563
23	2	118.7214	125.7432
24	2	169.2747	141.955
25	2	236.5811	130.8942
26	2	240.7273	113.1304
27	2	240.8613	134.2328
28	2	195.801	161.9069
29	2	173.9214	149.6619
30	2	166.7815	145.5798
31	2	198.4826	176.6055
32	2	203.0293	190.1469
33	2	180.7805	206.0733
34	2	167.9047	191.5715
35	2	170.0525	202.6658
36	2	178.411	200.7133
37	2	195.7042	211.0635
38	2	241.8423	253.6378
39	2	227.0157	256.6681
40	2	261.1583	260.5649
41	2	231.6952	266.3654
42	2	110.9762	264.1912
43	2	110.0117	258.3465
44	2	99.25	263.7179
45	2	94.5857	256.1812
46	2	78.0392	253.6127
47	2	75.8107	241.7524
48	2	67.2723	268.5967
49	2	51.2709	270.7721
50	2	47.0413	255.0214
51	2	80.1457	217.6266
52	2	90	216
53	2	90.9752	206.567
54	2	114.0023	232.5573
55	2	113.533	194.7308
56	2	111.2901	178.7597
57	2	187.6216	175.1646
58	2	195.2303	170.7846
59	2	202.8828	161.9832
60	2	216.2631	127.7161
61	2	232.2482	84.6703
62	2	223.6337	79.8502
63	2	146.0659	114.6581
64	2	165.4886	110.6217
65	2	170.6968	110.7339
66	2	115.6962	116.0424
67	2	108.1346	85.4454
68	2	81.2638	84.3297
69	2	69.29	85.1011
70	2	61.2658	91.1653
71	2	49.96	93.1056
72	2	85.1187	141.3274
73	2	56.8386	142.3315
74	2	94.7043	153.8847
75	2	83.1287	245.6293
76	2	71.0387	260.1274
77	2	72.6653	250.0839
78	2	72.421	238.8486
79	2	68.6397	230.5293
80	2	128.3186	253.5905
81	2	125.1474	246.4562
82	2	77.0755	197.7963
83	2	66.1905	187.2872
84	2	64.1754	174.1542
85	2	151.9558	168.2036
86	2	164.9233	168.7332
87	2	174.7569	143.4123
88	2	114.2578	87.5764
89	2	97.8057	81.0183
90	2	218.8449	132.709
91	2	195.2921	134.9524
92	2	227.2231	118.1133
93	2	224.8259	112.8421
94	2	219.4013	81.6061
95	2	213.9912	79.2411
96	2	218.2795	74.2347
97	2	205.5822	72.5347
98	2	205.4212	199.6245
99	2	204.0567	186.4488
100	2	204.6891	178.6172
101	103	80.5828	53.0148
102	103	78.892	60.2818
103	103	63.8553	81.3147
104	103	81.7838	87.9409
105	103	71.6574	87.7041
106	103	87.3453	92.0109
107	103	105.0923	82.3853
108	103	98.0306	73.4354
109	103	115.9951	87.7691
110	103	119.4597	120.0512
111	103	118.0337	128.9362
112	103	143.1305	134.0917
113	103	127.9073	143.2835
114	103	168.6971	144.5428
115	103	173.096	152.7437
116	103	194.0151	135.035
117	103	193.5515	128.9584
118	103	181.35	106.4137
119	103	169.2876	108.2915
120	103	199.0805	104.2095
121	103	199.4663	89.3193
122	103	216.3609	83.6859
123	103	217.9761	74.8174
124	103	230.3888	81.4636
125	103	233.4004	90.529
126	103	240.3612	121.1958
127	103	238.1707	125.9543
128	103	231.1612	134.53
129	103	219.8266	129.8474
130	103	163.9868	151.7076
131	103	167.799	170.1638
132	103	194.7326	172.6444
133	103	203.4393	166.7317
134	103	193.5567	166.0792
135	103	204.9965	187.3959
136	103	198.456	177.401
137	103	206.8648	204.6728
138	103	174.6814	206.2737
139	103	170.7058	196.5359
140	103	190.1539	223.8457
141	103	238.6838	250.6527
142	103	246.0356	255.3398
143	103	262.966	266.3496
144	103	227.5477	261.4285
145	103	153.289	239.9729
146	103	147.7769	235.3667
147	103	140.086	220.3482
148	103	138.4031	205.4312
149	103	119.3791	200.6769
150	103	101.4237	216.5863
151	104	116.2599	215.3028
152	104	105.5322	228.3884
153	104	120.9913	230.9003
154	104	123.7784	269.3486
155	104	91.1409	262.807
156	104	92.0825	253.4438
157	104	73.7984	250.8321
158	104	67.4971	259.171
159	104	72.5404	198.5652
160	104	61.2416	179.4478
161	104	69.692	181.1554
162	104	55.8877	175.0867
163	104	47.7172	196.798
164	104	68.2359	201.0057
165	104	72.8613	190.6644
166	104	47.6789	237.7167
167	104	43.7103	238.184
168	104	45.1249	264.294
169	104	55.3701	272.4114
170	104	70.8389	274.8964
171	104	147.822	242.6085
