INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	589	90.0639	105.4603
2	589	44.0201	146.1972
3	589	58.0498	135.7437
4	589	49.1016	120.3668
5	589	54.5458	75.9856
6	589	69.2195	36.5243
7	589	68.7974	52.6403
8	589	123.6615	112.0567
9	589	128.3804	87.9505
10	589	153.734	82.2266
11	589	147.6835	92.3306
12	589	147.7503	102.3516
13	589	86.7779	128.4311
14	589	103.7399	121.5442
15	589	106.1088	107.0781
16	590	66.3943	141.756
17	590	77.6628	122.2931
18	590	73.2552	100.9351
19	590	58.7024	96.4573
20	590	61.8328	83.2784
21	590	42.6072	58.7644
22	590	62.8057	64.5336
23	590	76.4922	86.1715
24	590	118.9306	94.5028
25	590	131.3877	101.9677
26	590	140.6571	101.0225
27	590	153.2103	124.6065
28	590	110.8181	136.3037
29	590	104.2627	144.9536
30	590	88.9146	144.4548
31	591	139.0375	87.1721
32	591	147.0742	77.1426
33	591	112.0326	111.9183
34	591	79.2906	108.7285
35	591	61.8892	117.0646
36	591	54.7543	126.9443
37	591	48.2349	139.9418
38	591	58.1998	108.747
39	591	65.2551	102.626
40	591	40.8966	79.2426
41	591	44.7875	91.7641
42	591	89.9781	67.4636
43	591	130.5733	70.2568
44	591	84.85	38.3528
45	591	103.9021	40.649
