INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	7	89.6427	104.1454
2	7	67.2337	71.5776
3	7	82.6632	110.4572
4	7	78.2453	110.0226
5	7	63.7124	159.0288
6	7	69.2552	163.6793
7	7	75.0728	168.5388
8	7	69.3118	210.5348
9	7	73.9815	219.413
10	7	83.0688	223.0275
11	7	59.1711	240.792
12	7	103.1955	225.9999
13	7	110.6508	225.0689
14	7	105	238
15	7	122.088	268.8435
16	7	122.8692	263.1599
17	7	124.0576	268.1934
18	7	118.9616	266.1974
19	7	120.6702	268.8615
20	7	140.0103	227.8698
21	7	134.908	226.3029
22	7	138.7742	222.7663
23	7	144.4152	224.734
24	7	145.0181	221.5676
25	7	144.1385	218.9627
26	7	142.9073	217.9312
27	7	143.7545	212.021
28	7	142.6733	209.4145
29	7	143.1261	215.7789
30	7	247.0145	97.1212
31	7	241.6962	105.7102
32	7	216.2905	105.1721
33	7	216.1899	106.536
34	7	216.1756	107.863
35	7	218.2041	110.0146
36	7	219.8816	110.1579
37	7	221.5995	110.3194
38	7	216.3316	101.6999
39	7	217.8699	99.1216
40	7	218.9394	96.8519
41	7	220.603	94.384
42	7	184.0921	60.5552
43	7	183.2805	61.3431
44	7	180.2977	61.7757
45	7	177.6819	61.3714
46	7	175.5136	60.3987
47	7	172.6374	59.5008
48	7	149.6087	59.9127
49	7	147.0783	60.873
50	7	142.3916	60.5193
51	7	137.59	60.2907
52	7	133.6246	58.6913
53	7	130.3017	56.0537
54	7	127	57
55	7	61.7927	148.2037
56	7	93.8591	211.309
57	7	93.6293	212.9529
58	7	259.1212	182.7862
59	7	231	173
60	7	241	172
61	7	115.5354	103.409
62	7	111.4528	130.8383
63	7	114.9396	147.2884
64	7	138.8205	191.6099
65	7	147.493	189.4665
66	7	206.8717	188.3917
67	7	211.4968	179.18
68	7	221.8973	140.1918
69	7	212.3096	134.5518
70	7	203.4764	137.6349
71	7	249.1983	139.2125
72	7	247.9057	134.7566
73	7	243.7302	132.0415
74	7	212.8878	155.3333
75	7	203.8831	179.2554
76	7	64.8354	111.2467
77	7	74.4477	111.457
78	7	84.5502	92.3566
79	7	75.4101	161.2214
80	7	115.7945	214.3046
81	7	122.5249	210.5963
82	7	119.2332	211.7698
83	7	206.6313	177.8008
84	7	241.7539	132.1135
85	7	238.8896	131.4479
86	7	210.7983	76.3889
87	7	229.7968	100.3753
88	7	228.3565	101.4741
89	7	271.3428	89.9172
90	7	267.5122	103.2684
91	7	158.9887	221.4799
92	7	168.3673	216.6104
93	7	163.5704	191.6069
94	7	158.1858	198.2331
95	7	150.1567	192.0725
96	7	156.3042	193.6418
97	7	148.2344	204.4924
98	7	145.5818	195.7169
99	7	133.4933	225.0385
100	7	131.1949	223.5936
101	117	242.8606	61.4643
102	117	249.6577	61.5821
103	117	111.6984	64.5956
104	117	110.5076	67.162
105	117	99.3469	60.0074
106	117	95	64
107	117	86.5763	49.6312
108	117	82.4826	70.2921
109	117	82.1538	74.4733
110	117	80	78
111	117	74	82
112	117	66.465	70.3073
113	117	64.2648	68.6421
114	117	67.8867	73.2741
115	117	59.3005	69.0814
116	117	58.3873	70.3911
117	117	66.9308	121.9039
118	117	67.6572	124.0647
119	117	68.7369	127.6757
120	117	54.3461	135.2016
121	117	53.6166	138.5485
122	117	57.6502	138.9283
123	117	50.1576	153.7363
124	117	50.1655	154.9605
125	117	49.9867	162.0746
126	117	50.1453	163.2247
127	117	51.0489	166.0967
128	117	51.4738	169.4491
129	117	58.1225	188.8427
130	117	68.9589	200.8152
131	117	105.0812	186.0748
132	117	142.7233	262.563
133	117	143.8677	261.8226
134	117	145	260
135	117	150.4041	261.0746
