INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	10	54.8865	82.5435
2	10	113.0193	39.7679
3	10	53.9033	140.2152
4	10	63.2879	203.8538
5	10	194.5855	113.7406
6	10	201.9443	181.2849
7	10	91.0932	106.0609
8	10	134.1781	97.7641
9	10	198.6209	44.2579
10	10	165.7714	129.1655
11	10	37.3548	43.9931
12	10	79.9759	57.9345
13	10	96.9277	52.8891
14	10	134.5289	71.4265
15	10	120.1398	73.1998
16	10	168.264	28.7708
17	10	186.8334	40.0903
18	10	229.8137	28.4184
19	10	213.4226	52.5435
20	10	208.0659	117.5745
21	10	186.8813	155.1108
22	10	221.6842	165.791
23	10	210.076	162.0994
24	10	204.2496	224.0087
25	10	62.1552	226.8405
26	10	34.5302	221.7573
27	10	50.6939	196.0063
28	10	31.9008	150.9939
29	10	55.6647	118.3227
30	10	38.3397	106.756
31	10	46.3861	71.1451
32	10	176.0374	74.2266
33	10	158.3555	87.578
34	10	149.7787	117.604
35	10	150.5503	138.456
36	10	91.5528	20.5759
37	10	90.2204	148.5005
38	10	114.989	126.5829
39	10	69.8524	171.9719
40	10	24.6248	179.8668
41	10	89.0978	200.8481
42	10	202.8661	202.8171
43	10	181.8936	214.3031
44	10	213.9641	115.7941
45	10	181.0789	129.5222
46	10	49.598	38.3665
47	10	122.2521	170.8594
48	10	97.4365	118.5207
49	10	126.0263	142.9139
50	10	185.4736	140.1168
51	615	226.7844	32.2579
52	615	223.5695	62.1194
53	615	172.5272	29.8315
54	615	199.6764	37.3099
55	615	174.902	50.7629
56	615	195.3831	56.7345
57	615	221.8826	103.7432
58	615	198.8389	115.9484
59	615	228.478	170.1741
60	615	224.9372	181.9942
61	615	201.5174	212.7639
62	615	200.9378	199.7553
63	615	206.5721	235.1176
64	615	174.7058	235.2853
65	615	179.9782	213.9145
66	615	149.4304	226.8823
67	615	162.2975	198.5958
68	615	146.9601	215.0438
69	615	110.0964	223.6622
70	615	123.6844	215.2156
71	615	40.4317	226.4921
72	615	30.2978	215.1115
73	615	50.7314	208.3524
74	615	71.8056	225.1807
75	615	33.5769	193.5297
76	615	86.5517	204.9549
77	615	67.2161	187.8562
78	615	42.3263	168.0437
79	615	94.1915	166.0535
80	615	40.1005	136.2611
81	615	44.9564	150.9581
82	615	73.0496	147.1653
83	615	102.7124	141.3081
84	615	99.6601	106.5852
85	615	94.865	118.093
86	615	59.4688	119.1181
87	615	56.4641	104.2133
88	615	73.1668	95.7146
89	615	151.3507	133.0813
90	615	192.9419	163.2788
91	615	204.6193	149.4276
92	615	170.3451	165.3772
93	615	126.5523	118.288
94	615	141.3661	105.7246
95	615	141.8276	96.1077
96	615	128.9369	71.4519
97	615	136.0373	29.0003
98	615	85.2871	27.332
99	615	73.8918	59.1234
100	615	99.9611	41.9319
101	615	48.4945	25.7179
102	615	33.1145	42.0573
103	615	54.2431	41.8883
104	615	44.2518	35.7786
105	615	122.2611	48.8982
106	615	150.6313	166.3027
107	615	43.8779	91.3297
108	615	34.7268	73.1017
109	615	51.7127	77.6225
110	615	81.7542	75.2664
