INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	4	41.7085	259.3756
2	4	45.207	276.1371
3	4	68.0337	271.3275
4	4	102.0356	263.3393
5	4	97.9563	268.3254
6	4	173.481	267.1307
7	4	182.3943	278.8924
8	4	203.0283	278.0311
9	4	219.1937	266.1058
10	4	222.1933	259.338
11	4	220.9522	254.6258
12	4	198.4014	250.3627
13	4	210.6823	222.0934
14	4	214.213	218.1261
15	4	229.0814	228.7014
16	4	268.9831	240.9526
17	4	245.7883	241.8738
18	4	252.3296	245.2926
19	4	256.2406	238.8328
20	4	199.1663	178.6252
21	4	208.0901	187.397
22	4	200.4556	157.7973
23	4	45.2174	86.7594
24	4	44.9464	93.1744
25	4	48.5877	107.9544
26	4	42.473	115.3019
27	4	39.2414	130.9633
28	4	37.1687	138.9421
29	4	47.3507	142.2335
30	4	50.8474	167.0552
31	4	54.0863	158.2945
32	4	70.3754	171.1017
33	4	72.4504	169.2912
34	4	75.057	172.9949
35	4	70.9555	174.0123
36	4	75.5205	169.0187
37	4	99.8208	158.1829
38	4	105.9902	169.7511
39	4	107.0027	171.6466
40	4	107.2144	172.7618
41	4	107.8398	174.2338
42	4	107.4177	190.5038
43	4	106.2337	191.5779
44	4	143.3213	109.3634
45	4	146.6135	112.3448
46	4	151.1098	121.9825
47	4	136.1748	108.1816
48	4	131.4152	113.1675
49	4	130.691	116.6781
50	4	136.7732	114.4813
51	4	134.6858	116.4114
52	4	132.9759	118.3108
53	4	141.5304	116.0714
54	4	123.1776	146.2993
55	4	133.9598	147.59
56	4	136.1234	149.3874
57	4	146.331	198.037
58	4	212.2951	222.7438
59	4	209.3939	221.9076
60	4	208.4849	219.7943
61	4	223.6466	221.0756
62	4	224.0757	222.6715
63	4	222.413	223.4241
64	4	221.6221	216.1104
65	4	222.1257	211.1823
66	4	223.2169	206.6117
67	4	217.009	185.098
68	4	211.5445	188.7653
69	4	209.6151	188.3709
70	4	211.9821	178.8915
71	4	211.1981	177.7796
72	4	208.7636	176.2609
73	4	206.0464	174.9511
74	4	204.6871	173.9402
75	4	202.3698	172.9423
76	4	201.2821	172.8392
77	4	200.1014	173.072
78	4	198.4012	173.3005
79	4	197.459	174.5214
80	4	82.9855	236.0963
81	4	82.0518	241.3464
82	4	80.7212	242.9865
83	4	78.8108	244.35
84	4	74.5416	247.2823
85	4	73.2506	248.5713
86	4	41.9021	262.9382
87	4	42.5901	265.959
88	4	43.8605	274.924
89	4	46.5577	277.0318
90	4	48.4073	277.4802
91	4	97.4816	271.263
92	4	97.253	270.3644
93	4	103.5343	273.2199
94	4	102.23	273.0501
95	4	106.6557	272.4782
96	4	103.5311	267.2608
97	4	105.1907	267.7553
98	4	122.1181	245.0803
99	4	124.7855	243.5563
100	4	122.5312	241.8961
101	108	221.0878	217.7643
102	108	190.8611	210.446
103	108	232.2782	165.9897
104	108	202.4884	224.5307
105	108	176.2417	229.9867
106	108	173.612	239.9155
107	108	144.8627	260.6903
108	108	141.4877	265.3103
109	108	138.3308	269.9938
110	108	144.6081	273.4024
111	108	147.1762	274.6085
112	108	152.4614	271.8993
113	108	89.6912	99.5241
114	108	85.9864	50.9897
115	108	91.4817	61.3191
116	108	120.0348	62.5128
117	108	135.7391	44.3423
118	108	131.3381	44.1339
119	108	216.6396	81.3792
120	108	216.7787	57.7592
121	108	215.5855	218.3938
122	108	223.6557	204.2115
123	108	59.0375	274.0373
124	108	43.98	248.2743
125	108	64.4179	152.7484
126	108	82.9186	157.2953
127	108	95.5964	147.0095
128	108	82.8071	124.3897
129	108	72.0367	106.6743
130	108	49.7382	105.9826
131	108	100.9271	66.9316
132	108	170.6472	45.5148
133	108	188.2068	47.3242
134	108	223.7705	70.7834
135	108	273.1126	102.8741
136	108	268.5486	141.0708
137	108	265.4098	171.5007
138	108	247.9588	194.3752
139	108	249.5407	204.6228
140	108	266.8814	234.5654
141	109	62.85	273.018
142	109	64.963	272.8134
143	109	65.8495	272.9718
144	109	60.1862	273.8081
145	109	82.0961	257.3305
146	109	83.5871	260.7113
147	109	85.3822	261.9344
148	109	82.6624	262.6599
149	109	81.258	255.4289
150	109	84.1264	254.5029
151	109	98.258	272.1116
152	109	100.8763	261.5758
153	109	98.6387	260.9355
154	109	97.9062	252.9188
155	109	99.4394	248.7191
156	109	102.6784	249.7671
157	109	101.8727	248.6962
158	109	102.6477	248.7381
159	109	103.9695	249.5979
160	109	116.8051	235.3912
161	109	117.7772	236.2521
162	109	119.9133	241.9148
163	109	119.0697	242.3573
164	109	118.9162	243.4269
165	109	119.1169	243.8616
166	109	128.4244	240.1921
167	109	128.9564	239.5594
168	109	153.6754	230.5273
169	109	152.8192	231.3352
170	109	150.8997	241.5739
171	109	149.9855	241.6101
172	109	167.5306	178.1355
173	109	192.1091	194.6938
174	109	184.9533	194.492
175	109	186.2881	195.1109
176	109	174.1043	202.6879
177	109	172.7245	203.7821
178	109	176.8168	245.0833
179	109	177.929	243.4562
180	109	176.7435	241.6371
181	110	173.2284	241.2738
182	110	163.9781	269.6746
183	110	166.2522	268.3299
184	110	168.5517	268.2224
185	110	170.9939	266.3468
186	110	189.2025	279.4299
187	110	238.8136	256.5393
188	110	239.5114	255.8931
189	110	240.4423	255.7719
190	110	240.9232	257.2368
191	110	239.7757	257.8626
192	110	239.8698	249.3686
193	110	240.8688	249.0288
194	110	240.9605	247.5667
195	110	239.5267	247.2033
196	110	246.9021	243.0044
197	110	248.9182	232.2128
198	110	221.7579	218.8522
199	110	220.2169	211.2537
200	110	221.8134	209.7657
201	204	169.56	189.48
202	204	170.11	188.92
203	204	170.75	188.56
204	204	171.56	188.15
205	204	169.4	190.35
206	216	192.86	184.33
207	216	193.72	183.81
208	216	194.6	183.3
209	216	195.08	183.8
210	604	41	37
211	604	38.8516	47.6094
212	604	59.5429	36.1504
213	604	69.8089	59.2223
214	604	81.5066	45.7408
215	604	93.4735	70.9075
216	604	118.3923	64.9073
217	604	110.221	90.2812
218	604	126.4044	83.602
219	604	113.6039	100.3587
220	604	140.1081	114.9261
221	604	136.2226	116.5684
222	604	147.989	86.4248
223	604	155.2008	89.8101
224	604	160.461	67.7077
225	604	164.0361	65.5016
226	604	176.6163	38.6844
227	604	173.4066	54.9599
228	604	206.6091	34.7057
229	604	216.5242	42.0268
230	604	197.4493	62.8246
231	604	216.6431	54.6752
232	604	218.9345	68.1047
233	604	213.7503	74.8791
234	604	207.2426	96.2886
235	604	254.1854	72.9316
236	604	242.5728	47.4678
237	604	232.0028	118.1205
238	604	241.8522	145.7158
239	604	262.6147	134.081
