INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	612	89.2091	34.4103
2	612	50.9617	43.4295
3	612	54.0489	33.9032
4	612	64.9509	41.2263
5	612	46.6526	62.1644
6	612	55.0715	73.337
7	612	68.7021	77.3202
8	612	85.8233	50.3536
9	612	104.2749	39.0174
10	612	105.6393	57.9791
11	612	120.4781	59.6477
12	612	142.0104	40.9327
13	612	154.3428	49.9499
14	612	161.3643	64.8996
15	612	186.2268	53.2053
16	612	202.5497	51.1952
17	612	213.5544	45.7929
18	612	219.3627	40.145
19	612	231.6188	38.7057
20	612	239.4809	40.9984
21	612	256.4344	42.3357
22	612	280.5265	46.1626
23	612	261.3882	61.8673
24	612	278.5892	70.787
25	612	258.8194	82.6198
26	612	256.7643	94.4473
27	612	277.9548	99.1501
28	612	272.3275	148.5947
29	612	242.973	132.9212
30	612	203.9364	116.1731
31	612	222.9538	117.1651
32	612	209.296	148.7347
33	612	219.2346	151.4162
34	612	213.5383	177.4035
35	612	248.6328	201.3327
36	612	240.9474	212.8699
37	612	276.7625	206.8861
38	612	276.1101	223.3928
39	612	264.5778	230.5939
40	612	278.9343	244.6718
41	612	272.7519	273.4028
42	612	244.0652	263.0712
43	612	257.9191	275.4662
44	612	219.6348	278.4667
45	612	219.3721	258.8347
46	612	196.8777	269.6357
47	612	192.582	254.8007
48	612	181.5937	268.1808
49	612	143.605	266.5526
50	612	143.8381	281.5081
51	612	123.4957	261.549
52	612	106.9083	269.9558
53	612	84.3703	275.4472
54	612	59.968	264.9438
55	612	39.0477	241.6577
56	612	41.9678	252.0627
57	612	69.782	234.5314
58	612	83.1866	214.6465
59	612	104.9422	200.6477
60	612	106.6842	184.2572
