INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	794	54.1311	149.1461
2	794	55.326	150.4332
3	794	58.9792	140.5549
4	794	61.2491	141.5489
5	794	67.119	149.1461
6	794	182.7841	107.4944
7	794	179.7171	105.7691
8	794	178.3392	87.0759
9	794	177.908	97.5498
10	794	176.0303	94.165
11	795	68.6355	150.186
12	795	70.0868	161.1507
13	795	70.2102	163.5446
14	795	63.8057	175.9785
15	795	65.5609	177.9112
16	795	186.6299	75.3965
17	795	181.6447	106.5032
18	795	176.1897	97.3679
19	795	188.136	105.199
20	795	177.5109	89.0211
21	796	55.5089	148.6407
22	796	54.2571	151.5561
23	796	59.354	142.9335
24	796	61.4978	139.6815
25	796	67.5702	151.9101
26	796	177.4754	99.5644
27	796	177.1327	103.0208
28	796	175.4901	88.2473
29	796	178.3139	84.9125
30	796	186.7762	78.1057
31	797	66.8582	150.7722
32	797	68.7903	162.3248
33	797	70.6497	165.1414
34	797	63.9251	177.2677
35	797	65.4945	175.9692
36	797	176.7829	87.4819
37	797	185.508	76.6195
38	797	188.3078	76.5199
39	797	187.6469	102.0506
40	797	190.0379	104.9278
41	798	53.6405	150.2465
42	798	60.1323	139.1951
43	798	68.7771	151.2924
44	798	69.0622	164.4028
45	798	67.6598	147.6674
46	798	189.8533	102.0595
47	798	189.1363	103.2236
48	798	176.3309	99.4919
49	798	176.4796	101.1248
50	798	176.7086	85.9055
