INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
级别	少林力量	少林灵气	少林体质	少林定力	少林身法	明教力量	明教灵气	明教体质	明教定力	明教身法	丐帮力量	丐帮灵气	丐帮体质	丐帮定力	丐帮身法	武当力量	武当灵气	武当体质	武当定力	武当身法	峨嵋力量	峨嵋灵气	峨嵋体质	峨嵋定力	峨嵋身法	星宿力量	星宿灵气	星宿体质	星宿定力	星宿身法	大理力量	大理灵气	大理体质	大理定力	大理身法	天山力量	天山灵气	天山体质	天山定力	天山身法	逍遥力量	逍遥灵气	逍遥体质	逍遥定力	逍遥身法	无门派力量	无门派灵气	无门派体质	无门派定力	无门派身法
0	6	1	8	2	3	9	1	6	1	3	8	2	6	1	3	1	9	4	4	2	1	7	5	5	2	1	8	6	4	1	5	5	4	2	4	8	2	6	1	3	1	7	5	4	3	5	5	4	4	2
1	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	2	1	1	1	0
2	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1
3	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	2	1	1	0
4	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1
5	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	1	1	1	1	1
6	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	1	1	2	1	0
7	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1
8	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	1	2	0
