INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10级技能	20级技能	30级技能	40级技能	50级技能	60级技能	70级技能	80级技能	90级技能	100级技能	110级技能	120级技能	130级110级技能	140级技能	150级技能	160级技能
32000	32001	32002	32003	32004	32005	32006	32007	32008	32009	32010	32011	32012	32013	32014	32015
32016	32017	32018	32019	32020	32021	32022	32023	32024	32025	32026	32027	32028	32029	32030	32031
32032	32033	32034	32035	32036	32037	32038	32039	32040	32041	32042	32043	32044	32045	32046	32047
32048	32049	32050	32051	32052	32053	32054	32055	32056	32057	32058	32059	32060	32061	32062	32063
32064	32065	32066	32067	32068	32069	32070	32071	32072	32073	32074	32075	32076	32077	32078	32079
32080	32081	32082	32083	32084	32085	32086	32087	32088	32089	32090	32091	32092	32093	32094	32095
32096	32097	32098	32099	32100	32101	32102	32103	32104	32105	32106	32107	32108	32109	32110	32111
32112	32113	32114	32115	32116	32117	32118	32119	32120	32121	32122	32123	32124	32125	32126	32127
32144	32145	32146	32147	32148	32149	32150	32151	32152	32153	32154	32155	32156	32157	32158	32159
32160	32161	32162	32163	32164	32165	32166	32167	32168	32169	32170	32171	32172	32173	32174	32175
32176	32177	32178	32179	32180	32181	32182	32183	32184	32185	32186	32187	32188	32189	32190	32191
32192	32193	32194	32195	32196	32197	32198	32199	32200	32201	32202	32203	32204	32205	32206	32207
32208	32209	32210	32211	32212	32213	32214	32215	32216	32217	32218	32219	32220	32221	32222	32223
32224	32225	32226	32227	32228	32229	32230	32231	32232	32233	32234	32235	32236	32237	32238	32239
32240	32241	32242	32243	32244	32245	32246	32247	32248	32249	32250	32251	32252	32253	32254	32255
32256	32257	32258	32259	32260	32261	32262	32263	32264	32265	32266	32267	32268	32269	32270	32271
32272	32273	32274	32275	32276	32277	32278	32279	32280	32281	32282	32283	32284	32285	32286	32287
32288	32289	32290	32291	32292	32293	32294	32295	32296	32297	32298	32299	32300	32301	32302	32303
32304	32305	32306	32307	32308	32309	32310	32311	32312	32313	32314	32315	32316	32317	32318	32319
32320	32321	32322	32323	32324	32325	32326	32327	32328	32329	32330	32331	32332	32333	32334	32335
32336	32337	32338	32339	32340	32341	32342	32343	32344	32345	32346	32347	32348	32349	32350	32351
32352	32353	32354	32355	32356	32357	32358	32359	32360	32361	32362	32363	32364	32365	32366	32367
32368	32369	32370	32371	32372	32373	32374	32375	32376	32377	32378	32379	32380	32381	32382	32383
32384	32385	32386	32387	32388	32389	32390	32391	32392	32393	32394	32395	32396	32397	32398	32399
32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400
32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401
32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402
32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403
32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404
32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405
32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406
