INT	STRING	INT	INT	INT	INT	INT	INT	INT
物品ID	名称$1$	掉落概率	是否发送消息	预留	预留	预留	预留	预留
30402012	高级借力技能书	47	1	47	0	0	0	0
30402014	高级移魂技能书	47	1	94	0	0	0	0
30402016	高级加速技能书	47	1	141	0	0	0	0
30402018	高级强身技能书	47	1	188	0	0	0	0
30402020	高级凝神技能书	47	1	235	0	0	0	0
30402026	高级血爆技能书	47	1	470	0	0	0	0
30402030	高级冰爆技能书	47	1	564	0	0	0	0
30402034	高级重生技能书	47	1	658	0	0	0	0
30402036	高级共生技能书	47	1	705	0	0	0	0
30402038	高级治疗技能书	47	1	752	0	0	0	0
30402040	高级肉墙技能书	47	1	799	0	0	0	0
30402042	高级神佑技能书	47	1	846	0	0	0	0
30402044	高级嗜血技能书	47	1	893	0	0	0	0
30402046	高级血祭技能书	47	1	940	0	0	0	0
30402048	高级伪装技能书	47	1	987	0	0	0	0
30402050	高级附身技能书	47	1	1034	0	0	0	0
30402056	高级反击技能书	47	1	1081	0	0	0	0
30402060	高级反震技能书	47	1	1175	0	0	0	0
30402062	高级灵动技能书	47	1	1222	0	0	0	0
30402064	高级吸气技能书	47	1	1269	0	0	0	0
30402066	高级打怒技能书	47	1	1316	0	0	0	0
30402068	高级忠心技能书	47	1	1363	0	0	0	0
30402070	高级灵气技能书	47	1	1410	0	0	0	0
30402072	高级猛击技能书	47	1	1457	0	0	0	0
30402074	高级识破技能书	47	1	1504	0	0	0	0
10100002	云头刀	57	0	1561	0	0	0	0
10100003	鸣鸿刀	57	0	1618	0	0	0	0
10100004	青龙偃月刀	46	0	1664	0	0	0	0
10100005	护手狼牙刀	34	0	1698	0	0	0	0
10100006	昭仪灵宝	23	0	1721	0	0	0	0
10100007	八荒蝉翼	11	0	1732	0	0	0	0
10101002	雁翎枪	57	0	1789	0	0	0	0
10101003	丈八蛇矛	57	0	1846	0	0	0	0
10101004	方天画戟	46	0	1892	0	0	0	0
10101005	罗汉伏魔杵	34	0	1926	0	0	0	0
10101006	烈火战枪	23	0	1949	0	0	0	0
10101007	夜叉神戟	11	0	1960	0	0	0	0
10102002	青锋剑	57	0	2017	0	0	0	0
10102003	冰弦剑	57	0	2074	0	0	0	0
10102004	玄铁剑	46	0	2120	0	0	0	0
10102005	赤霄剑	34	0	2154	0	0	0	0
10102006	金翎剑	23	0	2177	0	0	0	0
10102007	斩蛟宝刀	11	0	2188	0	0	0	0
10103002	凤鸣剑	57	0	2245	0	0	0	0
10103003	翡翠双剑	57	0	2302	0	0	0	0
10103004	子母剑	46	0	2348	0	0	0	0
10103005	龙凤剑	34	0	2382	0	0	0	0
10103006	宣花双斧	23	0	2405	0	0	0	0
10103007	蝶恋花	11	0	2416	0	0	0	0
10104002	绢宫扇	57	0	2473	0	0	0	0
10104003	象牙扇	57	0	2530	0	0	0	0
10104004	白玉扇	46	0	2576	0	0	0	0
10104005	火云扇	34	0	2610	0	0	0	0
10104006	伏魔扇	23	0	2633	0	0	0	0
10104007	无形扇	11	0	2644	0	0	0	0
10105002	紫玉环	57	0	2701	0	0	0	0
10105003	冷霜环	57	0	2758	0	0	0	0
10105004	拂香环	46	0	2804	0	0	0	0
10105005	明月环	34	0	2838	0	0	0	0
10105006	多情环	23	0	2861	0	0	0	0
10105007	逍遥圈	11	0	2872	0	0	0	0
10110005	绢丝帽	57	0	2929	0	0	0	0
10110008	绫罗帽	57	0	2986	0	0	0	0
10110011	狼皮帽	46	0	3032	0	0	0	0
10110014	虎皮帽	34	0	3066	0	0	0	0
10110017	苍蟒帽	23	0	3089	0	0	0	0
10110020	天璇帽	11	0	3100	0	0	0	0
10111005	绢丝鞋	57	0	3157	0	0	0	0
10111008	绫罗鞋	57	0	3214	0	0	0	0
10111011	狼皮鞋	46	0	3260	0	0	0	0
10111014	虎皮鞋	34	0	3294	0	0	0	0
10111017	苍蟒鞋	23	0	3317	0	0	0	0
10111020	天璇鞋	11	0	3328	0	0	0	0
10112005	绢丝护腕	57	0	3385	0	0	0	0
10112008	绫罗护腕	57	0	3442	0	0	0	0
