INT	INT
ID	ÎïÆ·Ä£°åID
1	10100000
2	10100001
3	10100002
4	10100003
5	10100004
6	10100005
7	10100006
8	10100007
9	10100008
10	10100009
11	10100010
12	10100011
13	10100021
14	10100031
15	10100100
16	10101000
17	10101001
18	10101002
19	10101003
20	10101004
21	10101005
22	10101006
23	10101007
24	10101008
25	10101009
26	10101010
27	10101100
28	10102000
29	10102001
30	10102002
31	10102003
32	10102004
33	10102005
34	10102006
35	10102007
36	10102008
37	10102009
38	10102010
39	10102012
40	10102013
41	10102100
42	10103000
43	10103001
44	10103002
45	10103003
46	10103004
47	10103005
48	10103006
49	10103007
50	10103008
51	10103009
52	10103010
53	10103100
54	10104000
55	10104001
56	10104002
57	10104003
58	10104004
59	10104005
60	10104006
61	10104007
62	10104008
63	10104009
64	10104010
65	10104100
66	10105000
67	10105001
68	10105002
69	10105003
70	10105004
71	10105005
72	10105006
73	10105007
74	10105008
75	10105009
76	10105010
77	10105100
78	10110000
79	10110001
80	10110002
81	10110003
82	10110004
83	10110005
84	10110006
85	10110007
86	10110008
87	10110009
88	10110010
89	10110011
90	10110012
91	10110013
92	10110014
93	10110015
94	10110016
95	10110017
96	10110018
97	10110019
98	10110020
99	10110021
100	10110022
101	10110023
102	10110024
103	10110025
104	10110026
105	10110027
106	10110028
107	10110029
108	10110030
109	10110031
110	10110032
111	10110033
112	10110034
113	10110035
114	10110036
115	10110037
116	10110038
117	10110039
118	10110040
119	10110041
120	10110042
121	10110043
122	10110044
123	10110045
124	10110046
125	10110047
126	10110048
127	10110049
128	10110050
129	10110100
130	10111000
131	10111001
132	10111002
133	10111003
134	10111004
135	10111005
136	10111006
137	10111007
138	10111008
139	10111009
140	10111010
141	10111011
142	10111012
143	10111013
144	10111014
145	10111015
146	10111016
147	10111017
148	10111018
149	10111019
150	10111020
151	10111021
152	10111022
153	10111023
154	10111024
155	10111025
156	10111026
157	10111027
158	10111028
159	10111029
160	10111030
161	10111031
162	10111032
163	10111033
164	10111034
165	10111035
166	10111036
167	10111037
168	10111038
169	10111039
170	10111040
171	10111041
172	10111042
173	10111043
174	10111044
175	10111045
176	10111046
177	10111047
178	10111048
179	10111049
180	10111050
181	10111100
182	10112000
183	10112001
184	10112002
185	10112003
186	10112004
187	10112005
188	10112006
189	10112007
190	10112008
191	10112009
192	10112010
193	10112011
194	10112012
195	10112013
196	10112014
197	10112015
198	10112016
199	10112017
200	10112018
201	10112019
202	10112020
203	10112021
204	10112022
205	10112023
206	10112024
207	10112025
208	10112026
209	10112027
210	10112028
211	10112029
212	10112030
213	10112031
214	10112032
215	10112033
216	10112034
217	10112035
218	10112036
219	10112037
220	10112038
221	10112039
222	10112040
223	10112041
224	10112042
225	10112043
226	10112044
227	10112045
228	10112046
229	10112047
230	10112048
231	10112049
232	10112050
233	10112100
234	10113000
235	10113001
236	10113002
237	10113003
238	10113004
239	10113005
240	10113006
241	10113007
242	10113008
243	10113009
244	10113010
245	10113011
246	10113012
247	10113013
248	10113014
249	10113015
250	10113016
251	10113017
252	10113018
253	10113019
254	10113020
255	10113021
256	10113022
257	10113023
258	10113024
259	10113025
260	10113026
261	10113027
262	10113028
263	10113029
264	10113030
265	10113031
266	10113032
267	10113033
268	10113034
269	10113035
270	10113036
271	10113037
272	10113038
273	10113039
274	10113040
275	10113041
276	10113042
277	10113043
278	10113044
279	10113045
280	10113046
281	10113047
282	10113048
283	10113049
284	10113050
285	10113100
286	10114000
287	10114001
288	10114002
289	10114003
290	10114004
291	10114005
292	10114006
293	10114007
294	10114008
295	10114009
296	10115000
297	10115001
298	10115002
299	10115003
300	10115004
301	10115005
302	10115006
303	10115007
304	10115008
305	10115009
306	10120001
307	10120002
308	10120003
309	10120004
310	10120005
311	10120006
312	10120007
313	10120008
314	10120009
315	10120010
316	10121001
317	10121002
318	10121003
319	10121004
320	10121005
321	10121006
322	10121007
323	10121008
324	10121009
325	10121010
326	10122001
327	10122002
328	10122003
329	10122004
330	10122005
331	10122006
332	10122007
333	10122008
334	10122009
335	10122010
336	10123001
337	10123002
338	10123003
339	10123004
340	10123005
341	10123006
342	10123007
343	10123008
344	10123009
345	10123010
346	10124000
347	10124001
348	10124002
349	10124003
350	10124004
351	10124005
352	10124006
353	10124007
354	10124008
355	10141000
356	10141001
357	10141002
358	10141003
359	10141004
360	10141005
361	10141006
362	10141007
363	10141008
364	10141009
365	10141010
366	10141011
367	10141012
368	10141013
369	10141014
370	10141015
371	10141016
372	10141017
373	10141018
374	10141019
375	10141020
376	10141021
377	10141022
378	10141023
379	10141024
380	10141025
381	10141026
382	10141027
383	10141028
384	10141029
385	10141030
386	10141031
387	10141032
388	10141033
389	10141034
390	10141035
391	10141036
392	10141037
393	10141038
394	10141039
395	10141040
396	10200001
397	10200002
398	10200003
399	10200004
400	10200005
401	10200006
402	10200007
403	10200008
404	10200009
405	10200010
406	10200011
407	10200012
408	10200013
409	10200014
410	10200015
411	10200016
412	10200017
413	10200018
414	10200019
415	10200020
416	10201001
417	10201002
418	10201003
419	10201004
420	10201005
421	10201006
422	10201007
423	10201008
424	10201009
425	10201010
426	10201011
427	10201012
428	10201013
429	10201014
430	10201015
431	10201016
432	10201017
433	10201018
434	10201019
435	10201020
436	10202001
437	10202002
438	10202003
439	10202004
440	10202005
441	10202006
442	10202007
443	10202008
444	10202009
445	10202010
446	10202011
447	10202012
448	10202013
449	10202014
450	10202015
451	10202016
452	10202017
453	10202018
454	10202019
455	10202020
456	10203001
457	10203002
458	10203003
459	10203004
460	10203005
461	10203006
462	10203007
463	10203008
464	10203009
465	10203010
466	10203011
467	10203012
468	10203013
469	10203014
470	10203015
471	10203016
472	10203017
473	10203018
474	10203019
475	10203020
476	10204001
477	10204002
478	10204003
479	10204004
480	10204005
481	10204006
482	10204007
483	10204008
484	10204009
485	10204010
486	10204011
487	10204012
488	10204013
489	10204014
490	10204015
491	10204016
492	10204017
493	10204018
494	10204019
495	10204020
496	10205001
497	10205002
498	10205003
499	10205004
500	10205005
501	10205006
502	10205007
503	10205008
504	10205009
505	10205010
506	10205011
507	10205012
508	10205013
509	10205014
510	10205015
511	10205016
512	10205017
513	10205018
514	10205019
515	10205020
516	10210001
517	10210002
518	10210003
519	10210004
520	10210005
521	10210006
522	10210007
523	10210008
524	10210009
525	10210010
526	10210011
527	10210012
528	10210013
529	10210014
530	10210015
531	10210016
532	10210017
533	10210018
534	10210019
535	10210020
536	10210021
537	10210022
538	10210023
539	10210024
540	10210025
541	10210026
542	10210027
543	10210028
544	10210029
545	10210030
546	10210031
547	10210032
548	10210033
549	10210034
550	10210035
551	10210036
552	10210037
553	10210038
554	10210039
555	10210040
556	10210041
557	10210042
558	10210043
559	10210044
560	10210045
561	10210046
562	10210047
563	10210048
564	10210049
565	10210050
566	10210051
567	10210052
568	10210053
569	10210054
570	10210055
571	10210056
572	10210057
573	10210058
574	10210059
575	10210060
576	10211001
577	10211002
578	10211003
579	10211004
580	10211005
581	10211006
582	10211007
583	10211008
584	10211009
585	10211010
586	10211011
587	10211012
588	10211013
589	10211014
590	10211015
591	10211016
592	10211017
593	10211018
594	10211019
595	10211020
596	10211021
597	10211022
598	10211023
599	10211024
600	10211025
601	10211026
602	10211027
603	10211028
604	10211029
605	10211030
606	10211031
607	10211032
608	10211033
609	10211034
610	10211035
611	10211036
612	10211037
613	10211038
614	10211039
615	10211040
616	10211041
617	10211042
618	10211043
619	10211044
620	10211045
621	10211046
622	10211047
623	10211048
624	10211049
625	10211050
626	10211051
627	10211052
628	10211053
629	10211054
630	10211055
631	10211056
632	10211057
633	10211058
634	10211059
635	10211060
636	10212001
637	10212002
638	10212003
639	10212004
640	10212005
641	10212006
642	10212007
643	10212008
644	10212009
645	10212010
646	10212011
647	10212012
648	10212013
649	10212014
650	10212015
651	10212016
652	10212017
653	10212018
654	10212019
655	10212020
656	10212021
657	10212022
658	10212023
659	10212024
660	10212025
661	10212026
662	10212027
663	10212028
664	10212029
665	10212030
666	10212031
667	10212032
668	10212033
669	10212034
670	10212035
671	10212036
672	10212037
673	10212038
674	10212039
675	10212040
676	10212041
677	10212042
678	10212043
679	10212044
680	10212045
681	10212046
682	10212047
683	10212048
684	10212049
685	10212050
686	10212051
687	10212052
688	10212053
689	10212054
690	10212055
691	10212056
692	10212057
693	10212058
694	10212059
695	10212060
696	10213001
697	10213002
698	10213003
699	10213004
700	10213005
701	10213006
702	10213007
703	10213008
704	10213009
705	10213010
706	10213011
707	10213012
708	10213013
709	10213014
710	10213015
711	10213016
712	10213017
713	10213018
714	10213019
715	10213020
716	10213021
717	10213022
718	10213023
719	10213024
720	10213025
721	10213026
722	10213027
723	10213028
724	10213029
725	10213030
726	10213031
727	10213032
728	10213033
729	10213034
730	10213035
731	10213036
732	10213037
733	10213038
734	10213039
735	10213040
736	10213041
737	10213042
738	10213043
739	10213044
740	10213045
741	10213046
742	10213047
743	10213048
744	10213049
745	10213050
746	10213051
747	10213052
748	10213053
749	10213054
750	10213055
751	10213056
752	10213057
753	10213058
754	10213059
755	10213060
756	10214001
757	10214002
758	10214003
759	10214004
760	10214005
761	10214006
762	10214007
763	10214008
764	10214009
765	10214010
766	10214011
767	10214012
768	10214013
769	10214014
770	10214015
771	10214016
772	10214017
773	10214018
774	10214019
775	10214020
776	10215001
777	10215002
778	10215003
779	10215004
780	10215005
781	10215006
782	10215007
783	10215008
784	10215009
785	10215010
786	10215011
787	10215012
788	10215013
789	10215014
790	10215015
791	10215016
792	10215017
793	10215018
794	10215019
795	10215020
796	10220001
797	10220002
798	10220003
799	10220004
800	10220005
801	10220006
802	10220007
803	10220008
804	10220009
805	10220010
806	10220011
807	10220012
808	10220013
809	10220014
810	10220015
811	10220016
812	10220017
813	10220018
814	10220019
815	10220020
816	10221001
817	10221002
818	10221003
819	10221004
820	10221005
821	10221006
822	10221007
823	10221008
824	10221009
825	10221010
826	10221011
827	10221012
828	10221013
829	10221014
830	10221015
831	10221016
832	10221017
833	10221018
834	10221019
835	10221020
836	10222001
837	10222002
838	10222003
839	10222004
840	10222005
841	10222006
842	10222007
843	10222008
844	10222009
845	10222010
846	10222011
847	10222012
848	10222013
849	10222014
850	10222015
851	10222016
852	10222017
853	10222018
854	10222019
855	10222020
856	10223001
857	10223002
858	10223003
859	10223004
860	10223005
861	10223006
862	10223007
863	10223008
864	10223009
865	10223010
866	10223011
867	10223012
868	10223013
869	10223014
870	10223015
871	10223016
872	10223017
873	10223018
874	10223019
875	10223020
876	10400001
877	10400002
878	10400003
879	10400004
880	10400005
881	10400006
882	10400007
883	10400008
884	10400009
885	10400010
886	10400011
887	10400012
888	10400013
889	10400014
890	10400015
891	10400016
892	10400017
893	10400018
894	10400019
895	10400020
896	10400021
897	10400022
898	10400023
899	10400024
900	10400025
901	10400026
902	10400027
903	10400028
904	10400029
905	10400030
906	10400031
907	10400032
908	10400033
909	10400034
910	10400035
911	10400036
912	10400037
913	10400038
914	10400039
915	10400040
916	10400041
917	10400042
918	10400043
919	10400044
920	10400045
921	10400046
922	10400047
923	10400048
924	10400049
925	10400050
926	10400051
927	10400052
928	10400053
929	10400054
930	10400055
931	10400056
932	10400057
933	10400058
934	10400059
935	10400060
936	10400061
937	10400062
938	10400063
939	10400064
940	10400065
941	10400066
942	10400067
943	10400068
944	10400069
945	10400070
946	10400071
947	10400072
948	10400073
949	10401001
950	10401002
951	10401003
952	10401004
953	10401005
954	10401006
955	10401007
956	10401008
957	10401009
958	10401010
959	10401011
960	10401012
961	10401013
962	10401014
963	10401015
964	10401016
965	10401017
966	10401018
967	10401019
968	10401020
969	10401021
970	10401022
971	10401023
972	10401024
973	10401025
974	10401026
975	10401027
976	10401028
977	10401029
978	10401030
979	10401031
980	10401032
981	10401033
982	10401034
983	10401035
984	10401036
985	10401037
986	10401038
987	10401039
988	10401040
989	10401041
990	10401042
991	10401043
992	10401044
993	10401045
994	10401046
995	10401047
996	10401048
997	10401049
998	10401050
999	10401051
1000	10401052
1001	10401053
1002	10401054
1003	10401055
1004	10401056
1005	10401057
1006	10401058
1007	10401059
1008	10401060
1009	10401061
1010	10401062
