INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Item Level	武器Q1	武器Q2	武器Q3	武器Q4	武器Q5	武器Q6	武器Q7	武器Q8	武器Q9	武器Q10	武器Q11	武器Q12	武器Q13	武器Q14	武器Q15	武器Q16	武器Q17	武器Q18	武器Q19	武器Q20	衣服Q1	衣服Q2	衣服Q3	衣服Q4	衣服Q5	衣服Q6	衣服Q7	衣服Q8	衣服Q9	衣服Q10	衣服Q11	衣服Q12	衣服Q13	衣服Q14	衣服Q15	衣服Q16	衣服Q17	衣服Q18	衣服Q19	衣服Q20	帽子腰带Q1	帽子腰带Q2	帽子腰带Q3	帽子腰带Q4	帽子腰带Q5	帽子腰带Q6	帽子腰带Q7	帽子腰带Q8	帽子腰带Q9	帽子腰带Q10	帽子腰带Q11	帽子腰带Q12	帽子腰带Q13	帽子腰带Q14	帽子腰带Q15	帽子腰带Q16	帽子腰带Q17	帽子腰带Q18	帽子腰带Q19	帽子腰带Q20	鞋子戒指Q1	鞋子戒指Q2	鞋子戒指Q3	鞋子戒指Q4	鞋子戒指Q5	鞋子戒指Q6	鞋子戒指Q7	鞋子戒指Q8	鞋子戒指Q9	鞋子戒指Q10	鞋子戒指Q11	鞋子戒指Q12	鞋子戒指Q13	鞋子戒指Q14	鞋子戒指Q15	鞋子戒指Q16	鞋子戒指Q17	鞋子戒指Q18	鞋子戒指Q19	鞋子戒指Q20	护腕项链Q1	护腕项链Q2	护腕项链Q3	护腕项链Q4	护腕项链Q5	护腕项链Q6	护腕项链Q7	护腕项链Q8	护腕项链Q9	护腕项链Q10	护腕项链Q11	护腕项链Q12	护腕项链Q13	护腕项链Q14	护腕项链Q15	护腕项链Q16	护腕项链Q17	护腕项链Q18	护腕项链Q19	护腕项链Q20
0	900000	80000	10000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	900000	80000	10000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	900000	80000	10000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	900000	80000	10000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	900000	80000	10000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	900000	80000	10000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	900000	80000	10000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	800000	180000	10000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	800000	170000	20000	5000	3000	1000	889	100	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
