INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
品质分布编号	total	段1几率	段2几率	段3几率	段4几率	段5几率	段6几率	段7几率	段8几率	段9几率
1	1000	1000	0	0	0	0	0	0	0	0
2	1000	0	1000	0	0	0	0	0	0	0
3	1000	0	0	1000	0	0	0	0	0	0
4	1000	0	0	0	1000	0	0	0	0	0
5	1000	0	0	0	0	1000	0	0	0	0
6	1000	0	0	0	0	0	1000	0	0	0
7	1000	0	0	0	0	0	0	1000	0	0
8	1000	0	0	0	0	0	0	0	1000	0
9	1000	0	0	0	0	0	0	0	0	1000
10	100000	84703	14286	1000	10	1	0	0	0	0
11	100000	84703	14286	1000	10	1	0	0	0	0
12	100000	84703	14286	1000	10	1	0	0	0	0
13	100000	84703	14286	1000	10	1	0	0	0	0
14	100000	84703	14286	1000	10	1	0	0	0	0
15	100000	84703	14286	1000	10	1	0	0	0	0
16	100000	84703	14286	1000	10	1	0	0	0	0
17	100000	84703	14286	1000	10	1	0	0	0	0
18	100000	84703	14286	1000	10	1	0	0	0	0
19	100000	84703	14286	1000	10	1	0	0	0	0
20	100000	84703	14286	1000	10	1	0	0	0	0
21	100000	84703	14286	1000	10	1	0	0	0	0
22	100000	84703	14286	1000	10	1	0	0	0	0
23	100000	84703	14286	1000	10	1	0	0	0	0
24	100000	84703	14286	1000	10	1	0	0	0	0
25	100000	84703	14286	1000	10	1	0	0	0	0
26	100000	84703	14286	1000	10	1	0	0	0	0
27	100000	84703	14286	1000	10	1	0	0	0	0
28	100000	84703	14286	1000	10	1	0	0	0	0
29	100000	84703	14286	1000	10	1	0	0	0	0
30	100000	84703	14286	1000	10	1	0	0	0	0
31	100000	84703	14286	1000	10	1	0	0	0	0
32	100000	84703	14286	1000	10	1	0	0	0	0
33	100000	84703	14286	1000	10	1	0	0	0	0
34	100000	84703	14286	1000	10	1	0	0	0	0
35	100000	84703	14286	1000	10	1	0	0	0	0
36	100000	84703	14286	1000	10	1	0	0	0	0
37	100000	84703	14286	1000	10	1	0	0	0	0
38	100000	84703	14286	1000	10	1	0	0	0	0
39	100000	84703	14286	1000	10	1	0	0	0	0
40	100000	84703	14286	1000	10	1	0	0	0	0
41	100000	84703	14286	1000	10	1	0	0	0	0
42	100000	84703	14286	1000	10	1	0	0	0	0
43	100000	84703	14286	1000	10	1	0	0	0	0
44	100000	84703	14286	1000	10	1	0	0	0	0
45	100000	84703	14286	1000	10	1	0	0	0	0
46	100000	84703	14286	1000	10	1	0	0	0	0
47	100000	84703	14286	1000	10	1	0	0	0	0
48	100000	84703	14286	1000	10	1	0	0	0	0
49	100000	84703	14286	1000	10	1	0	0	0	0
50	100000	79478	20000	500	20	2	0	0	0	0
51	100000	79478	20000	500	20	2	0	0	0	0
52	100000	79478	20000	500	20	2	0	0	0	0
53	100000	79478	20000	500	20	2	0	0	0	0
54	100000	79478	20000	500	20	2	0	0	0	0
55	100000	79478	20000	500	20	2	0	0	0	0
56	100000	79478	20000	500	20	2	0	0	0	0
57	100000	79478	20000	500	20	2	0	0	0	0
58	100000	79478	20000	500	20	2	0	0	0	0
59	100000	79478	20000	500	20	2	0	0	0	0
60	100000	59420	40000	500	50	20	10	0	0	0
61	100000	59420	40000	500	50	20	10	0	0	0
62	100000	59420	40000	500	50	20	10	0	0	0
63	100000	59420	40000	500	50	20	10	0	0	0
64	100000	59420	40000	500	50	20	10	0	0	0
65	100000	59420	40000	500	50	20	10	0	0	0
66	100000	59420	40000	500	50	20	10	0	0	0
67	100000	59420	40000	500	50	20	10	0	0	0
68	100000	59420	40000	500	50	20	10	0	0	0
69	100000	59420	40000	500	50	20	10	0	0	0
70	100000	0	92125	5000	2500	250	125	0	0	0
71	100000	0	92125	5000	2500	250	125	0	0	0
72	100000	0	92125	5000	2500	250	125	0	0	0
73	100000	0	92125	5000	2500	250	125	0	0	0
74	100000	0	92125	5000	2500	250	125	0	0	0
75	100000	0	92125	5000	2500	250	125	0	0	0
76	100000	0	92125	5000	2500	250	125	0	0	0
77	100000	0	92125	5000	2500	250	125	0	0	0
78	100000	0	92125	5000	2500	250	125	0	0	0
79	100000	0	92125	5000	2500	250	125	0	0	0
80	1000000	0	658889	330000	10000	1000	100	10	1	0
81	1000000	0	658889	330000	10000	1000	100	10	1	0
82	1000000	0	658889	330000	10000	1000	100	10	1	0
83	1000000	0	658889	330000	10000	1000	100	10	1	0
84	1000000	0	658889	330000	10000	1000	100	10	1	0
85	1000000	0	658889	330000	10000	1000	100	10	1	0
86	1000000	0	658889	330000	10000	1000	100	10	1	0
87	1000000	0	658889	330000	10000	1000	100	10	1	0
88	1000000	0	658889	330000	10000	1000	100	10	1	0
89	1000000	0	658889	330000	10000	1000	100	10	1	0
90	10000	0	7504	2000	400	80	16	0	0	0
91	10000	0	7504	2000	400	80	16	0	0	0
92	10000	0	7504	2000	400	80	16	0	0	0
93	10000	0	7504	2000	400	80	16	0	0	0
94	10000	0	7504	2000	400	80	16	0	0	0
95	10000	0	7504	2000	400	80	16	0	0	0
96	10000	0	7504	2000	400	80	16	0	0	0
97	10000	0	7504	2000	400	80	16	0	0	0
