INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
规则ID	0-普通怪	1-首领	2-头目	3-宝箱	4-副本BOSS	5-小时BOSS	6-天BOSS	7-无材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	8-保留	9-1级材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	10-2级材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	11-3级材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	12-4级材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	13-5级材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	14-6级材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	15-7级材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	16-8级材料铸造（已拆分，访问本列时会根据装配点映射到后边拆分后的列）	17-保留1	18-保留2	19-无材料制造_00号装配点	20-无材料制造_01号装配点	21-无材料制造_02号装配点	22-无材料制造_03号装配点	23-无材料制造_04号装配点	24-无材料制造_05号装配点	25-无材料制造_06号装配点	26-无材料制造_07号装配点	27-无材料制造_08号装配点	28-无材料制造_09号装配点	29-无材料制造_10号装配点	30-无材料制造_11号装配点	31-无材料制造_12号装配点	32-无材料制造_13号装配点	33-无材料制造_14号装配点	34-无材料制造_15号装配点	35-无材料制造_16号装配点	36-无材料制造_17号装配点	37-无材料制造_18号装配点	38-1级材料三精_00号装配点	39-1级材料三精_01号装配点	40-1级材料三精_02号装配点	41-1级材料三精_03号装配点	42-1级材料三精_04号装配点	43-1级材料三精_05号装配点	44-1级材料三精_06号装配点	45-1级材料三精_07号装配点	46-1级材料三精_08号装配点	47-1级材料三精_09号装配点	48-1级材料三精_10号装配点	49-1级材料三精_11号装配点	50-1级材料三精_12号装配点	51-1级材料三精_13号装配点	52-1级材料三精_14号装配点	53-1级材料三精_15号装配点	54-1级材料三精_16号装配点	55-1级材料三精_17号装配点	56-1级材料三精_18号装配点	57-2级材料三精_00号装配点	58-2级材料三精_01号装配点	59-2级材料三精_02号装配点	60-2级材料三精_03号装配点	61-2级材料三精_04号装配点	62-2级材料三精_05号装配点	63-2级材料三精_06号装配点	64-2级材料三精_07号装配点	65-2级材料三精_08号装配点	66-2级材料三精_09号装配点	67-2级材料三精_10号装配点	68-2级材料三精_11号装配点	69-2级材料三精_12号装配点	70-2级材料三精_13号装配点	71-2级材料三精_14号装配点	72-2级材料三精_15号装配点	73-2级材料三精_16号装配点	74-2级材料三精_17号装配点	75-2级材料三精_18号装配点	76-3级材料三精_00号装配点	77-3级材料三精_01号装配点	78-3级材料三精_02号装配点	79-3级材料三精_03号装配点	80-3级材料三精_04号装配点	81-3级材料三精_05号装配点	82-3级材料三精_06号装配点	83-3级材料三精_07号装配点	84-3级材料三精_08号装配点	85-3级材料三精_09号装配点	86-3级材料三精_10号装配点	87-3级材料三精_11号装配点	88-3级材料三精_12号装配点	89-3级材料三精_13号装配点	90-3级材料三精_14号装配点	91-3级材料三精_15号装配点	92-3级材料三精_16号装配点	93-3级材料三精_17号装配点	94-3级材料三精_18号装配点	95-4级材料三精_00号装配点	96-4级材料三精_01号装配点	97-4级材料三精_02号装配点	98-4级材料三精_03号装配点	99-4级材料三精_04号装配点	100-4级材料三精_05号装配点	101-4级材料三精_06号装配点	102-4级材料三精_07号装配点	103-4级材料三精_08号装配点	104-4级材料三精_09号装配点	105-4级材料三精_10号装配点	106-4级材料三精_11号装配点	107-4级材料三精_12号装配点	108-4级材料三精_13号装配点	109-4级材料三精_14号装配点	110-4级材料三精_15号装配点	111-4级材料三精_16号装配点	112-4级材料三精_17号装配点	113-4级材料三精_18号装配点	114-5级材料三精_00号装配点	115-5级材料三精_01号装配点	116-5级材料三精_02号装配点	117-5级材料三精_03号装配点	118-5级材料三精_04号装配点	119-5级材料三精_05号装配点	120-5级材料三精_06号装配点	121-5级材料三精_07号装配点	122-5级材料三精_08号装配点	123-5级材料三精_09号装配点	124-5级材料三精_10号装配点	125-5级材料三精_11号装配点	126-5级材料三精_12号装配点	127-5级材料三精_13号装配点	128-5级材料三精_14号装配点	129-5级材料三精_15号装配点	130-5级材料三精_16号装配点	131-5级材料三精_17号装配点	132-5级材料三精_18号装配点	133-6级材料三精_00号装配点	134-6级材料三精_01号装配点	135-6级材料三精_02号装配点	136-6级材料三精_03号装配点	137-6级材料三精_04号装配点	138-6级材料三精_05号装配点	139-6级材料三精_06号装配点	140-6级材料三精_07号装配点	141-6级材料三精_08号装配点	142-6级材料三精_09号装配点	143-6级材料三精_10号装配点	144-6级材料三精_11号装配点	145-6级材料三精_12号装配点	146-6级材料三精_13号装配点	147-6级材料三精_14号装配点	148-6级材料三精_15号装配点	149-6级材料三精_16号装配点	150-6级材料三精_17号装配点	151-6级材料三精_18号装配点	152-7级材料三精_00号装配点	153-7级材料三精_01号装配点	154-7级材料三精_02号装配点	155-7级材料三精_03号装配点	156-7级材料三精_04号装配点	157-7级材料三精_05号装配点	158-7级材料三精_06号装配点	159-7级材料三精_07号装配点	160-7级材料三精_08号装配点	161-7级材料三精_09号装配点	162-7级材料三精_10号装配点	163-7级材料三精_11号装配点	164-7级材料三精_12号装配点	165-7级材料三精_13号装配点	166-7级材料三精_14号装配点	167-7级材料三精_15号装配点	168-7级材料三精_16号装配点	169-7级材料三精_17号装配点	170-7级材料三精_18号装配点	171-8级材料三精_00号装配点	172-8级材料三精_01号装配点	173-8级材料三精_02号装配点	174-8级材料三精_03号装配点	175-8级材料三精_04号装配点	176-8级材料三精_05号装配点	177-8级材料三精_06号装配点	178-8级材料三精_07号装配点	179-8级材料三精_08号装配点	180-8级材料三精_09号装配点	181-8级材料三精_10号装配点	182-8级材料三精_11号装配点	183-8级材料三精_12号装配点	184-8级材料三精_13号装配点	185-8级材料三精_14号装配点	186-8级材料三精_15号装配点	187-8级材料三精_16号装配点	188-8级材料三精_17号装配点	189-8级材料三精_18号装配点
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
