INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
品质段	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	玄攻击	玄抵抗	减少电击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	物理攻击	按百分比增加物理攻击	对装备基础物理攻击百分比加成	物理防御	按百分比增加物理防御	对装备基础物理防御百分比加成	按百分比抵消物理伤害	魔法攻击	按百分比增加魔法攻击	对装备基础魔法攻击百分比加成	魔法防御	按百分比增加魔法防御	对装备基础魔法防御百分比加成	按百分比抵消魔法伤害	攻击速度(两次攻击间隔时间)	魔法冷却速度	命中	闪避	会心一击（双倍攻击）的百分比	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体质	定力	身法	会心防御	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	减少目标冰抵抗	减少目标火抵抗	减少目标玄抵抗	减少目标毒抵抗	保留5	保留6
1	10	10	20	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	20	20	20	20	20	20	10	20	20	10	10	12	20	20	20	20	10	10	10	10	10	12	10	20	20	20	20	20	20	20	20	20	20	20
2	11	11	22	11	11	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	11	22	22	22	22	22	22	11	22	22	11	11	13	22	22	22	22	11	11	11	11	11	13	11	22	22	22	22	22	22	22	22	22	22	22
3	15	15	30	15	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	15	30	30	15	15	18	30	30	30	30	15	15	15	15	15	18	15	30	30	30	30	30	30	30	30	30	30	30
4	22	22	44	22	22	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	22	44	44	44	44	44	44	22	44	44	22	22	26	44	44	44	44	22	22	22	22	22	26	22	44	44	44	44	44	44	44	44	44	44	44
5	27	27	54	27	27	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	27	54	54	54	54	54	54	27	54	54	27	27	32	54	54	54	54	27	27	27	27	27	32	27	54	54	54	54	54	54	54	54	54	54	54
6	36	36	72	36	36	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	36	72	72	72	72	72	72	36	72	72	36	36	43	72	72	72	72	36	36	36	36	36	43	36	72	72	72	72	72	72	72	72	72	72	72
7	49	49	98	49	49	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	49	98	98	98	98	98	98	49	98	98	49	49	58	98	98	98	98	49	49	49	49	49	58	49	98	98	98	98	98	98	98	98	98	98	98
8	65	65	131	65	65	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	65	131	131	131	131	131	131	65	131	131	65	65	78	131	131	131	131	65	65	65	65	65	78	65	131	131	131	131	131	131	131	131	131	131	131
9	90	100	180	90	90	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	90	180	180	180	180	180	180	90	180	180	90	90	108	180	180	180	180	90	90	90	90	90	108	90	180	180	180	180	180	180	180	180	180	180	180
10	132	132	264	132	132	264	264	264	264	264	264	264	264	264	264	264	264	264	264	264	264	264	264	264	264	132	264	264	264	264	264	264	132	264	264	132	132	158	264	264	264	264	132	132	132	132	132	158	132	264	264	264	264	264	264	264	264	264	264	264
