INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID(怪物编号)	Mvalue(怪物价值)	怪物掉落类型	DID1(掉落包编号)	DID2	DID3	DID4	DID5	DID6	DID7	DID8	DID9	DID10	DID11	DID12	DID13	DID14	DID15	DID16	DID17	DID18	DID19	DID20
523	400	1	313	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
527	400	1	314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
700	4	0	680	660	620	35	24	400	610	401	501	12	55	-1	-1	-1	-1	-1	-1	-1	-1	-1
701	4	0	680	660	620	35	24	400	610	401	501	12	55	-1	-1	-1	-1	-1	-1	-1	-1	-1
702	4	0	680	660	620	35	24	400	610	405	505	12	55	-1	-1	-1	-1	-1	-1	-1	-1	-1
703	4	0	680	660	620	35	24	400	610	407	507	12	55	-1	-1	-1	-1	-1	-1	-1	-1	-1
704	26	1	682	662	622	37	26	602	612	427	527	2	81	-1	-1	-1	-1	-1	-1	-1	-1	-1
705	41	1	684	664	624	39	28	604	614	447	547	4	83	-1	-1	-1	-1	-1	-1	-1	-1	-1
706	107	1	686	666	626	41	30	606	616	467	567	6	85	-1	-1	-1	-1	-1	-1	-1	-1	-1
707	247	1	688	668	628	43	32	608	618	487	587	8	87	-1	-1	-1	-1	-1	-1	-1	-1	-1
708	18	1	680	660	620	35	24	400	610	403	503	0	79	308	311	11200	-1	-1	-1	-1	-1	-1
709	18	1	680	660	620	35	24	400	610	404	504	0	79	300	11200	-1	-1	-1	-1	-1	-1	-1
710	18	1	680	660	620	35	24	400	610	405	505	0	79	308	311	11200	-1	-1	-1	-1	-1	-1
711	18	1	680	660	620	35	24	400	610	406	506	0	79	301	11200	-1	-1	-1	-1	-1	-1	-1
712	18	1	680	660	620	35	24	400	610	407	507	0	79	309	311	11200	-1	-1	-1	-1	-1	-1
713	18	1	680	660	620	35	24	400	610	408	508	0	79	302	11200	-1	-1	-1	-1	-1	-1	-1
714	18	1	681	661	621	36	25	601	611	409	509	1	80	309	311	11200	-1	-1	-1	-1	-1	-1
715	22	1	681	661	621	36	25	601	611	410	510	1	80	303	11200	-1	-1	-1	-1	-1	-1	-1
716	22	1	681	661	621	36	25	601	611	411	511	13	56	11201	-1	-1	-1	-1	-1	-1	-1	-1
717	22	1	681	661	621	36	25	601	611	412	512	13	56	11201	-1	-1	-1	-1	-1	-1	-1	-1
718	18	1	680	660	620	35	24	400	610	403	503	0	79	308	311	11200	-1	-1	-1	-1	-1	-1
719	18	1	680	660	620	35	24	400	610	404	504	0	79	304	11200	-1	-1	-1	-1	-1	-1	-1
720	18	1	680	660	620	35	24	400	610	405	505	0	79	308	311	11200	-1	-1	-1	-1	-1	-1
721	18	1	680	660	620	35	24	400	610	406	506	0	79	305	11200	-1	-1	-1	-1	-1	-1	-1
722	18	1	680	660	620	35	24	400	610	407	507	12	55	309	311	11200	-1	-1	-1	-1	-1	-1
723	18	1	680	660	620	35	24	400	610	408	508	12	55	306	11200	-1	-1	-1	-1	-1	-1	-1
724	18	1	681	661	621	36	25	601	611	409	509	56	68	309	311	11200	-1	-1	-1	-1	-1	-1
725	22	1	681	661	621	36	25	601	611	410	510	56	68	307	11200	-1	-1	-1	-1	-1	-1	-1
726	22	1	681	661	621	36	25	601	611	411	511	13	56	11201	-1	-1	-1	-1	-1	-1	-1	-1
727	22	1	681	661	621	36	25	601	611	412	512	13	56	11201	-1	-1	-1	-1	-1	-1	-1	-1
728	18	1	681	25	410	510	1	80	1423	611	36	621	661	11201	-1	-1	-1	-1	-1	-1	-1	-1
729	18	1	681	25	411	511	13	56	1423	611	36	621	661	11201	-1	-1	-1	-1	-1	-1	-1	-1
730	18	1	681	25	412	512	1	80	1423	611	36	621	661	11201	-1	-1	-1	-1	-1	-1	-1	-1
731	18	1	681	25	413	513	56	68	1423	611	36	621	661	11201	-1	-1	-1	-1	-1	-1	-1	-1
732	22	1	681	25	414	514	1	80	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
733	18	1	681	25	410	510	56	68	1423	611	36	621	661	11201	-1	-1	-1	-1	-1	-1	-1	-1
734	18	1	681	25	411	511	1	80	1423	611	36	621	661	11201	-1	-1	-1	-1	-1	-1	-1	-1
735	18	1	681	25	412	512	1	80	1423	611	36	621	661	11201	-1	-1	-1	-1	-1	-1	-1	-1
736	18	1	681	25	413	513	68	80	1423	611	36	621	661	11201	-1	-1	-1	-1	-1	-1	-1	-1
737	22	1	681	25	414	514	68	80	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
738	22	1	681	25	415	515	1	80	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
739	22	1	681	25	416	516	13	56	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
740	22	1	681	25	417	517	1	80	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
741	22	1	681	25	418	518	13	56	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
