INT	INT	INT
NPCID	PAOPAPBaseID	IDStep
1860	28	2
1861	28	2
1862	28	2
1863	28	2
1864	28	2
1865	28	2
1866	28	2
1867	28	2
1868	28	2
1869	28	2
1870	30	4
1871	30	4
1872	30	4
1873	30	4
1874	30	4
1875	30	4
1876	30	4
1877	30	4
1878	30	4
1879	30	4
3500	17	5
3501	17	5
3502	17	5
3503	17	5
3504	17	5
3505	17	5
3506	17	5
3507	17	5
3508	17	5
3509	17	5
3510	22	3
3511	22	3
3512	22	3
3513	22	3
3514	22	3
3515	22	3
3516	22	3
3517	22	3
3518	22	3
3519	22	3
3520	25	3
3521	25	3
3522	25	3
3523	25	3
3524	25	3
3525	25	3
3526	25	3
3527	25	3
3528	25	3
3529	25	3
4170	68	2
4171	68	2
4172	68	2
4173	68	2
4174	68	2
4175	68	2
4176	68	2
4177	68	2
4178	68	2
4179	68	2
4183	73	3
4185	74	3
4189	76	3
4188	75	2
4187	73	4
