INT	INT	INT	STRING
index	BeginDate	EndDate	info$1$
#<0>index	索引		
#<1>BeginDate	开始时间（例：20061204）		
#<2>EndDate	结束时间（例：20061204）		
#<3>info	消息内容		
#			
0	20061224	20061224	今天是平安夜，天龙八部祝你快乐。
1	20061225	20061225	今天是圣诞节，在白雪飘零的圣诞之刻，天龙八部祝您平安。
2	20070101	20070101	新年伊始，万象更新，天龙八部祝您在新的一年里，心想事成，万事如意。
3	20070214	20070214	今天是西方的情人节，愿天下有情人终成眷属，天龙八部祝您永远幸福。
4	20070217	20070217	今天除夕夜，火树银花，万家团圆，天龙八部祝您度过一个美好的除夕夜。
5	20070218	20070224	新春快乐，龙马精神，天龙八部祝您新年心想事成，平平安安。
6	20070304	20070304	元宵佳节闹花灯，天龙八部喜相逢。祝您元宵节快乐。
7	20070501	20070501	五一国际劳动节到了，天龙八部祝您每天快快乐乐，万事无忧。
8	20070513	20070513	今天是母亲节，天龙八部提醒您，别忘了向您的母亲致以节日的问候。
9	20070601	20070601	今天是国际儿童节，天龙八部祝您永远有着孩子们快乐的童心。
10	20070619	20070619	今天是端午节，划龙舟吃棕子以纪念伟大爱国主义诗人屈原，天龙八部祝您端午节快乐。
11	20070617	20070617	今天是父亲节，天龙八部提醒您，别忘了向您的父亲致以节日的问候。
12	20070701	20070701	今天是中国共产党的生日，也是香港回归日，天龙八部祝您节日快乐。
13	20070707	20070707	今天是中国人民抗日战争纪念日，毋忘历史，自强不息，每个中国人从我做起。
14	20070801	20070801	今天是建军节，天龙八部祝您节日快乐。
15	20070819	20070819	今天是七月七日乞巧节，是中国的情人节，天龙八部祝您幸福一生。
#16	20070910	20070910	今天是教师节，天龙八部提醒您，别忘了向您的老师致以节日的问候。
17	20070925	20070925	花好月圆，中秋快乐，天龙八部祝您美美满满，团团圆圆。
18	20071001	20071003	天龙八部祝您国庆节快乐，愿您度过一个愉快的十一长假。
19	20071101	20071101	今天是西方的万圣节，天龙八部祝您节日快乐。
20	20071122	20071122	今天是西方的感恩节，天龙八部祝您节日快乐。
21	20071224	20071224	今天是平安夜，天龙八部祝你快乐。
22	20071225	20071225	今天是圣诞节，在白雪飘零的圣诞之刻，天龙八部祝您平安。
23	20080428	20080510	递圣火，赢大奖！奥运热潮绵延不断，天龙八部里将举办别开生面的“圣火传递”活动。参加者不但能获得大量经验奖励，坚持完成活动的玩家更是有机会获得幸运大奖！活动时间：2008年10月8日~29日，每晚19：45~22：45找苏州圣火坛（91，84）参加活动。参加等级：10级以上。
24	20080501	20080507	亲爱的玩家，欢迎您来到天龙八部的世界。从5月1日开始，凡等级≥30级的玩家都可以前往大理云飘飘（266，127）处领取招牌一个。还等什么？快来摆摊吧！ 
25	20080501	20080503	春暖花开师门赠礼活动正在进行中，在3月4日——3月25日活动进行期间，所有已加入门派的玩家都可以在大理云飘飘（265，127）处参加春暖花开师门赠礼活动，活动完成后的奖励为一个1级兽栏，此道具可以让你所能携带的宠物数量+1。
#26	20080703	20091225	欢迎您来到天龙八部世界！“夺宝师徒练”活动正在进行中。具体内容请查阅天龙八部官方网站。
#27	20080917	20080928	新的学期又到来了！所有10级以上（包括10级）的玩家都可以去大理 （173，146） 孙八爷处免费领取一件时装：才子佳人。快快行动吧！
28	20080719	20080824	看奥运，上搜狐。
29	20090210	20090216	浪漫的情人节到来了，快快去找洛阳邱碧特（177，102）吧，他会赐给你神秘的爱情武器哦！
30	20081204	20090228	还在为珍兽升级太慢而苦恼吗？希望自己的珍兽超速成长吗？帮会城市的（44，58）乐善可以帮助你解决这个问题。珍兽快速成长不再是梦！
31	20081204	20090228	想给自己爱情一份独特的纪念吗？如果你的等级达到了30级，就快和你的爱人组队前往洛阳（47，62）月老处领取可以升级和被祝福的永恒钻戒吧！
32	20090125	20090201	各派弟子可以在2009年1月25日0时至2月1日24时内前往师门任务发布人处报名参加门派年货大采购活动，按照指示完成任务不仅可以获得经验，还有几率获得特殊物品‘春联’。成功收集一套春联后还可以换取意想不到的奖品哦，时间有限，赶快行动！
33	20081215	20081229	想得到武林至尊装备？快来参加12月15日0点开始的：送——至尊真·重楼玉！充值开抢！送——九星重楼玉！充值天天送！送——龙牌、大风、5级红宝石！三重大礼每天送！详情请登录官方网站http://tl.gameone.com/index2.php 查询。
#34	20081230	20090228	各位玩家请注意，年兽入侵活动即将结束，请您近期内尽快使用手中的斩妖剑。活动结束后，斩妖剑将无法继续发挥其作用。
35	20090119	20090226	亲爱的玩家，1月19日至2月26日期间，您每天可以到大理（171，146）孙八爷处领取一次‘和谐光环’，和谐光环可以在未来2个小时内让您的战斗力得到最大幅度的提升！
36	20090311	20090410	#{TSJH_090224_1}
37	20090325	20090405	#{TWYRJ_090217_7}
38	20090408	20090512	#{TLXQC_090306_1}
