INT	INT	INT	INT	INT	INT
编号	宠物技能总数	已有主动技能数	已有被动技能数	领悟主动技能概率（单位1/10w）	领悟被动技能概率（单位1/10w）
0	3	0	0	500	1500
1	3	1	0	0	150
2	3	0	1	50	50
3	3	1	1	0	15
4	3	0	2	5	0
5	3	1	2	0	0
6	4	0	0	800	2000
7	4	1	0	0	1000
8	4	0	1	150	600
9	4	1	1	0	100
10	4	0	2	20	80
11	4	1	2	0	20
12	4	0	3	10	0
13	4	1	3	0	0
14	5	0	0	1000	2500
15	5	1	0	0	1500
16	5	0	1	200	1000
17	5	1	1	0	200
18	5	0	2	50	100
19	5	1	2	0	50
20	5	0	3	20	10
21	5	1	3	0	5
22	5	0	4	2	0
23	5	1	4	0	0
24	12	0	0	1500	3000
25	12	1	0	0	2143
26	12	2	0	0	1531
27	12	0	1	1250	1094
28	12	1	1	0	781
29	12	2	1	0	558
30	12	0	2	1042	399
31	12	1	2	0	285
32	12	2	2	0	204
33	12	0	3	868	146
34	12	1	3	0	104
35	12	2	3	0	74
36	12	0	4	723	53
37	12	1	4	0	38
38	12	2	4	0	27
39	12	0	5	603	0
40	12	1	5	0	0
41	12	2	5	0	0
42	12	0	6	503	0
43	12	1	6	0	0
44	12	2	6	0	0
45	12	0	7	419	0
46	12	1	7	0	0
47	12	2	7	0	0
48	12	0	8	349	0
49	12	1	8	0	0
50	12	2	8	0	0
51	12	0	9	291	0
52	12	1	9	0	0
53	12	2	9	0	0
54	12	0	10	243	0
55	12	1	10	0	0
56	12	2	10	0	0
