INT	INT	INT	INT	INT	INT
方案号	属性1概率	属性2概率	属性3概率	属性4概率	属性5概率
1	136	336	122	229	177
2	156	144	225	332	143
3	315	143	179	134	229
4	248	260	132	105	255
5	257	134	247	197	165
6	133	212	289	156	210
7	127	243	261	235	134
8	182	254	70	277	217
9	348	81	227	120	224
10	179	279	263	219	60
11	164	193	244	249	150
12	231	239	92	202	236
13	369	204	249	73	105
14	202	191	221	256	130
15	207	319	235	155	84
16	247	242	162	162	187
17	168	92	263	177	300
18	153	168	187	215	277
19	217	134	187	201	261
20	217	158	206	206	213
21	212	64	212	245	267
22	99	362	170	233	136
23	216	141	90	180	373
24	289	65	182	178	286
25	206	192	107	276	219
26	303	291	149	171	86
27	102	188	93	372	245
28	210	259	170	81	280
29	170	178	172	234	246
30	267	295	67	242	129
31	267	105	145	191	292
32	230	349	109	134	178
33	249	242	189	197	123
34	173	209	177	229	212
35	207	233	240	190	130
36	198	224	76	210	292
37	324	140	198	147	191
38	180	234	173	130	283
39	304	76	285	198	137
40	178	247	267	184	124
41	319	77	254	246	104
42	125	220	137	371	147
43	221	265	89	168	257
44	185	301	304	125	85
45	246	173	119	155	307
46	382	123	166	202	127
47	168	292	262	93	185
48	175	172	109	305	239
49	301	196	233	138	132
50	129	170	294	232	175
51	337	84	194	248	137
52	186	278	203	202	131
53	217	84	177	205	317
54	239	291	121	193	156
55	230	181	172	308	109
56	220	214	233	249	84
57	170	147	296	183	204
58	246	151	159	141	303
59	229	151	239	301	80
60	240	264	155	177	164
61	265	171	193	245	126
62	171	97	201	346	185
63	153	334	201	196	116
64	209	193	303	143	152
65	254	75	303	184	184
66	180	116	223	206	275
67	234	162	200	249	155
68	289	112	112	270	217
69	139	277	294	214	76
70	252	294	134	179	141
71	233	185	295	147	140
72	251	117	96	247	289
73	285	142	195	252	126
74	194	170	233	141	262
75	253	130	241	225	151
76	265	178	160	126	271
77	178	288	84	212	238
78	174	98	213	221	294
79	202	291	145	171	191
80	275	229	155	211	130
81	378	137	85	164	236
82	296	212	141	210	141
83	206	214	287	132	161
84	210	265	101	282	142
85	161	297	217	131	194
86	221	114	302	245	118
87	189	173	180	214	244
88	218	91	300	198	193
89	188	189	281	181	161
90	91	223	91	213	382
91	185	157	226	188	244
92	255	221	67	181	276
93	188	203	278	173	158
94	229	128	286	213	144
95	110	318	239	183	150
96	134	101	259	250	256
97	113	114	209	217	347
98	121	216	94	210	359
99	297	162	180	102	259
100	251	266	78	257	148
101	326	160	120	73	321
102	277	162	217	93	251
103	104	365	144	199	188
104	191	293	239	116	161
105	337	201	116	173	173
106	312	142	140	234	172
107	215	173	154	246	212
108	267	217	143	157	216
109	134	168	206	124	368
110	255	212	148	185	200
111	190	253	67	235	255
112	225	170	194	180	231
113	227	141	245	164	223
114	236	60	281	102	321
115	166	331	270	94	139
116	221	213	179	157	230
117	226	190	142	239	203
118	186	199	186	206	223
119	300	190	160	137	213
120	245	201	272	80	202
121	272	54	264	204	206
122	198	186	244	72	300
123	124	285	192	264	135
124	138	151	193	264	254
125	192	275	217	195	121
126	285	222	175	121	197
127	184	168	258	255	135
128	202	303	170	244	81
129	167	127	245	248	213
130	184	110	230	232	244
131	141	136	198	197	328
132	140	195	152	229	284
133	147	270	221	188	174
134	150	263	207	146	234
135	186	177	239	94	304
136	177	231	161	245	186
137	337	134	168	238	123
138	183	147	153	171	346
139	279	258	161	78	224
140	74	183	215	316	212
141	260	126	232	245	137
142	250	188	138	219	205
143	257	226	216	135	166
144	248	170	226	256	100
145	103	249	172	155	321
146	130	348	91	236	195
147	123	190	110	137	440
148	127	209	93	194	377
149	131	210	203	137	319
150	244	286	151	149	170
151	220	191	192	213	184
152	163	257	222	215	143
153	261	161	79	238	261
154	337	212	146	162	143
155	141	180	231	262	186
156	185	159	268	174	214
157	113	172	322	141	252
158	143	91	201	264	301
159	291	268	154	105	182
160	222	290	130	132	226
161	231	256	168	206	139
162	132	260	297	114	197
163	172	339	237	167	85
164	277	113	277	166	167
165	299	136	173	141	251
166	211	175	271	172	171
167	180	193	278	98	251
168	120	407	103	149	221
169	104	147	232	222	295
170	229	207	279	183	102
171	253	294	100	144	209
172	118	284	318	145	135
