INT	FLOAT
宠物等级	所需费用参数
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	100
11	120
12	140
13	160
14	180
15	200
16	220
17	240
18	260
19	280
20	300
21	330
22	360
23	390
24	420
25	450
26	480
27	510
28	540
29	570
30	600
31	640
32	680
33	720
34	760
35	800
36	840
37	880
38	920
39	960
40	1000
41	1050
42	1100
43	1150
44	1200
45	1250
46	1300
47	1350
48	1400
49	1450
50	1500
51	1560
52	1620
53	1680
54	1740
55	1800
56	1860
57	1920
58	1980
59	2040
60	2100
61	2170
62	2240
63	2310
64	2380
65	2450
66	2520
67	2590
68	2660
69	2730
70	2800
71	2880
72	2960
73	3040
74	3120
75	3200
76	3280
77	3360
78	3440
79	3520
80	3600
81	3690
82	3780
83	3870
84	3960
85	4050
86	4140
87	4230
88	4320
89	4410
90	4500
91	4600
92	4700
93	4800
94	4900
95	5000
96	5100
97	5200
98	5300
99	5400
100	5500
101	5610
102	5720
103	5830
104	5940
105	6050
106	6160
107	6270
108	6380
109	6490
110	6600
111	6720
112	6840
113	6960
114	7080
115	7200
116	7320
117	7440
118	7560
119	7680
120	7800
121	7930
122	8060
123	8190
124	8320
125	8450
126	8580
127	8710
128	8840
129	8970
130	9100
131	9240
132	9380
133	9520
134	9660
135	9800
136	9940
137	10080
138	10220
139	10360
140	10500
141	10650
142	10800
143	10950
144	11100
145	11250
146	11400
147	11550
148	11700
149	11850
150	12000
151	12160
152	12320
153	12480
154	12640
155	12800
