INT	FLOAT
Delta LvlNpc -LvlPlayer	Rate
-200	0.4
-199	0.4
-198	0.4
-197	0.4
-196	0.4
-195	0.4
-194	0.4
-193	0.4
-192	0.4
-191	0.4
-190	0.4
-189	0.4
-188	0.4
-187	0.4
-186	0.4
-185	0.4
-184	0.4
-183	0.4
-182	0.4
-181	0.4
-180	0.4
-179	0.4
-178	0.4
-177	0.4
-176	0.4
-175	0.4
-174	0.4
-173	0.4
-172	0.4
-171	0.4
-170	0.4
-169	0.4
-168	0.4
-167	0.4
-166	0.4
-165	0.4
-164	0.4
-163	0.4
-162	0.4
-161	0.4
-160	0.4
-159	0.4
-158	0.4
-157	0.4
-156	0.4
-155	0.4
-154	0.4
-153	0.4
-152	0.4
-151	0.4
-150	0.4
-149	0.4
-148	0.4
-147	0.4
-146	0.4
-145	0.4
-144	0.4
-143	0.4
-142	0.4
-141	0.4
-140	0.4
-139	0.4
-138	0.4
-137	0.4
-136	0.4
-135	0.4
-134	0.4
-133	0.4
-132	0.4
-131	0.4
-130	0.4
-129	0.4
-128	0.4
-127	0.4
-126	0.4
-125	0.4
-124	0.4
-123	0.4
-122	0.4
-121	0.4
-120	0.4
-119	0.4
-118	0.4
-117	0.4
-116	0.4
-115	0.4
-114	0.4
-113	0.4
-112	0.4
-111	0.4
-110	0.4
-109	0.4
-108	0.4
-107	0.4
-106	0.4
-105	0.4
-104	0.4
-103	0.4
-102	0.4
-101	0.4
-100	0.4
-99	0.4
-98	0.4
-97	0.4
-96	0.4
-95	0.4
-94	0.4
-93	0.4
-92	0.4
-91	0.4
-90	0.4
-89	0.4
-88	0.4
-87	0.4
-86	0.4
-85	0.4
-84	0.4
-83	0.4
-82	0.4
-81	0.4
-80	0.4
-79	0.5
-78	0.5
-77	0.5
-76	0.5
-75	0.5
-74	0.5
-73	0.5
-72	0.5
-71	0.5
-70	0.5
-69	0.5
-68	0.5
-67	0.5
-66	0.5
-65	0.5
-64	0.5
-63	0.5
-62	0.5
-61	0.5
-60	0.5
-59	0.5
-58	0.5
-57	0.5
-56	0.5
-55	0.5
-54	0.5
-53	0.5
-52	0.5
-51	0.5
-50	0.5
-49	0.5
-48	0.5
-47	0.5
-46	0.5
-45	0.5
-44	0.5
-43	0.5
-42	0.5
-41	0.5
-40	0.5
-39	0.5
-38	0.5
-37	0.5
-36	0.5
-35	0.5
-34	0.5
-33	0.5
-32	0.5
-31	0.5
-30	0.5
-29	0.5
-28	0.5
-27	0.5
-26	0.5
-25	0.5
-24	0.6
-23	0.7
-22	0.8
-21	0.9
-20	1
-19	1
-18	1
-17	1
-16	1
-15	1
-14	1
-13	1
-12	1
-11	1
-10	1
-9	1
-8	1
-7	1
-6	1
-5	1
-4	1
-3	1
-2	1
-1	1
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	0.9
22	0.8
23	0.7
24	0.6
25	0.5
26	0.5
27	0.5
28	0.5
29	0.5
30	0.5
31	0.5
32	0.5
33	0.5
34	0.5
35	0.5
36	0.5
37	0.5
38	0.5
39	0.5
40	0.5
41	0.5
42	0.5
43	0.5
44	0.5
45	0.5
46	0.5
47	0.5
48	0.5
49	0.5
50	0.5
51	0.5
52	0.5
53	0.5
54	0.5
55	0.5
56	0.5
57	0.5
58	0.5
59	0.5
60	0.5
61	0.5
62	0.5
63	0.5
64	0.5
65	0.5
66	0.5
67	0.5
68	0.5
69	0.5
70	0.5
71	0.5
72	0.5
73	0.5
74	0.5
75	0.5
76	0.5
77	0.5
78	0.5
79	0.5
80	0.4
81	0.4
82	0.4
83	0.4
84	0.4
85	0.4
86	0.4
87	0.4
88	0.4
89	0.4
90	0.4
91	0.4
92	0.4
93	0.4
94	0.4
95	0.4
96	0.4
97	0.4
98	0.4
99	0.4
100	0.4
101	0.4
102	0.4
103	0.4
104	0.4
105	0.4
106	0.4
107	0.4
108	0.4
109	0.4
110	0.4
111	0.4
112	0.4
113	0.4
114	0.4
115	0.4
116	0.4
117	0.4
118	0.4
119	0.4
120	0.4
121	0.4
122	0.4
123	0.4
124	0.4
125	0.4
126	0.4
127	0.4
128	0.4
129	0.4
130	0.4
131	0.4
132	0.4
133	0.4
134	0.4
135	0.4
136	0.4
137	0.4
138	0.4
139	0.4
140	0.4
141	0.4
142	0.4
143	0.4
144	0.4
145	0.4
146	0.4
147	0.4
148	0.4
149	0.4
150	0.4
151	0.4
152	0.4
153	0.4
154	0.4
155	0.4
156	0.4
157	0.4
158	0.4
159	0.4
160	0.4
161	0.4
162	0.4
163	0.4
164	0.4
165	0.4
166	0.4
167	0.4
168	0.4
169	0.4
170	0.4
171	0.4
172	0.4
173	0.4
174	0.4
175	0.4
176	0.4
177	0.4
178	0.4
179	0.4
180	0.4
181	0.4
182	0.4
183	0.4
184	0.4
185	0.4
186	0.4
187	0.4
188	0.4
189	0.4
190	0.4
191	0.4
192	0.4
193	0.4
194	0.4
195	0.4
196	0.4
197	0.4
198	0.4
199	0.4
200	0.4
