INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
≥ËŒÔindex	≥ËŒÔ√˚≥∆	±˘æ´	ª¡È	∂æπ∆	–˛ ﬁ	≥Ÿ∂€	Ω∆ª´	∫©∫Ò	∆¥√¸	∑®ªÍ	¬˘¡¶	ΩË¡¶	∏ﬂº∂ΩË¡¶	“∆ªÍ	∏ﬂº∂“∆ªÍ	À≤”∞	∏ﬂº∂À≤”∞	«ø…Ì	∏ﬂº∂«ø…Ì	ƒ˝…Ò	∏ﬂº∂ƒ˝…Ò	º´±˘ƒ˝…±	ΩŸª∑Ÿ…±	∏Ø∂æ ¥…±	æ≈¿◊ª˜…±	—™±¨	∏ﬂº∂—™±¨	 •±¨	∏ﬂº∂ •±¨	±˘±¨	∏ﬂº∂±˘±¨	æªªØ	∏ﬂº∂æªªØ	÷ÿ…˙	∏ﬂº∂÷ÿ…˙	π≤…˙	∏ﬂº∂π≤…˙	÷Œ¡∆	∏ﬂº∂÷Œ¡∆	»‚«Ω	∏ﬂº∂»‚«Ω	…Ò””	∏ﬂº∂…Ò””	 »—™	∏ﬂº∂ »—™	—™º¿	∏ﬂº∂—™º¿	Œ±◊∞	∏ﬂº∂Œ±◊∞	∏Ω…Ì	∏ﬂº∂∏Ω…Ì	∫Æ±˘÷‰	¡“ª÷‰	—™∂æ÷‰	–˛¿◊÷‰	∑¥ª˜	∏ﬂº∂∑¥ª˜	Œ¸—™	∏ﬂº∂Œ¸—™	∑¥’	∏ﬂº∂∑¥’	¡È∂Ø	∏ﬂº∂¡È∂Ø	Œ¸∆¯	∏ﬂº∂Œ¸∆¯	¥Ú≈≠	∏ﬂº∂¥Ú≈≠	÷“–ƒ	∏ﬂº∂÷“–ƒ	¡È∆¯	∏ﬂº∂¡È∆¯	√Õª˜	∏ﬂº∂√Õª˜	 ∂∆∆	∏ﬂº∂ ∂∆∆	¡¨ª˜	∏ﬂº∂¡¨ª˜	Õ¥ª˜	∏ﬂº∂Õ¥ª˜	–È»ı	∏ﬂº∂–È»ı	∆∆’¿	∏ﬂº∂∆∆’¿	À§∞Ì	∏ﬂº∂À§∞Ì	Ω‚—®	«Â–—	√˜ƒø	«·¡È	πÃ‘™	»˜Õ—	±˘ÃÏ—©µÿ	¡“ª¡«‘≠	—™∂æÕÚ¿Ô	ŒÂ¿◊∫‰∂•
558	∆Æ∆Æ—º	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
559	∆Æ∆ÆÕ√	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3000	≥…ƒÍÕ√◊”	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3001	±‰“ÏÕ√◊”	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3009	Õ√◊”±¶±¶	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3010	≥…ƒÍ—‡◊”	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0
3011	±‰“Ï—‡◊”	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0
3019	—‡◊”±¶±¶	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0
3020	≥…ƒÍŒ⁄πÍ	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3021	±‰“ÏŒ⁄πÍ	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3029	Œ⁄πÍ±¶±¶	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3030	≥…ƒÍπ∑	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3031	±‰“Ïπ∑	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3039	π∑±¶±¶	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
