INT	INT
技能索引号	技能ID
0	652
1	653
2	654
3	655
4	656
5	657
6	658
7	659
8	660
9	661
10	662
11	663
12	664
13	665
14	666
15	667
16	668
17	669
18	670
19	671
20	672
21	673
22	674
23	675
24	676
25	677
26	678
27	679
28	680
29	681
30	682
31	683
32	684
33	685
34	686
35	687
36	688
37	689
38	690
39	691
40	692
41	693
42	694
43	695
44	696
45	697
46	698
47	699
48	700
49	701
50	702
51	703
52	704
53	705
54	706
55	707
56	708
57	709
58	710
59	711
60	712
61	713
62	714
63	715
64	716
65	717
66	718
67	719
68	720
69	721
70	722
71	723
72	724
73	725
74	726
75	727
76	728
77	729
78	730
79	731
80	732
81	733
82	734
83	735
84	736
85	737
86	738
87	739
88	740
89	741
90	742
91	743
92	744
93	745
