INT	STRING	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
ID	描述	免于惩罚	金钱惩罚%	经验惩罚%	装备耐久度惩罚%	装备最小掉落数目	装备最大掉落数目	物品最小掉落数目	物品最大掉落数目	预留1	预留2	预留3	预留4	预留5	描述说明，内部使用
0	1~10级	1	0	0	0	0	0	0	0	0	0	0	0	0	Desc
1	11~20级	1	0	0	0	0	0	0	0	0	0	0	0	0	Desc
2	21~30级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
3	31~40级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
4	41~50级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
5	51~60级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
6	61~70级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
7	71~80级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
8	81~90级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
9	91~100级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
10	101~110级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
11	111~120级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
12	121~130级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
13	131~140级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
14	141~150级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
15	151~160级	0	0.1	0	0.01	0	0	0	0	0	0	0	0	0	Desc
