INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT
问题号	问题内容$1$	选项0$1$	选项1$1$	选项2$1$	选项3$1$	选项4$1$	选项5$1$	答案0	答案1	答案2	答案3	答案4	答案5	问题类型	1=新，2=城，3=亚，4=科举易，5=科举难，6=夫妻，7=夫妻，8=喜从天降，9=新圣火传递
110001	既然你来到了《天龙八部》的世界，你知道它的小说作者是谁吗？	古龙	金庸	黄易	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110002	听说你通晓古今未来，那么这《天龙八部》的故事是发生于哪个朝代？	唐朝	宋朝	元朝	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110003	把耳机戴好，仔细听听，当前播放的音乐是什么风格？	西南民歌	江南小调	西北秧歌	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110004	都说《天龙八部》，可你知道这“天龙八部”一词出自什么地方？	圣经	道经	佛经	#	#	#	-1	-1	1	-1	-1	-1	新手问答	1
110005	在天龙八部游戏中，当接到任务后，在右上角小地图上会有提示，请问是什么标记是指向任务要找的人呢？	绿色小三角	黄色小三角	蓝色小圆点	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110006	在天龙八部中与好友组队杀怪，会有什么好处？	增加掉落的物品数量	给予额外经验	减低怪物强度	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110007	金庸先生在天龙八部里写了三位大英雄，你知道他们中哪位做过丐帮帮主？	段誉	萧峰	虚竹	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110008	还记得第一个给你发布任务的新手指导是谁吗？	萧峰	赵天师	段正淳	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110009	还记得第一个给你发布任务的新手指导是谁吗？	萧峰	赵天师	段正淳	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110010	萧峰可是当下武林中大大的英雄，你知道他最钟情的女子是哪位姑娘吗？	阿碧姑娘	阿朱姑娘	阿紫姑娘	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110011	听说你通晓古今未来，那么考考你，现在还没有与大宋接壤的国家是？	辽国	西夏	金国	#	#	#	-1	-1	1	-1	-1	-1	新手问答	1
110012	既然到了大理，我当然要问问你当下我们大理国的皇族是？	段氏	赵氏	慕容氏	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110013	我们大理世子段誉在武林中绝对是第一情圣了，你知道他最钟情的女子是？	王语嫣姑娘	西夏公主	阿朱姑娘	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110014	天下武功出少林，你可知道当下少林寺的方丈是哪位高僧吗？	枯荣大师	玄慈大师	鸠摩智大师	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110015	你一定知道姑苏慕容世家吧，可你知道他们是哪国的皇室后人吗？	大燕国	大辽国	后蜀国	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110016	最有名的九大门派都派人来大理了，你知道哪个门派不属于九大门派吗？	华山派	逍遥派	少林派	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110017	右键点击其他玩家，弹出菜单，点击“加为好友”后会怎么样？	加对方为好友	没有什么效果	可以得到物品	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
