INT	INT	INT
等级	金钱获得	经验获得
10	300	532
11	333	560
12	366	587
13	399	614
14	432	642
15	465	669
16	498	696
17	531	724
18	564	751
19	597	779
20	630	834
21	663	868
22	696	903
23	729	938
24	762	973
25	795	1007
26	828	1042
27	861	1077
28	894	1112
29	927	1146
30	960	1181
31	993	1216
32	1026	1251
33	1059	1285
34	1092	1320
35	1125	1355
36	1158	1390
37	1191	1424
38	1224	1459
39	1257	1494
40	1799	2230
41	1832	2281
42	1865	2331
43	1898	2382
44	1931	2433
45	1964	2483
46	1997	2534
47	2030	2585
48	2063	2635
49	2096	2686
50	2129	2737
51	2162	2787
52	2195	2838
53	2228	2889
54	2261	2940
55	2294	2990
56	2327	3041
57	2360	3092
58	2393	3142
59	2426	3193
60	4542	3244
61	4575	3294
62	4608	3345
63	4641	3396
64	4674	3446
65	4707	3497
66	4740	3548
67	4773	3598
68	4806	3649
69	4839	3700
70	4872	3751
71	4905	3801
72	4938	3852
73	4971	3903
74	5004	3953
75	5037	4004
76	5070	4055
77	5103	4105
78	5136	4156
79	5169	4207
80	7054	4257
81	7087	4308
82	7120	4359
83	7153	4410
84	7186	4460
85	7219	4511
86	7252	4562
87	7285	4612
88	7318	4663
89	7351	4714
90	7384	4764
91	7417	4815
92	7450	4866
93	7483	4916
94	7516	4967
95	7549	5018
96	7582	5068
97	7615	5119
98	7648	5170
99	7681	5221
100	7714	5271
101	7747	5321
102	7780	5372
103	7813	5423
104	7846	5473
105	7879	5524
106	7912	5575
107	7945	5625
108	7978	5676
109	8011	5727
110	8044	5777
111	8077	5828
112	8110	5879
113	8143	5929
114	8176	5980
115	8209	6031
116	8242	6081
117	8275	6132
118	8308	6183
119	8341	6233
120	8374	6284
121	8407	6335
122	8440	6385
123	8473	6436
124	8506	6487
125	8539	6537
126	8572	6588
127	8605	6639
128	8638	6690
129	8671	6740
130	8704	6791
131	8737	6842
132	8770	6892
133	8803	6943
134	8836	6994
135	8869	7044
136	8902	7095
137	8935	7146
138	8968	7196
139	9001	7247
140	9034	7298
141	9067	7348
142	9100	7399
143	9133	7450
144	9166	7500
145	9199	7551
146	9232	7602
147	9265	7652
148	9298	7703
149	9331	7754
150	9364	7804
