INT	INT	INT	INT	INT	INT	INT	STRING
Index	CrossIndex	ProductID	ProductNum	Rate	Bind	BroadCast	NOTE
#产品索引	交叉索引	产品ID	产品个数	几率	绑定？1绑定：0不绑定	广播？1广播：0不广播	备注
0	0	30008034	1	120000	0	0	威力转蛋
1	0	30008048	1	80000	0	0	威力转蛋
2	0	30503018	1	100000	0	0	威力转蛋
3	0	30503019	1	100000	0	0	威力转蛋
4	0	30700203	2	144720	0	0	威力转蛋
5	0	30900006	1	150000	0	0	威力转蛋
6	0	50701001	1	15	0	1	威力转蛋
7	0	50701002	1	15	0	1	威力转蛋
8	0	50601001	1	75	0	1	威力转蛋
9	0	50601002	1	75	0	1	威力转蛋
10	0	50612003	1	75	0	1	威力转蛋
11	0	50612004	1	75	0	1	威力转蛋
12	0	50612001	1	75	0	1	威力转蛋
13	0	50612002	1	75	0	1	威力转蛋
14	0	50501001	1	375	0	1	威力转蛋
15	0	50501002	1	375	0	1	威力转蛋
16	0	50512003	1	375	0	1	威力转蛋
17	0	50512004	1	375	0	1	威力转蛋
18	0	50512001	1	375	0	1	威力转蛋
19	0	50512002	1	375	0	1	威力转蛋
20	0	30509016	10	35000	0	0	威力转蛋
21	0	30509020	10	35000	0	0	威力转蛋
22	0	30502000	10	187500	0	0	威力转蛋
23	0	30502001	10	37550	0	0	威力转蛋
24	0	30502002	10	7500	0	0	威力转蛋
25	1	30008007	1	48300	0	0	嘉年华转蛋
26	1	30008006	1	48300	0	0	嘉年华转蛋
27	1	30008033	1	48300	0	0	嘉年华转蛋
28	1	30503019	1	78700	0	0	嘉年华转蛋
29	1	30008002	1	78700	0	0	嘉年华转蛋
30	1	30501169	5	78700	0	0	嘉年华转蛋
31	1	30700203	2	60000	0	0	嘉年华转蛋
32	1	30008034	1	125960	0	0	嘉年华转蛋
33	1	30900006	2	125960	0	0	嘉年华转蛋
34	1	30607001	1	60000	0	0	嘉年华转蛋
35	1	30502002	2	78540	0	0	嘉年华转蛋
36	1	30900045	1	78540	0	0	嘉年华转蛋
37	1	30008048	1	60000	0	0	嘉年华转蛋
38	1	10141133	1	10000	0	0	嘉年华转蛋
39	1	10124104	1	10000	0	0	嘉年华转蛋
40	1	30402072	1	420	0	1	嘉年华转蛋
41	1	30402094	1	420	0	1	嘉年华转蛋
42	1	30402092	1	420	0	1	嘉年华转蛋
43	1	30402056	1	430	0	1	嘉年华转蛋
44	1	30402060	1	430	0	1	嘉年华转蛋
45	1	30402046	1	420	0	1	嘉年华转蛋
46	1	30402036	1	430	0	1	嘉年华转蛋
47	1	30402026	1	420	0	1	嘉年华转蛋
48	1	30402095	1	420	0	1	嘉年华转蛋
49	1	50401001	1	373	0	1	嘉年华转蛋
50	1	50401002	1	373	0	1	嘉年华转蛋
51	1	50402001	1	373	0	1	嘉年华转蛋
52	1	50402002	1	373	0	1	嘉年华转蛋
53	1	50402003	1	373	0	1	嘉年华转蛋
54	1	50402004	1	373	0	1	嘉年华转蛋
55	1	50412003	1	373	0	1	嘉年华转蛋
56	1	50412004	1	373	0	1	嘉年华转蛋
57	1	50412001	1	373	0	1	嘉年华转蛋
58	1	50412002	1	373	0	1	嘉年华转蛋
59	1	50501001	1	236	0	1	嘉年华转蛋
60	1	50501002	1	236	0	1	嘉年华转蛋
61	1	50502001	1	236	0	1	嘉年华转蛋
62	1	50502002	1	236	0	1	嘉年华转蛋
63	1	50502003	1	236	0	1	嘉年华转蛋
64	1	50502004	1	236	0	1	嘉年华转蛋
65	1	50512003	1	236	0	1	嘉年华转蛋
66	1	50512004	1	236	0	1	嘉年华转蛋
67	1	50512001	1	236	0	1	嘉年华转蛋
68	1	50512002	1	236	0	1	嘉年华转蛋
69	1	50513004	1	100	0	1	嘉年华转蛋
70	2	30700203	4	226700	0	0	六合转蛋(东)
71	2	30900006	2	200000	0	0	六合转蛋(东)
72	2	30501169	15	200000	0	0	六合转蛋(东)
73	2	30008034	3	40000	0	0	六合转蛋(东)
74	2	30503019	3	40000	0	0	六合转蛋(东)
75	2	30607001	1	80000	0	0	六合转蛋(东)
76	2	31000001	1	80000	0	0	六合转蛋(东)
77	2	31000003	1	80000	0	0	六合转蛋(东)
78	2	50301001	1	1000	0	1	六合转蛋(东)
79	2	50301002	1	1000	0	1	六合转蛋(东)
80	2	50302001	1	1000	0	1	六合转蛋(东)
81	2	50302002	1	1000	0	1	六合转蛋(东)
82	2	50302003	1	1000	0	1	六合转蛋(东)
83	2	50302004	1	1000	0	1	六合转蛋(东)
84	2	50303001	1	1000	0	1	六合转蛋(东)
85	2	50304002	1	1000	0	1	六合转蛋(东)
86	2	50311001	1	1000	0	1	六合转蛋(东)
87	2	50311002	1	1000	0	1	六合转蛋(东)
88	2	50312001	1	1000	0	1	六合转蛋(东)
89	2	50312002	1	1000	0	1	六合转蛋(东)
90	2	50312003	1	1000	0	1	六合转蛋(东)
91	2	50312004	1	1000	0	1	六合转蛋(东)
92	2	50313001	1	1000	0	1	六合转蛋(东)
93	2	50313002	1	1000	0	1	六合转蛋(东)
94	2	50313003	1	1000	0	1	六合转蛋(东)
95	2	50313004	1	1000	0	1	六合转蛋(东)
96	2	50313005	1	1000	0	1	六合转蛋(东)
97	2	50313006	1	1000	0	1	六合转蛋(东)
98	2	50314001	1	1000	0	1	六合转蛋(东)
99	2	10141133	1	10000	0	1	六合转蛋(东)
100	2	10124070	1	10000	0	1	六合转蛋(东)
101	2	50401001	1	100	0	1	六合转蛋(东)
102	2	50401002	1	100	0	1	六合转蛋(东)
103	2	50402001	1	100	0	1	六合转蛋(东)
104	2	50402002	1	100	0	1	六合转蛋(东)
105	2	50402003	1	100	0	1	六合转蛋(东)
106	2	50402004	1	100	0	1	六合转蛋(东)
107	2	50403001	1	100	0	1	六合转蛋(东)
108	2	50404002	1	100	0	1	六合转蛋(东)
109	2	50411001	1	100	0	1	六合转蛋(东)
110	2	50411002	1	100	0	1	六合转蛋(东)
111	2	50412001	1	100	0	1	六合转蛋(东)
112	2	50412002	1	100	0	1	六合转蛋(东)
113	2	50412003	1	100	0	1	六合转蛋(东)
114	2	50412004	1	100	0	1	六合转蛋(东)
115	2	50413001	1	100	0	1	六合转蛋(东)
116	2	50413002	1	100	0	1	六合转蛋(东)
117	2	50413003	1	100	0	1	六合转蛋(东)
118	2	50413004	1	100	0	1	六合转蛋(东)
119	2	50413005	1	100	0	1	六合转蛋(东)
120	2	50413006	1	100	0	1	六合转蛋(东)
121	2	50414001	1	100	0	1	六合转蛋(东)
122	2	30505907	1	100	0	1	六合转蛋(东)
123	2	30309703	1	1000	0	1	六合转蛋(东)
124	2	10124113	1	1000	0	1	六合转蛋(东)
125	2	10124114	1	1000	0	1	六合转蛋(东)
126	2	10124115	1	1000	0	1	六合转蛋(东)
127	2	10124116	1	1000	0	1	六合转蛋(东)
128	2	10124117	1	1000	0	1	六合转蛋(东)
129	2	10124118	1	1000	0	1	六合转蛋(东)
130	2	10124119	1	1000	0	1	六合转蛋(东)
131	2	10124120	1	1000	0	1	六合转蛋(东)
132	2	10124121	1	1000	0	1	六合转蛋(东)
133	2	30504101	1	100	0	1	六合转蛋(东)
134	3	30700203	4	177600	0	0	六合转蛋(北)
135	3	30900006	2	100000	0	0	六合转蛋(北)
136	3	30501167	2	50000	0	0	六合转蛋(北)
137	3	30501358	2	50000	0	0	六合转蛋(北)
138	3	30501356	2	50000	0	0	六合转蛋(北)
139	3	30900056	1	10000	0	0	六合转蛋(北)
140	3	30501169	15	180000	0	0	六合转蛋(北)
141	3	30008034	3	40000	0	0	六合转蛋(北)
142	3	30503019	3	40000	0	0	六合转蛋(北)
143	3	30607001	1	80000	0	0	六合转蛋(北)
144	3	31000001	1	80000	0	0	六合转蛋(北)
145	3	31000003	1	80000	0	0	六合转蛋(北)
146	3	30900057	1	10000	0	1	六合转蛋(北)
147	3	50301001	1	1000	0	1	六合转蛋(北)
148	3	50301002	1	1000	0	1	六合转蛋(北)
149	3	50302001	1	1000	0	1	六合转蛋(北)
150	3	50302002	1	1000	0	1	六合转蛋(北)
151	3	50302003	1	1000	0	1	六合转蛋(北)
152	3	50302004	1	1000	0	1	六合转蛋(北)
153	3	50303001	1	1000	0	1	六合转蛋(北)
154	3	50304002	1	1000	0	1	六合转蛋(北)
155	3	50311001	1	1000	0	1	六合转蛋(北)
156	3	50311002	1	1000	0	1	六合转蛋(北)
157	3	50312001	1	1000	0	1	六合转蛋(北)
158	3	50312002	1	1000	0	1	六合转蛋(北)
159	3	50312003	1	1000	0	1	六合转蛋(北)
160	3	50312004	1	1000	0	1	六合转蛋(北)
161	3	50313001	1	1000	0	1	六合转蛋(北)
162	3	50313002	1	1000	0	1	六合转蛋(北)
163	3	50313003	1	1000	0	1	六合转蛋(北)
164	3	50313004	1	1000	0	1	六合转蛋(北)
165	3	50313005	1	1000	0	1	六合转蛋(北)
166	3	50313006	1	1000	0	1	六合转蛋(北)
167	3	50314001	1	1000	0	1	六合转蛋(北)
168	3	10141133	1	10000	0	1	六合转蛋(北)
169	3	10124070	1	10000	0	1	六合转蛋(北)
170	3	50401001	1	100	0	1	六合转蛋(北)
171	3	50401002	1	100	0	1	六合转蛋(北)
172	3	50402001	1	100	0	1	六合转蛋(北)
173	3	50402002	1	100	0	1	六合转蛋(北)
174	3	50402003	1	100	0	1	六合转蛋(北)
175	3	50402004	1	100	0	1	六合转蛋(北)
176	3	50403001	1	100	0	1	六合转蛋(北)
177	3	50404002	1	100	0	1	六合转蛋(北)
178	3	50411001	1	100	0	1	六合转蛋(北)
179	3	50411002	1	100	0	1	六合转蛋(北)
180	3	50412001	1	100	0	1	六合转蛋(北)
181	3	50412002	1	100	0	1	六合转蛋(北)
182	3	50412003	1	100	0	1	六合转蛋(北)
183	3	50412004	1	100	0	1	六合转蛋(北)
184	3	50413001	1	100	0	1	六合转蛋(北)
185	3	50413002	1	100	0	1	六合转蛋(北)
186	3	50413003	1	100	0	1	六合转蛋(北)
187	3	50413004	1	100	0	1	六合转蛋(北)
188	3	50413005	1	100	0	1	六合转蛋(北)
189	3	50413006	1	100	0	1	六合转蛋(北)
190	3	50414001	1	100	0	1	六合转蛋(北)
191	3	30309605	1	100	0	1	六合转蛋(北)
192	3	10124113	1	1000	0	1	六合转蛋(北)
193	3	10124114	1	1000	0	1	六合转蛋(北)
194	3	10124115	1	1000	0	1	六合转蛋(北)
195	3	10124116	1	1000	0	1	六合转蛋(北)
196	3	10124117	1	1000	0	1	六合转蛋(北)
197	3	10124118	1	1000	0	1	六合转蛋(北)
198	3	10124119	1	1000	0	1	六合转蛋(北)
199	3	10124120	1	1000	0	1	六合转蛋(北)
200	3	10124121	1	1000	0	1	六合转蛋(北)
201	3	30504102	1	200	0	1	六合转蛋(北)
202	4	30700203	4	196000	0	0	六合转蛋(西)
203	4	20307001	1	120000	0	0	六合转蛋(西)
204	4	30501167	2	50000	0	0	六合转蛋(西)
205	4	30501358	2	50000	0	0	六合转蛋(西)
206	4	30501356	2	50000	0	0	六合转蛋(西)
207	4	30501169	15	180000	0	0	六合转蛋(西)
208	4	30503019	3	40000	0	0	六合转蛋(西)
209	4	30607001	1	80000	0	0	六合转蛋(西)
210	4	31000001	1	80000	0	0	六合转蛋(西)
211	4	31000003	1	80000	0	0	六合转蛋(西)
212	4	50301001	1	100	0	1	六合转蛋(西)
213	4	50301002	1	100	0	1	六合转蛋(西)
214	4	50302001	1	100	0	1	六合转蛋(西)
215	4	50302002	1	100	0	1	六合转蛋(西)
216	4	50302003	1	100	0	1	六合转蛋(西)
217	4	50302004	1	100	0	1	六合转蛋(西)
218	4	30008048	1	60000	0	1	六合转蛋(西)
219	4	50321001	1	300	0	1	六合转蛋(西)
220	4	50321002	1	300	0	1	六合转蛋(西)
221	4	50321003	1	300	0	1	六合转蛋(西)
222	4	50321004	1	300	0	1	六合转蛋(西)
223	4	10124101	1	10000	0	1	六合转蛋(西)
224	4	30309703	1	100	0	1	六合转蛋(西)
225	4	50601001	1	200	0	1	六合转蛋(西)
226	4	50601002	1	200	0	1	六合转蛋(西)
227	4	50602001	1	200	0	1	六合转蛋(西)
228	4	50602002	1	200	0	1	六合转蛋(西)
229	4	50602003	1	200	0	1	六合转蛋(西)
