INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	30402012	1677	0			
1	30402014	1677	0			
2	30402016	1677	0			
3	30402018	838	0			
4	30402020	1677	0			
5	30402021	300	1			
6	30402022	300	1			
7	30402023	300	1			
8	30402024	300	1			
9	30402025	1190	0			
10	30402026	86	0			
11	30402029	2525	0			
12	30402030	1677	0			
13	30402033	2525	0			
14	30402034	1677	0			
15	30402035	2525	0			
16	30402036	1004	0			
17	30402037	2525	0			
18	30402038	1677	0			
19	30402039	2525	0			
20	30402041	2525	0			
21	30402042	1677	0			
22	30402043	2525	0			
23	30402044	1677	0			
24	30402045	1893	0			
25	30402047	2525	0			
26	30402048	1677	0			
27	30402049	2525	0			
28	30402050	1677	0			
29	30402051	1893	0			
30	30402052	1893	0			
31	30402053	1893	0			
32	30402054	1893	0			
33	30402055	757	0			
34	30402059	757	0			
35	30402061	2525	0			
36	30402062	1677	0			
37	30402063	2525	0			
38	30402064	1677	0			
39	30402065	2525	0			
40	30402066	1677	0			
41	30402067	2525	0			
42	30402068	838	0			
43	30402069	2525	0			
44	30402070	1677	0			
45	30402072	313	0			
46	30402073	2525	0			
47	30402074	1677	0			
48	30402075	2525	0			
49	30402077	505	0			
50	30402079	2525	0			
51	30402080	838	0			
52	30402081	2525	0			
53	30402082	2525	0			
54	30402083	2525	0			
55	30402084	2525	0			
56	30402085	2525	0			
57	30402086	2525	0			
58	30402091	277	0			
59	30402093	333	0			
60	30402096	2500	0			
61	30402097	2500	0			
62	30402098	2500	0			
63	30402099	2500	0			
