INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	50303001	50000	0			
1	50304002	50000	0			
2	50313006	50000	0			
3	50301001	50000	0			
4	50301002	50000	0			
5	50311001	50000	0			
6	50311002	50000	0			
7	50313001	50000	0			
8	50313002	50000	0			
9	50314001	50000	0			
10	50603001	500	1			
11	50604002	500	1			
12	50612002	750	1			
13	50602001	750	1			
14	50602002	750	1			
15	50602003	750	1			
16	50602004	750	1			
17	50612003	750	1			
18	50612004	750	1			
19	50612001	750	1			
20	30308043	100000	0			
21	30900016	250000	0			
22	20109010	140000	0			
23	10141062	3000	1			
